date,y_test,y_pred,label,predicted_label
2020-10-29,29.5,30.690351255017703,Actual,Predicted
2020-10-30,29.5,29.786468072115877,Actual,Predicted
2020-11-02,29.89999961853028,29.365212155981084,Actual,Predicted
2020-11-03,28.39999961853028,28.607735028734822,Actual,Predicted
2020-11-04,28.299999237060547,28.61463861786699,Actual,Predicted
2020-11-05,28.399999618530284,28.603109688632482,Actual,Predicted
2020-11-06,28.600000381469727,28.569911755525354,Actual,Predicted
2020-11-09,28.35000038146973,28.39764565405764,Actual,Predicted
2020-11-10,28.25,28.07936905883041,Actual,Predicted
2020-11-11,28.100000381469723,28.089744369767985,Actual,Predicted
2020-11-12,28.70000076293945,28.2434407100581,Actual,Predicted
2020-11-13,29.200000762939453,28.70064787101011,Actual,Predicted
2020-11-13,29.200000762939453,29.516204396036596,Actual,Predicted
2020-11-14,29.299999237060543,29.52412386417104,Actual,Predicted
2020-11-17,29.25,29.486597461826857,Actual,Predicted
2020-11-18,29.799999237060547,28.925323323489675,Actual,Predicted
2020-11-19,31.549999237060547,29.795848183712856,Actual,Predicted
2020-11-20,31.70000076293945,32.010427962444524,Actual,Predicted
2020-11-23,30.79999923706055,31.015733619923587,Actual,Predicted
2020-11-24,30.85000038146973,31.229032311889846,Actual,Predicted
2020-11-25,30.39999961853028,30.569689102225972,Actual,Predicted
2020-11-26,29.999999999999996,30.012855253263606,Actual,Predicted
2020-11-27,30.399999618530284,30.110817836615446,Actual,Predicted
2020-12-01,32.099998474121094,30.248278869639417,Actual,Predicted
2020-12-02,32.599998474121094,32.35959912310294,Actual,Predicted
2020-12-03,33.900001525878906,33.062553347314804,Actual,Predicted
2020-12-04,34.099998474121094,34.68879477379133,Actual,Predicted
2020-12-07,33.349998474121094,33.641434272234136,Actual,Predicted
2020-12-08,33.45000076293945,33.79725346734966,Actual,Predicted
2020-12-09,32.400001525878906,32.550668128601885,Actual,Predicted
2020-12-10,32.0,32.41663468018031,Actual,Predicted
2020-12-11,32.099998474121094,31.569360897829455,Actual,Predicted
2020-12-14,32.0,31.953035646186496,Actual,Predicted
2020-12-15,31.950000762939453,32.32802299611217,Actual,Predicted
2020-12-16,33.25,31.791136855496916,Actual,Predicted
2020-12-16,33.25,34.06981002309985,Actual,Predicted
2020-12-17,34.099998474121094,34.05882968074672,Actual,Predicted
2020-12-18,32.599998474121094,33.112115200165874,Actual,Predicted
2020-12-21,32.5,32.99526770329667,Actual,Predicted
2020-12-22,30.600000381469727,30.809327635251115,Actual,Predicted
2020-12-23,31.100000381469723,31.57409867588793,Actual,Predicted
2020-12-24,32.150001525878906,31.855060142035423,Actual,Predicted
2020-12-28,31.899999618530277,32.245753230862185,Actual,Predicted
2020-12-29,31.799999237060547,32.336350569388934,Actual,Predicted
2020-12-30,31.39999961853028,31.924885735223118,Actual,Predicted
2020-12-31,31.350000381469727,31.82603630142146,Actual,Predicted
2021-01-01,31.70000076293945,31.55622708249994,Actual,Predicted
2021-01-04,31.75,31.62582869898905,Actual,Predicted
2021-01-05,31.14999961853028,31.712503728468608,Actual,Predicted
2021-01-06,31.350000381469723,31.43666527233177,Actual,Predicted
2021-01-07,31.200000762939453,30.960353553433002,Actual,Predicted
2021-01-08,31.999999999999996,30.966920911482998,Actual,Predicted
2021-01-11,32.5,32.21886206101065,Actual,Predicted
2021-01-12,33.20000076293945,32.00292407894749,Actual,Predicted
2021-01-12,33.20000076293945,33.965093901080905,Actual,Predicted
2021-01-13,33.5,33.80223375599386,Actual,Predicted
2021-01-14,32.70000076293945,33.0087883836013,Actual,Predicted
2021-01-15,32.29999923706055,32.842922917837505,Actual,Predicted
2021-01-18,31.450000762939453,32.02374210475351,Actual,Predicted
2021-01-19,32.20000076293945,31.372548374001134,Actual,Predicted
2021-01-20,32.95000076293945,32.515860306404235,Actual,Predicted
2021-01-21,32.0,31.956056337154603,Actual,Predicted
2021-01-22,30.600000381469723,31.114963881287707,Actual,Predicted
2021-01-25,30.0,30.175750920571186,Actual,Predicted
2021-01-27,29.450000762939453,29.985077901925713,Actual,Predicted
2021-01-28,29.450000762939453,29.76263223604672,Actual,Predicted
2021-01-29,28.999999999999996,29.13899404235907,Actual,Predicted
2021-02-01,28.5,28.695204680132974,Actual,Predicted
2021-02-02,28.64999961853028,28.659192284706346,Actual,Predicted
2021-02-03,29.149999618530284,29.18282242715138,Actual,Predicted
2021-02-04,31.5,29.370707725420182,Actual,Predicted
2021-02-05,31.299999237060547,31.2914472517313,Actual,Predicted
2021-02-08,31.29999923706055,30.659186352480063,Actual,Predicted
2021-02-09,30.799999237060547,31.25194776650915,Actual,Predicted
2021-02-10,30.450000762939453,30.338850535564696,Actual,Predicted
2021-02-11,30.70000076293945,30.2460045405586,Actual,Predicted
2021-02-12,30.39999961853028,30.510729772546554,Actual,Predicted
2021-02-15,30.649999618530277,30.444465894959663,Actual,Predicted
2021-02-16,30.350000381469723,30.59834153549793,Actual,Predicted
2021-02-17,30.149999618530277,30.377177760883253,Actual,Predicted
2021-02-18,30.39999961853028,30.403570818188136,Actual,Predicted
2021-02-19,31.25,30.161422478713835,Actual,Predicted
2021-02-22,30.350000381469723,30.452071666778075,Actual,Predicted
2021-02-23,29.600000381469727,29.488863169191404,Actual,Predicted
