date,y_test,y_pred,label,predicted_label
2020-06-23,4228.89990234375,4241.89658213189,Actual,Predicted
2020-06-24,4123.0,4193.118008285847,Actual,Predicted
2020-06-25,4230.10009765625,4187.463256622257,Actual,Predicted
2020-06-26,4230.85009765625,4325.627180933571,Actual,Predicted
2020-06-29,4150.0,4211.940475810132,Actual,Predicted
2020-06-30,4126.0498046875,4140.437784461125,Actual,Predicted
2020-07-01,4095.0,4151.841661822421,Actual,Predicted
2020-07-02,4095.0,4148.690786379353,Actual,Predicted
2020-07-06,4311.0498046875,4131.776076526438,Actual,Predicted
2020-07-07,4300.0,4343.409628588921,Actual,Predicted
2020-07-08,4285.7998046875,4302.641540161778,Actual,Predicted
2020-07-09,4230.0,4271.9047469931475,Actual,Predicted
2020-07-10,4199.0,4232.0511826086295,Actual,Predicted
2020-07-13,4158.0,4222.815735169318,Actual,Predicted
2020-07-14,4125.0,4206.184430979448,Actual,Predicted
2020-07-15,4086.0000000000005,4116.486435938864,Actual,Predicted
2020-07-16,4152.0,4121.517859714148,Actual,Predicted
2020-07-17,4147.0,4183.696844788084,Actual,Predicted
2020-07-20,4181.9501953125,4187.461117604179,Actual,Predicted
2020-07-21,4174.35009765625,4203.1601491865285,Actual,Predicted
2020-07-22,4110.75,4148.438737061858,Actual,Predicted
2020-07-23,4110.0,4103.331287868898,Actual,Predicted
2020-07-24,4070.0000000000005,4110.813882641619,Actual,Predicted
2020-07-27,4069.8000488281255,4081.795791991209,Actual,Predicted
2020-07-28,4198.9501953125,4118.220777366109,Actual,Predicted
2020-07-29,4244.5498046875,4282.234360656781,Actual,Predicted
2020-07-30,4239.0,4245.263645847531,Actual,Predicted
2020-07-31,4300.0,4225.387569040368,Actual,Predicted
2020-08-03,4514.5,4235.410996464584,Actual,Predicted
2020-08-04,4450.899902343749,4532.40710152605,Actual,Predicted
2020-08-05,4428.2001953125,4508.524096061422,Actual,Predicted
2020-08-06,4435.89990234375,4519.782274647251,Actual,Predicted
2020-08-07,4727.2001953125,4494.382725656609,Actual,Predicted
2020-08-10,4855.0,4822.764913942795,Actual,Predicted
2020-08-11,4620.0,4586.021071330364,Actual,Predicted
2020-08-12,4780.0,4546.511371651709,Actual,Predicted
2020-08-13,4850.0,4810.010303750482,Actual,Predicted
2020-08-14,4791.549804687499,4770.256451730851,Actual,Predicted
2020-08-17,4755.549804687499,4763.311896258219,Actual,Predicted
2020-08-18,4750.0,4774.735536232128,Actual,Predicted
2020-08-19,4850.0,4778.208701401954,Actual,Predicted
2020-08-20,4920.0,4877.57363142385,Actual,Predicted
2020-08-21,4795.14990234375,4847.770265340616,Actual,Predicted
2020-08-24,4830.0,4780.9968547596445,Actual,Predicted
2020-08-25,4899.000000000001,4787.315912856732,Actual,Predicted
2020-08-26,5095.0,4975.562872448869,Actual,Predicted
2020-08-27,5148.9501953125,5151.539508834953,Actual,Predicted
2020-08-28,5099.999999999999,5149.48997390568,Actual,Predicted
2020-08-31,4999.85009765625,5041.091952122928,Actual,Predicted
2020-09-01,4982.0,4872.902109491191,Actual,Predicted
2020-09-02,5050.0,5072.159745483903,Actual,Predicted
2020-09-03,5003.0,5047.774360512064,Actual,Predicted
2020-09-04,4960.60009765625,5075.272586963781,Actual,Predicted
2020-09-07,4840.14990234375,4920.3892965889445,Actual,Predicted
2020-09-08,4873.7998046875,4817.665655409905,Actual,Predicted
2020-09-09,4839.60009765625,4869.204825494315,Actual,Predicted
2020-09-10,4935.0,4880.6378909363775,Actual,Predicted
2020-09-11,4987.9501953125,4962.140846485656,Actual,Predicted
2020-09-14,5464.75,5023.1038927731215,Actual,Predicted
2020-09-15,5683.0,5432.753083482234,Actual,Predicted
2020-09-16,5650.0,5830.695509394619,Actual,Predicted
2020-09-17,5532.0,5549.081271712517,Actual,Predicted
2020-09-18,5467.200195312501,5505.36583696211,Actual,Predicted
2020-09-21,5344.89990234375,5418.286566396274,Actual,Predicted
2020-09-22,5164.5498046875,5297.029030270741,Actual,Predicted
2020-09-23,5099.0,5130.57394313701,Actual,Predicted
2020-09-24,4916.60009765625,5080.661075751191,Actual,Predicted
2020-09-25,4949.10009765625,4924.639995605626,Actual,Predicted
2020-09-28,5078.4501953125,4980.691780320481,Actual,Predicted
2020-09-29,5220.0,5106.850907815166,Actual,Predicted
2020-09-30,5078.89990234375,5098.269552997313,Actual,Predicted
2020-10-01,5359.39990234375,5088.496186111212,Actual,Predicted
2020-10-05,5444.0,5376.194400298863,Actual,Predicted
2020-10-06,5388.35009765625,5410.453996689879,Actual,Predicted
2020-10-07,5374.999999999999,5479.283757732859,Actual,Predicted
2020-10-08,5476.700195312499,5500.533534526131,Actual,Predicted
2020-10-09,5410.0,5503.535985413575,Actual,Predicted
2020-10-12,5408.0,5479.1700717883305,Actual,Predicted
2020-10-13,5316.0,5384.18546533173,Actual,Predicted
2020-10-14,5170.0,5217.410281066812,Actual,Predicted
2020-10-15,5208.0,5187.421888542557,Actual,Predicted
2020-10-16,5130.14990234375,5170.896565394261,Actual,Predicted
2020-10-19,5170.0,5156.92851666501,Actual,Predicted
2020-10-20,5121.2998046875,5159.269716638566,Actual,Predicted
2020-10-21,5154.85009765625,5156.003530394607,Actual,Predicted
2020-10-22,5125.0,5152.397460179094,Actual,Predicted
2020-10-23,5214.000000000001,5172.358408364465,Actual,Predicted
2020-10-26,5099.64990234375,5131.789816843328,Actual,Predicted
2020-10-27,5237.39990234375,5119.322104191039,Actual,Predicted
2020-10-28,5350.0,5201.523890172812,Actual,Predicted
2020-10-29,5235.0,5213.664774826839,Actual,Predicted
2020-10-30,5270.9501953125,5266.275710709528,Actual,Predicted
2020-11-02,5255.0,5244.638997163747,Actual,Predicted
2020-11-03,5275.000000000001,5333.209569709969,Actual,Predicted
2020-11-04,5249.999999999999,5329.23483473102,Actual,Predicted
2020-11-05,5299.999999999999,5325.727743578777,Actual,Predicted
2020-11-06,5335.9501953125,5380.300445114778,Actual,Predicted
2020-11-09,5358.0,5401.385100198149,Actual,Predicted
2020-11-10,5350.0,5351.521606993374,Actual,Predicted
2020-11-11,5412.0,5390.588618673768,Actual,Predicted
2020-11-12,5735.39990234375,5490.620160659524,Actual,Predicted
2020-11-13,6039.0,5838.755327988396,Actual,Predicted
2020-11-14,6163.950195312499,6157.183422957492,Actual,Predicted
2020-11-17,6189.999999999999,6149.908798672442,Actual,Predicted
2020-11-18,5950.0,6047.821565757194,Actual,Predicted
2020-11-19,5909.999999999999,5974.389107441866,Actual,Predicted
2020-11-20,6124.9501953125,5968.519974923149,Actual,Predicted
2020-11-23,6446.39990234375,6202.791776785398,Actual,Predicted
2020-11-24,6480.000000000001,6365.047651538393,Actual,Predicted
2020-11-25,6440.5,6464.525731294692,Actual,Predicted
2020-11-26,6470.000000000001,6499.918035820783,Actual,Predicted
2020-11-27,6975.0,6432.3851462803095,Actual,Predicted
2020-12-01,7040.000000000001,7069.942143807862,Actual,Predicted
2020-12-02,6850.0,6718.428364960399,Actual,Predicted
2020-12-03,6841.14990234375,6856.685863017898,Actual,Predicted
2020-12-04,6925.14990234375,6879.007630458632,Actual,Predicted
2020-12-07,6857.899902343749,6957.923355094871,Actual,Predicted
2020-12-08,6800.0,6879.207972064788,Actual,Predicted
2020-12-09,6789.000000000001,6839.628610513756,Actual,Predicted
2020-12-10,6756.299804687501,6768.948404121233,Actual,Predicted
2020-12-11,6751.000000000001,6747.636576603011,Actual,Predicted
2020-12-14,6753.7998046875,6741.627540778786,Actual,Predicted
2020-12-15,6710.0,6752.988878896708,Actual,Predicted
2020-12-16,6845.0,6713.6520328628285,Actual,Predicted
2020-12-17,6888.0,6910.093367727856,Actual,Predicted
2020-12-18,7029.999999999999,6977.703449821082,Actual,Predicted
2020-12-21,6898.0,6970.796470351278,Actual,Predicted
2020-12-22,6776.14990234375,6703.0196205494685,Actual,Predicted
2020-12-23,7221.999999999999,6837.964220980184,Actual,Predicted
2020-12-24,7356.35009765625,7263.198788224465,Actual,Predicted
2020-12-28,7244.85009765625,7297.820105822013,Actual,Predicted
2020-12-29,7025.750000000001,7073.771533869887,Actual,Predicted
2020-12-30,7000.0,7061.841072127538,Actual,Predicted
2020-12-31,6921.0,7048.2827325487215,Actual,Predicted
2021-01-01,7000.0,6950.859151828367,Actual,Predicted
2021-01-04,7050.000000000001,7096.219871450285,Actual,Predicted
2021-01-05,7010.60009765625,7123.938474076445,Actual,Predicted
2021-01-06,7141.499999999999,7070.278343885321,Actual,Predicted
2021-01-07,6985.0,7021.671308815661,Actual,Predicted
2021-01-08,7190.0,6941.459635955802,Actual,Predicted
2021-01-11,7036.89990234375,7067.790079692849,Actual,Predicted
2021-01-12,6964.0,7051.898004378768,Actual,Predicted
2021-01-13,6880.0,6937.787271153331,Actual,Predicted
2021-01-14,6856.60009765625,6918.637836267063,Actual,Predicted
2021-01-15,6833.950195312499,6913.660242379381,Actual,Predicted
2021-01-18,6999.0,6939.8107138169635,Actual,Predicted
2021-01-19,6850.000000000001,6839.041668249382,Actual,Predicted
2021-01-20,6994.60009765625,6902.782846177499,Actual,Predicted
2021-01-21,7221.999999999999,7044.164091815474,Actual,Predicted
2021-01-22,7190.39990234375,7264.908999634589,Actual,Predicted
2021-01-25,7189.999999999999,7190.498983717464,Actual,Predicted
2021-01-27,7473.2001953125,7260.817630463485,Actual,Predicted
2021-01-28,7299.999999999999,7402.120156541887,Actual,Predicted
2021-01-29,7146.999999999999,7210.309633810448,Actual,Predicted
2021-02-01,7175.0,7231.765431488376,Actual,Predicted
2021-02-02,7209.7001953125,7288.158656241008,Actual,Predicted
2021-02-03,7203.5498046875,7228.994737587258,Actual,Predicted
2021-02-04,7350.0,7187.530531959026,Actual,Predicted
2021-02-05,7194.7001953125,7229.859064818535,Actual,Predicted
2021-02-08,7265.000000000001,7246.10427915859,Actual,Predicted
2021-02-09,7430.0,7271.511636067293,Actual,Predicted
2021-02-10,7449.999999999999,7454.525260666897,Actual,Predicted
2021-02-11,7499.9501953125,7443.03000243597,Actual,Predicted
2021-02-12,7459.999999999999,7583.6823551451425,Actual,Predicted
2021-02-15,7494.0,7486.354717800243,Actual,Predicted
2021-02-16,7455.0,7587.482218803314,Actual,Predicted
2021-02-17,7495.0,7495.849206202644,Actual,Predicted
2021-02-18,7298.999999999999,7364.98372435817,Actual,Predicted
2021-02-19,7168.14990234375,7141.062361538767,Actual,Predicted
