date,y_test,y_pred
2020-08-25,114.1999969482422,118.47619701403299
2020-08-26,113.90000152587892,116.42570887804264
2020-08-27,114.99999999999999,117.28879907238762
2020-08-28,115.6750030517578,117.56334800012411
2020-08-31,115.0,116.63778246215485
2020-09-01,111.92500305175778,114.05971480585433
2020-09-02,112.4499969482422,114.78147677229732
2020-09-03,114.0,113.85009576030131
2020-09-04,111.4749984741211,116.12966112984883
2020-09-07,109.5500030517578,113.3676378883153
2020-09-08,110.9000015258789,112.16070295744976
2020-09-09,108.3249969482422,111.72783382925522
2020-09-10,110.875,110.4561538548566
2020-09-11,115.50000000000001,112.6605904790042
2020-09-14,118.67500305175778,114.7666730259296
2020-09-15,118.8000030517578,119.60922770278383
2020-09-16,120.82499694824219,119.74500732999138
2020-09-17,120.0,121.5364566428075
2020-09-18,120.27500152587889,121.8545911745983
2020-09-21,128.72500610351562,121.65764157742949
2020-09-22,129.0749969482422,128.7402388547481
2020-09-23,127.4749984741211,125.79168410188
2020-09-24,134.0500030517578,125.17688076255254
2020-09-25,128.9499969482422,127.65408228752553
2020-09-28,125.3000030517578,126.68281040223198
2020-09-29,127.0,123.67465501995318
2020-09-30,121.9000015258789,121.57197143936385
2020-10-01,121.9000015258789,123.62619203018333
2020-10-05,122.99999999999999,121.8070052599798
2020-10-06,123.84999847412111,123.54569098901104
2020-10-07,121.4000015258789,120.3381678258027
2020-10-08,120.5,122.6159039921215
2020-10-09,117.9000015258789,120.58255426148706
2020-10-12,116.0,114.906455731687
2020-10-13,113.25,110.5877970959096
2020-10-14,119.9000015258789,114.45670163912379
2020-10-15,111.5,114.65257179090844
2020-10-16,111.5,110.17232941722156
2020-10-19,113.5,112.85825032499848
2020-10-20,112.05000305175778,114.0707866357196
2020-10-21,111.8499984741211,111.91703409582259
2020-10-22,111.80000305175778,113.85748960456061
2020-10-23,111.5500030517578,112.28062212656249
2020-10-26,111.5500030517578,112.63706152780136
2020-10-27,108.0,110.91820249056626
2020-10-28,108.3000030517578,107.80214148632979
2020-10-29,106.5999984741211,107.45467103842749
2020-10-30,106.50000000000001,106.44408651161416
2020-11-02,108.09999847412108,106.1891136615809
2020-11-03,109.3000030517578,108.2249095155731
2020-11-04,109.99999999999999,110.24090049059191
2020-11-05,108.8499984741211,109.30367059692414
2020-11-06,108.65000152587892,110.01764946132421
2020-11-09,124.59999847412108,109.82016368246575
2020-11-10,123.25,123.44626199993485
2020-11-11,125.00000000000001,125.77337462332552
2020-11-12,122.1999969482422,125.12558852657484
2020-11-13,124.80000305175778,120.67956532252772
2020-11-14,124.6999969482422,120.62955633861196
2020-11-17,122.0,123.38553011720619
2020-11-18,120.9000015258789,120.27399707075293
2020-11-19,130.60000610351562,123.04452095777177
2020-11-20,128.89999389648438,130.27893768475224
2020-11-23,128.5,130.3509766513493
2020-11-24,137.5,130.1698703174848
2020-11-25,137.9499969482422,137.20583332964696
2020-11-26,134.8000030517578,134.62859257524244
2020-11-27,135.0,135.3264932630435
2020-12-01,135.60000610351562,137.36935709999352
2020-12-02,135.64999389648438,138.93657038583797
2020-12-03,136.0,138.15133876875245
2020-12-04,135.5,136.36672891827817
2020-12-07,137.0,137.45985473684894
2020-12-08,137.0,139.23012377633475
2020-12-09,155.25,138.88249467083034
2020-12-10,151.5500030517578,152.68209693925056
2020-12-11,158.14999389648438,150.48946820740625
2020-12-14,169.0,160.24735078791906
2020-12-15,162.4499969482422,169.07863690537388
2020-12-16,161.85000610351562,163.93864840815593
2020-12-17,160.89999389648438,164.19774511422168
2020-12-18,160.25,163.76079872684002
2020-12-21,160.00000000000003,159.5635431394838
2020-12-22,153.89999389648438,158.2079750561207
2020-12-23,158.0,157.84195310216256
2020-12-24,159.99999999999997,161.08609690227524
2020-12-28,160.35000610351562,161.96385853691473
2020-12-29,160.64999389648438,162.7951558416672
2020-12-30,157.39999389648438,159.13775151206863
2020-12-31,156.10000610351562,158.6052942490913
2021-01-01,164.0,157.24628116285368
2021-01-04,160.0,163.36539331387183
2021-01-05,160.14999389648438,163.0054083405148
2021-01-06,160.0500030517578,161.64433981591858
2021-01-07,160.85000610351562,160.90820727760504
2021-01-08,183.25000000000003,163.41657224609668
2021-01-11,193.80000305175784,185.08455958443142
2021-01-12,181.1000061035156,184.29498828242188
2021-01-13,179.5,179.9402713266755
2021-01-14,175.14999389648438,179.6722421555101
2021-01-15,170.60000610351562,173.19841145024864
2021-01-18,169.8500061035156,168.7281196417742
2021-01-19,166.25,166.48953990402748
2021-01-20,166.0,168.6561727843761
2021-01-21,165.0,165.01501364697407
2021-01-22,166.1999969482422,165.64956325781404
2021-01-25,162.60000610351562,162.65176051939002
2021-01-27,156.0,159.0098338377561
2021-01-28,164.0,155.52553045841418
2021-01-29,160.94999694824216,159.38788345068477
2021-02-01,161.60000610351562,160.84601549186806
2021-02-02,165.39999389648438,165.20747628565817
2021-02-03,166.4499969482422,167.1411069215395
2021-02-04,166.50000000000003,167.57411798169653
2021-02-05,166.4499969482422,169.2690157247006
2021-02-08,176.64999389648438,167.95617666056833
2021-02-09,181.3999938964844,173.0127101929528
2021-02-10,178.0,178.81916625599325
2021-02-11,173.9499969482422,172.91658756191336
2021-02-12,170.14999389648438,169.4832960724242
2021-02-15,173.24999999999997,171.62838549642754
2021-02-16,170.6999969482422,168.51540426180782
2021-02-17,175.4499969482422,170.1028737129903
2021-02-18,172.9499969482422,174.5636406704771
2021-02-19,168.4499969482422,171.43998458787362
2021-02-22,163.9499969482422,166.68935409951862
2021-02-23,163.60000610351565,163.47073078571498
