id,date,polarity,subjectivity,compound
0,2020-01-03,0.01,0.31,-0.94
1,2020-01-03,0.09,0.31,0.78
7,2020-01-03,0.09,0.32,0.99
5,2020-01-03,0.07,0.38,0.93
3,2020-01-03,0.14,0.41,0.82
9,2020-01-03,0.12,0.41,0.41
12,2020-01-03,0.14,0.36,1.0
10,2020-01-03,0.12,0.41,0.41
13,2020-01-03,0.1,0.21,0.61
14,2020-01-03,0.01,0.31,-0.69
16,2020-01-03,0.02,0.38,0.82
4,2020-01-03,0.1,0.37,0.91
6,2020-01-03,0.1,0.54,0.97
11,2020-01-03,0.12,0.41,0.41
8,2020-01-03,0.09,0.32,0.99
19,2020-01-03,0.02,0.48,0.94
20,2020-01-03,0.19,0.29,0.97
2,2020-01-03,0.11,0.51,0.97
21,2020-01-03,0.08,0.36,-0.37
23,2020-01-03,0.03,0.26,0.74
24,2020-01-03,0.08,0.34,-0.85
25,2020-01-03,-0.33,0.57,-0.88
26,2020-01-03,0.14,0.47,0.99
27,2020-01-03,0.11,0.37,1.0
28,2020-01-03,0.14,0.48,0.98
15,2020-01-03,0.01,0.31,-0.69
29,2020-01-03,0.02,0.45,0.94
30,2020-01-03,0.01,0.33,0.83
18,2020-01-03,-0.01,0.38,0.17
34,2020-01-03,0.09,0.33,0.84
35,2020-01-03,0.12,0.41,0.99
22,2020-01-03,0.04,0.31,0.95
39,2020-01-03,0.06,0.39,0.85
33,2020-01-03,0.06,0.43,0.83
32,2020-01-03,0.03,0.4,0.97
37,2020-01-03,0.08,0.39,0.86
36,2020-01-03,0.01,0.31,-0.95
31,2020-01-03,0.15,0.52,0.88
44,2020-01-03,0.18,0.36,0.98
38,2020-01-03,0.13,0.43,0.99
41,2020-01-03,0.04,0.34,-0.96
45,2020-01-03,0.02,0.54,0.99
42,2020-01-03,0.14,0.35,0.98
43,2020-01-03,0.1,0.57,0.98
47,2020-01-03,0.09,0.46,0.87
46,2020-01-03,0.03,0.36,0.94
51,2020-01-03,0.03,0.45,0.97
17,2020-01-03,0.04,0.28,0.98
55,2020-01-03,0.01,0.3,0.1
50,2020-01-03,0.08,0.37,1.0
48,2020-01-03,0.1,0.32,0.96
49,2020-01-03,0.11,0.72,0.27
58,2020-01-03,-0.0,0.4,-0.97
52,2020-01-03,0.21,0.35,0.86
60,2020-01-03,0.26,0.38,1.0
61,2020-01-03,0.04,0.56,0.96
62,2020-01-08,0.02,0.47,-0.56
54,2020-01-03,-0.22,0.39,0.08
53,2020-01-03,-0.12,0.32,-0.94
63,2020-01-01,0.05,0.36,-0.88
64,2020-01-02,0.11,0.44,0.64
65,2020-01-05,0.23,0.49,1.0
66,2020-01-06,0.21,0.45,1.0
67,2020-01-04,0.03,0.44,0.95
69,2020-01-09,0.12,0.33,0.92
70,2020-01-12,0.1,0.39,0.95
71,2020-01-11,0.1,0.43,-0.95
56,2020-01-03,0.2,0.41,0.99
40,2020-01-03,0.2,0.62,0.88
74,2020-01-03,0.19,0.38,0.79
73,2020-01-10,0.16,0.29,0.99
57,2020-01-03,0.21,0.32,0.94
79,2020-01-03,-0.01,0.47,-0.99
59,2020-01-03,0.14,0.48,0.93
75,2020-01-03,0.01,0.25,0.27
68,2020-01-07,-0.02,0.41,-0.94
81,2020-01-03,-0.01,0.42,-0.14
76,2020-01-03,0.06,0.55,0.95
72,2020-01-13,0.02,0.38,0.98
78,2020-01-03,0.09,0.55,0.95
77,2020-01-03,0.32,0.48,0.88
80,2020-01-03,0.19,0.41,0.96
84,2020-01-03,-0.08,0.33,-0.96
86,2020-01-03,0.18,0.37,0.32
87,2020-01-03,0.27,0.4,0.92
88,2020-01-03,0.09,0.48,0.98
90,2020-01-03,-0.03,0.25,0.98
92,2020-01-03,0.28,0.43,0.92
93,2020-01-03,0.32,0.48,0.88
82,2020-01-03,0.12,0.35,-0.97
95,2020-01-03,0.17,0.4,1.0
97,2020-01-03,0.14,0.37,1.0
98,2020-01-03,0.11,0.3,0.7
83,2020-01-03,0.05,0.49,0.95
91,2020-01-03,0.13,0.4,0.91
89,2020-01-03,0.05,0.33,0.97
85,2020-01-03,0.3,0.48,0.94
