id,date,polarity,subjectivity,compound
2,2016-01-04,0.04,0.5,-0.38
5,2016-01-04,0.08,0.26,0.91
7,2016-01-04,0.06,0.26,0.59
0,2016-01-04,0.06,0.31,0.95
3,2016-01-04,0.04,0.39,-0.51
4,2016-01-04,-0.02,0.43,-0.7
9,2016-01-04,0.12,0.41,1.0
10,2016-01-04,0.07,0.38,0.99
8,2016-01-04,0.16,0.46,0.99
13,2016-01-04,0.09,0.38,0.53
11,2016-01-04,0.25,0.42,1.0
18,2016-01-04,0.03,0.37,0.92
16,2016-01-04,0.09,0.3,0.96
20,2016-01-04,0.1,0.38,0.98
19,2016-01-04,0.05,0.42,0.96
22,2016-01-04,0.01,0.39,-0.42
21,2016-01-04,0.03,0.35,0.87
24,2016-01-04,0.05,0.35,0.96
23,2016-01-04,-0.03,0.51,0.76
25,2016-01-04,0.06,0.55,0.96
26,2016-01-04,0.36,0.46,0.69
28,2016-01-04,0.11,0.34,0.89
27,2016-01-04,-0.11,0.43,-0.98
29,2016-01-04,0.05,0.34,0.98
30,2016-01-04,0.16,0.35,-0.18
31,2016-01-04,0.05,0.34,0.98
32,2016-01-04,0.07,0.38,0.98
33,2016-01-04,0.05,0.24,0.98
35,2016-01-04,-0.01,0.44,0.97
14,2016-01-04,0.02,0.35,-0.89
37,2016-01-04,0.24,0.46,1.0
6,2016-01-04,0.08,0.53,-0.93
39,2016-01-04,0.06,0.29,1.0
17,2016-01-04,0.05,0.27,0.24
40,2016-01-04,0.06,0.48,0.87
41,2016-01-04,-0.08,0.51,-0.99
42,2016-01-04,0.02,0.28,0.98
44,2016-01-04,0.12,0.46,0.99
43,2016-01-04,0.21,0.48,1.0
12,2016-01-04,0.15,0.51,0.99
45,2016-01-04,0.03,0.41,0.96
46,2016-01-04,0.15,0.41,0.99
47,2016-01-04,0.17,0.41,0.98
48,2016-01-04,0.08,0.51,0.99
49,2016-01-04,0.05,0.33,0.96
34,2016-01-04,0.08,0.42,0.97
50,2016-01-04,0.02,0.28,0.98
51,2016-01-04,0.07,0.31,0.98
15,2016-01-04,0.08,0.51,1.0
52,2016-01-04,0.16,0.46,1.0
36,2016-01-04,0.06,0.41,0.99
55,2016-01-04,0.13,0.46,0.98
56,2016-01-04,0.11,0.46,-0.63
54,2016-01-04,0.16,0.38,0.36
57,2016-01-04,0.07,0.46,0.98
60,2016-01-04,0.1,0.36,0.93
61,2016-01-06,0.3,0.43,-0.91
1,2016-01-04,0.09,0.52,0.98
62,2016-01-07,0.23,0.44,0.97
64,2016-01-05,0.07,0.42,0.15
66,2016-01-03,0.1,0.49,0.95
65,2016-01-02,0.08,0.11,0.15
68,2016-01-09,0.22,0.4,0.88
38,2016-01-04,0.12,0.46,-0.99
71,2016-01-04,0.05,0.48,0.93
58,2016-01-04,0.17,0.45,0.99
63,2016-01-08,0.12,0.22,0.9
73,2016-01-04,0.12,0.56,0.97
74,2016-01-04,0.0,0.0,-0.32
75,2016-01-04,0.0,0.0,-0.32
76,2016-01-04,0.0,0.0,-0.32
78,2016-01-04,0.0,0.0,-0.32
77,2016-01-04,0.0,0.0,-0.32
70,2016-01-04,0.01,0.27,-0.98
79,2016-01-04,0.0,0.0,-0.32
59,2016-01-04,0.16,0.48,0.99
53,2016-01-04,0.21,0.32,0.8
69,2016-01-10,0.18,0.34,0.99
83,2016-01-04,0.0,0.0,-0.32
84,2016-01-04,0.17,0.43,-0.64
85,2016-01-04,0.36,0.45,0.98
86,2016-01-04,0.15,0.5,0.59
88,2016-01-04,0.0,0.0,-0.32
90,2016-01-04,0.03,0.35,-0.99
67,2016-01-01,0.16,0.52,0.99
92,2016-01-04,-0.01,0.39,1.0
91,2016-01-04,0.01,0.29,0.88
94,2016-01-04,0.29,0.5,1.0
95,2016-01-04,0.04,0.37,0.05
96,2016-01-04,0.24,0.47,-0.46
72,2016-01-04,0.2,0.44,0.9
80,2016-01-04,0.31,0.57,0.98
98,2016-01-04,0.11,0.44,0.98
99,2016-01-04,0.02,0.56,-0.95
100,2016-01-04,0.16,0.44,1.0
82,2016-01-04,0.03,0.23,-0.69
87,2016-01-04,0.0,0.0,-0.32
81,2016-01-04,0.0,0.0,-0.32
101,2016-01-04,0.18,0.45,0.99
103,2016-01-04,0.1,0.47,-0.97
105,2016-01-04,-0.09,0.3,-0.97
104,2016-01-04,-0.12,0.32,-0.6
107,2016-01-04,0.02,0.35,0.99
108,2016-01-04,-0.04,0.53,-1.0
110,2016-01-04,0.01,0.41,0.71
111,2016-01-04,0.2,0.44,0.97
89,2016-01-04,0.12,0.53,0.59
114,2016-01-04,0.05,0.4,0.99
112,2016-01-04,0.11,0.41,0.99
115,2016-01-04,0.14,0.36,0.87
116,2016-01-04,0.01,0.39,-0.99
117,2016-01-04,0.0,0.0,-0.32
119,2016-01-04,0.11,0.25,-0.97
118,2016-01-04,0.01,0.22,0.95
120,2016-01-04,0.03,0.43,0.98
93,2016-01-04,0.16,0.45,1.0
121,2016-01-04,-0.02,0.23,-0.93
123,2016-01-04,0.26,0.45,0.96
125,2016-01-04,0.18,0.55,0.75
126,2016-01-04,0.17,0.39,0.75
127,2016-01-04,0.0,0.0,-0.32
128,2016-01-04,0.21,0.57,0.95
129,2016-01-17,0.07,0.3,0.18
130,2016-01-06,0.11,0.32,0.98
131,2016-01-06,-0.12,0.24,-0.98
109,2016-01-04,0.14,0.58,0.99
132,2016-01-06,-0.19,0.4,0.96
133,2016-01-06,0.05,0.3,-0.56
134,2016-01-06,0.1,0.33,0.98
135,2016-01-06,0.09,0.35,-0.92
102,2016-01-04,0.19,0.49,1.0
97,2016-01-04,-0.04,0.43,1.0
136,2016-01-06,0.01,0.34,0.72
137,2016-01-06,0.05,0.55,0.98
138,2016-01-06,0.02,0.63,-0.99
140,2016-01-06,0.09,0.31,0.97
142,2016-01-06,-0.02,0.33,0.99
141,2016-01-06,0.27,0.58,0.86
139,2016-01-06,0.16,0.37,-0.32
143,2016-01-06,0.05,0.45,0.97
145,2016-01-06,0.04,0.41,0.62
144,2016-01-06,0.13,0.46,0.99
147,2016-01-06,-0.04,0.41,0.87
146,2016-01-06,-0.03,0.45,-0.99
148,2016-01-06,0.08,0.32,0.83
149,2016-01-06,0.05,0.48,0.99
106,2016-01-04,0.14,0.46,1.0
153,2016-01-06,0.17,0.48,0.98
152,2016-01-06,0.17,0.4,0.99
156,2016-01-06,0.01,0.51,-0.98
122,2016-01-04,-0.01,0.41,-0.76
157,2016-01-06,0.06,0.36,0.99
159,2016-01-06,0.03,0.36,0.98
113,2016-01-04,-0.07,0.39,-0.99
160,2016-01-06,0.19,0.41,0.74
124,2016-01-04,-0.02,0.25,0.86
162,2016-01-06,0.01,0.28,-0.23
161,2016-01-06,0.07,0.29,0.4
164,2016-01-06,0.1,0.39,-0.96
165,2016-01-06,0.03,0.32,0.98
167,2016-01-06,0.02,0.38,0.95
168,2016-01-06,0.08,0.33,0.94
169,2016-01-06,0.17,0.47,0.98
170,2016-01-06,0.09,0.51,0.93
171,2016-01-06,-0.04,0.19,0.93
150,2016-01-06,0.19,0.41,1.0
173,2016-01-06,0.16,0.43,0.91
174,2016-01-06,0.02,0.32,0.93
175,2016-01-06,0.1,0.42,0.27
176,2016-01-06,0.08,0.08,0.7
177,2016-01-06,0.09,0.21,0.81
178,2016-01-06,0.1,0.47,-0.58
158,2016-01-06,0.14,0.43,0.98
155,2016-01-06,0.12,0.49,0.99
181,2016-01-06,0.01,0.34,0.93
180,2016-01-06,0.04,0.41,0.99
179,2016-01-06,0.07,0.54,-0.82
154,2016-01-06,0.17,0.44,0.99
182,2016-01-06,0.1,0.34,0.83
183,2016-01-06,0.17,0.42,0.59
184,2016-01-06,-0.03,0.25,0.82
187,2016-01-06,0.2,0.54,0.99
186,2016-01-06,-0.0,0.24,0.88
189,2016-01-06,-0.03,0.51,0.82
190,2016-01-07,0.1,0.41,0.98
191,2016-01-07,0.11,0.23,0.97
192,2016-01-07,0.17,0.19,0.65
194,2016-01-07,0.09,0.43,0.97
151,2016-01-06,-0.12,0.41,0.98
163,2016-01-06,0.14,0.45,0.92
196,2016-01-07,0.07,0.46,0.99
