id,date,polarity,subjectivity,compound
146,2009-01-01,0.13,0.42,-0.37
148,2009-01-01,0.03,0.42,0.96
149,2009-01-01,-0.02,0.21,0.59
152,2009-01-01,0.08,0.32,0.96
150,2009-01-01,-0.04,0.29,0.27
151,2009-01-01,0.03,0.37,0.98
153,2009-01-01,0.01,0.53,-1.0
154,2009-01-01,0.05,0.47,0.99
155,2009-01-01,0.08,0.4,0.92
156,2009-01-01,0.2,0.36,1.0
158,2009-01-01,0.04,0.45,0.78
157,2009-01-01,0.09,0.38,0.99
159,2009-01-01,-0.06,0.47,-0.27
161,2009-01-01,0.1,0.41,0.91
162,2009-01-01,-0.02,0.27,-0.34
163,2009-01-01,0.09,0.47,0.98
164,2009-01-01,0.09,0.36,0.97
165,2009-01-01,0.08,0.42,0.54
160,2009-01-01,0.07,0.4,0.79
166,2009-01-01,0.02,0.52,0.95
168,2009-01-01,-0.02,0.42,-0.98
167,2009-01-01,0.08,0.3,0.99
170,2009-01-01,0.08,0.35,0.99
172,2009-01-01,0.03,0.4,0.99
175,2009-01-01,0.06,0.35,-0.92
169,2009-01-01,-0.01,0.25,0.97
173,2009-01-01,-0.11,0.63,-0.99
171,2009-01-01,0.01,0.53,-0.99
176,2009-01-01,0.06,0.38,0.98
179,2009-01-01,0.04,0.47,0.99
178,2009-01-01,-0.05,0.23,-0.87
177,2009-01-01,0.12,0.18,-0.95
180,2009-01-01,0.07,0.33,0.99
174,2009-01-01,-0.05,0.37,-0.95
182,2009-01-01,0.05,0.33,-0.87
185,2009-01-01,0.04,0.32,-0.97
184,2009-01-01,0.05,0.34,0.9
186,2009-01-01,0.01,0.28,-0.97
183,2009-01-01,0.0,0.03,-0.75
181,2009-01-01,-0.05,0.36,-0.88
187,2009-01-01,0.08,0.31,0.96
188,2009-01-01,0.01,0.36,0.18
189,2009-01-04,0.0,0.24,0.77
190,2009-01-04,-0.0,0.38,0.93
191,2009-01-04,0.05,0.37,-0.99
192,2009-01-04,0.04,0.3,-0.97
195,2009-01-04,0.16,0.41,0.99
193,2009-01-04,0.12,0.4,0.99
196,2009-01-04,0.19,0.47,0.98
194,2009-01-04,-0.09,0.46,-0.99
198,2009-01-04,0.0,0.43,-0.92
197,2009-01-04,0.09,0.43,0.98
199,2009-01-04,0.1,0.33,0.4
200,2009-01-04,0.0,0.0,0.0
201,2009-01-04,0.1,0.34,0.95
203,2009-01-04,0.08,0.51,-0.95
202,2009-01-04,0.04,0.31,0.69
206,2009-01-04,0.07,0.32,0.86
207,2009-01-04,0.01,0.33,-0.97
208,2009-01-04,-0.03,0.27,0.53
205,2009-01-04,0.1,0.39,0.99
204,2009-01-04,-0.04,0.47,0.87
209,2009-01-04,0.13,0.55,0.86
210,2009-01-04,0.25,0.33,-0.82
211,2009-01-04,0.23,0.41,0.62
212,2009-01-04,0.02,0.29,0.42
213,2009-01-04,0.06,0.38,0.42
214,2009-01-04,0.02,0.34,0.8
215,2009-01-04,0.02,0.36,-0.13
217,2009-01-04,0.02,0.36,0.38
218,2009-01-04,-0.11,0.47,-0.99
220,2009-01-04,0.13,0.48,0.92
216,2009-01-04,0.2,0.32,0.89
219,2009-01-04,0.04,0.31,-0.98
223,2009-01-04,0.13,0.42,0.98
221,2009-01-04,0.03,0.32,0.81
