date,inr=x_percent_change,cl=f_percent_change,treasury_yeild_10_years_percent_change,usdx-index_percent_change,^nsei_percent_change,^bsesn_percent_change,^gspc_percent_change,hsi_percent_change,sha_percent_change,^sti_percent_change
2008-01-01,,,,,,,,,,
2008-01-02,,,,,,,,,,
2008-01-03,0.00331255119514386,,,,0.005704395766912709,,,,,-0.018536791262169137
2008-01-04,-0.000558713882688492,-0.004416808163773722,,,-0.0001375696135036626,-0.0058685461691349895,0.0,,,0.011989773441218057
2008-01-07,-0.006556029170951614,-0.012804967121986695,,,0.015497164063864475,0.01679469454076908,-0.024551555085623233,,,-0.02464664203048777
2008-01-08,0.00301828947008934,-0.028802034712925632,,,0.0007650722978146061,0.006079200973442571,0.003223258794717052,,,-0.004410907888331365
2008-01-09,-0.0004335833823064321,0.013040335901979016,,,0.0013935117873445024,0.0029155194730668705,-0.01835226547400056,-0.007633580839735752,,0.001875225709424192
2008-01-10,0.0004337714584025142,-0.00685148603305202,,,-0.002520749924073096,-0.00017011091362566897,0.013624083236714856,,,-0.010004383469247646
2008-01-11,7.646321258552013e-05,-0.020487081864593262,,,-0.01834339998206314,-0.01378544615433856,0.007948131920451457,-0.038461503192516594,,-0.007166861461348697
2008-01-14,-0.003085434103234551,-0.010884608398586886,,,0.007008324084966859,0.011921493828302742,-0.01359538777670757,,,-0.02105051301732016
2008-01-15,0.003120548137682319,0.016290802320244897,,,0.00108058046252876,-0.004772472925321846,0.01087063729028341,-0.10399999618530273,,-0.019750482134014934
2008-01-16,-0.0006374202969291088,-0.0244160880772323,,,-0.02135557918065856,-0.02301040954277501,-0.024925012411738747,,,-0.030460500450423957
2008-01-17,-0.000535821283113366,-0.011534332648403551,,,-0.0228011688685846,-0.018911597929046644,-0.005612078839948794,,,0.026611135834349424
2008-01-18,0.0005105934755637381,-0.007815930351116935,,,-0.003798981541928147,-0.008419978939239155,-0.029092595829021194,-0.026785688626827134,,-0.01134753052418842
2008-01-21,0.002372955529301142,,,,-0.035158693052504186,-0.034877791018378436,,,,-0.06027223891640493
2008-01-22,0.004887520131208934,0.004881864582433217,,,-0.0870243487628947,-0.07407025814241253,-0.006045421784174011,-0.1467890103912219,,-0.017345647364563316
2008-01-23,-0.004205095726420237,-0.007949665707509887,,,-0.05941867831462345,-0.04972409953073789,-0.011085159151345123,-0.07526880893449264,,0.04084005733904225
2008-01-24,0.004146481652723778,-0.03183083649328397,,,0.062070114052889015,0.05165176250614513,0.021442179004912246,0.06976744347227268,,0.022278295524358747
2008-01-25,-0.0026347146829076335,0.027819356911925528,,,-0.03266128112788335,-0.021162247934207238,0.010062730426413515,,,0.03586447922060448
2008-01-28,-0.0023876135172586736,0.014539708859381245,,,0.06951492291899525,0.06619075112976637,-0.015871931031674613,0.027173886635466226,,-0.037480826783852846
2008-01-29,0.0005091442976324304,0.003086746578358083,,,-0.020294054449025004,-0.011375924485994829,0.017548324334698395,,,0.0029068297171637343
2008-01-30,-0.002163101881496732,0.007143659095938265,,,0.0012703033516992355,-0.0033515442872416555,0.006159774388638651,0.07407406706588533,,-0.016351314680377413
2008-01-31,0.0034940331751221413,0.007529489807964553,,,-0.02143609135320152,-0.018422504065335552,-0.004763994716111041,,,-0.006093282106632559
2008-02-01,-0.000838715682073337,-0.006281834935040508,,,-0.005834410901382326,-0.006190208463661615,0.016772253672436226,,,0.008736496630544143
2008-02-04,-0.0010428948229703504,-0.030408729324548706,,,0.034997868174284685,0.033649434382380085,0.012237491944183174,-0.06896551116650461,,0.023033455739143074
2008-02-05,-2.544879978312183e-05,0.011915440304661212,,,0.027504819220461704,0.022899186002528212,-0.010462869384454813,,,-0.012563909702849634
2008-02-06,0.004557976609626555,-0.017884837158356388,,,0.003733852355404045,0.00015218622737669043,-0.03199543268429606,,,-0.03503464100057146
2008-02-07,0.002154548275389599,-0.01436493857996789,,,-0.029422509624453756,-0.028059016666565503,-0.007623640894248319,,,
2008-02-08,-0.0019475836117376045,0.011131526595102933,,,-0.03556562392723618,-0.03376944660297979,0.007885772846967471,-0.047619065640104374,,
2008-02-11,0.0019260552555409253,0.04153894004496069,,,-0.002513008784639361,-0.0035396423450163965,-0.004203719751894796,,,-0.02171916229597458
2008-02-12,-0.000227617829375012,0.01983218656859052,,,-0.05143204910476607,-0.047751828892429724,0.00588899908380103,,,0.020200168259548696
2008-02-13,0.0012396848951657983,-0.008654745061313954,,,-0.0038604076590487957,-0.0013769775923173928,0.007265896838448835,,,0.007965901090937488
2008-02-14,0.0014907923379095884,0.005281287672088981,,,0.018849831098537693,0.020540140822958047,0.013604062530741336,0.061111120677288924,,0.032564415995740864
2008-02-15,-0.00146335618102921,0.02348024574062266,,,0.055290102118624174,0.048231957741220285,-0.013421475932895388,,,0.014148274228146053
2008-02-18,0.0002273820194318611,,,,0.019396367232554786,0.01962213001352716,,,,
2008-02-19,0.0012884300523177768,0.00041903326954724664,,,-0.00490297770631285,-0.0037095385793737322,0.0008377480947497892,,,0.0030369371902327622
2008-02-20,0.0012362444347345707,0.04722515325895794,,,0.0007390517947891806,0.001529770463006631,-0.0008962740066612907,0.00523559719267747,,-0.022991801037285965
2008-02-21,0.011314035076757743,0.00729922719674235,,,-0.02392622595972031,-0.025341290050566533,0.008340870828184396,,,0.009243987850841788
2008-02-22,-0.005456669195287432,-0.0249155703798027,,,0.007246089875689563,0.006645631682008326,-0.012867362942748673,,,-0.002019819856971851
2008-02-25,0.001503133088252122,0.005904450593905344,,,-0.015611119021639254,-0.021743238772549724,0.00788061035791397,,,0.005349945932760583
