date,net_profit_loss_from_ordinary_activities_after_tax_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,other_income_yrly,basic_eps_yrly,expenditure_yrly,other_expenses_yrly,tax_yrly,diluted_eps_yrly,net_profit_yrly,profit_after_interest_but_before_exceptional_items_yrly,depreciation_and_amortisation_expense_yrly
2008-06-19,380.10,590.30,195.3,0.97,"-1,787.10",,-210.2,0.97,380.10,,
2008-06-20,380.10,590.30,195.3,0.97,"-1,787.10",,-210.2,0.97,380.10,,
2008-06-21,380.10,590.30,195.3,0.97,"-1,787.10",,-210.2,0.97,380.10,,
2008-06-22,380.10,590.30,195.3,0.97,"-1,787.10",,-210.2,0.97,380.10,,
2008-06-23,380.10,590.30,195.3,0.97,"-1,787.10",,-210.2,0.97,380.10,,
2008-06-24,380.10,590.30,195.3,0.97,"-1,787.10",,-210.2,0.97,380.10,,
2008-06-25,380.10,590.30,195.3,0.97,"-1,787.10",,-210.2,0.97,380.10,,
2008-06-26,380.10,590.30,195.3,0.97,"-1,787.10",,-210.2,0.97,380.10,,
2008-06-27,380.10,590.30,195.3,0.97,"-1,787.10",,-210.2,0.97,380.10,,
2008-06-28,380.10,590.30,195.3,0.97,"-1,787.10",,-210.2,0.97,380.10,,
2008-06-29,380.10,590.30,195.3,0.97,"-1,787.10",,-210.2,0.97,380.10,,
2008-06-30,380.10,590.30,195.3,0.97,"-1,787.10",,-210.2,0.97,380.10,,
2008-07-01,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-02,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-03,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-04,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-05,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-06,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-07,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-08,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-09,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-10,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-11,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-12,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-13,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-14,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-15,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-16,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-17,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-18,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-19,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-20,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-21,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-22,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-23,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-24,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-25,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-26,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-27,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-28,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-29,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-30,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-07-31,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-01,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-02,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-03,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-04,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-05,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-06,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-07,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-08,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-09,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-10,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-11,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-12,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-13,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-14,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-15,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-16,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-17,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-18,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-19,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-20,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-21,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-22,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-23,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-24,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
2008-08-25,313.10,486.80,51.7,0.8,"-1,835.10",,-173.7,0.8,313.10,,
