other_income,net_profit_loss_from_ordinary_activities_after_tax,tax,profit_loss_from_ordinary_activities_before_tax,date,expenditure,net_profit,profit_after_interest_but_before_exceptional_items,depreciation_and_amortisation_expense,finance_costs,total_income,employee_benefit_expense,exceptional_item,basic_eps,diluted_eps
26.0,"-2,951.00",,"-2,951.00",2022-04-01,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-02,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-03,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-04,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-05,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-06,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-07,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-08,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-09,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-10,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-11,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-12,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-13,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-14,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-15,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-16,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-17,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-18,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-19,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-20,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-21,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-22,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-23,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-24,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-25,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-26,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-27,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-28,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-29,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-04-30,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-05-01,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-05-02,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-05-03,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-05-04,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-05-05,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
26.0,"-2,951.00",,"-2,951.00",2022-05-06,"-5,641.80","-2,951.00","-2,951.00",-398.50,"-3,758.80","2,690.80",-139.80,,-1.51,-1.51
