date,net_profit_loss_from_ordinary_activities_after_tax_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,other_income_yrly,basic_eps_yrly,expenditure_yrly,other_expenses_yrly,tax_yrly,diluted_eps_yrly,net_profit_yrly,profit_after_interest_but_before_exceptional_items_yrly,depreciation_and_amortisation_expense_yrly
2008-04-01,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-02,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-03,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-04,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-05,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-06,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-07,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-08,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-09,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-10,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-11,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-12,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-13,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-14,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-15,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-16,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-17,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-18,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-19,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-20,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-21,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-22,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-23,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-24,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-25,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-26,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-27,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-28,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-29,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-04-30,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-01,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-02,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-03,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-04,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-05,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-06,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-07,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-08,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-09,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-10,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-11,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-12,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-13,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-14,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-15,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-16,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-17,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-18,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-19,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-20,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-21,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-22,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-23,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-24,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-25,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-26,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-27,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-28,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-29,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-30,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-05-31,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-01,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-02,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-03,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-04,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-05,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-06,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-07,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-08,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-09,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-10,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-11,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-12,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-13,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-14,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-15,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-16,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-17,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-18,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-19,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-20,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-21,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-22,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-23,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-24,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-25,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-26,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-27,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-28,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-29,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-06-30,180.01,261.60,110.62,10.68,-899.65,,-81.59,10.68,180.01,,
2008-07-01,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-02,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-03,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-04,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-05,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-06,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-07,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-08,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-09,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-10,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-11,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-12,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-13,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-14,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-15,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-16,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-17,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-18,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-19,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-20,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-21,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-22,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-23,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-24,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-25,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-26,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-27,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-28,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-29,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-30,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-07-31,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-01,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-02,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-03,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-04,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-05,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-06,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-07,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-08,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-09,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-10,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-11,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-12,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-13,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-14,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-15,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-16,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-17,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-18,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-19,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-20,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-21,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-22,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-23,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-24,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-25,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-26,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-27,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-28,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-29,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-30,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-08-31,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-01,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-02,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-03,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-04,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-05,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-06,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-07,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-08,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-09,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-10,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-11,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-12,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-13,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-14,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-15,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-16,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-17,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-18,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-19,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
2008-09-20,175.88,255.31,107.8,10.43,-931.86,,-79.43,10.43,175.88,,
