depreciation_and_amortisation_expense_yrly,employee_benefit_expense_yrly,exceptional_item_yrly,expenditure_yrly,finance_costs_yrly,net_profit_loss_from_ordinary_activities_after_tax_yrly,net_profit_yrly,other_income_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,profit_after_interest_but_before_exceptional_items_yrly,total_income_yrly,basic_eps_yrly,date_yrly,diluted_eps_yrly
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-01,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-02,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-03,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-04,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-05,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-06,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-07,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-08,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-09,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-10,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-11,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-12,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-13,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-14,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-15,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-16,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-17,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-18,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-19,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-20,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-21,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-22,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-23,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-24,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-25,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-26,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-27,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-28,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-29,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-04-30,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-01,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-02,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-03,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-04,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-05,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-06,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-07,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-08,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-09,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-10,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-11,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-12,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-13,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-14,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-15,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-16,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-17,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-18,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-19,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-20,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-21,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-22,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-23,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-24,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-25,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-26,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-27,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-28,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-29,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-30,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-05-31,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-01,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-02,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-03,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-04,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-05,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-06,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-07,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-08,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-09,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-10,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-11,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-12,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-13,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-14,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-15,76.5
-569.9,"-6,046.80",0.0,"-52,773.00","-35,881.40","11,969.40","11,965.90",212.1,"18,315.30","18,315.30","71,088.30",76.56,2018-06-16,76.5
