date,net_profit_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,other_income_qtr,tax_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,depreciation_and_amortisation_expense_qtr,other_expenses_qtr,basic_eps_qtr,expenditure_qtr,diluted_eps_qtr,profit_after_interest_but_before_exceptional_items_qtr
2016-01-01,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-02,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-03,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-04,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-05,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-06,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-07,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-08,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-09,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-10,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-11,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-12,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-13,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-14,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-15,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-16,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-17,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-18,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-19,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-20,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-21,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-22,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-23,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-24,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-25,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-26,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-27,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-28,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-29,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-30,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-01-31,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-01,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-02,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-03,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-04,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-05,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-06,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-07,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-08,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-09,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-10,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-11,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-12,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-13,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-14,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-15,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-16,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-17,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-18,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-19,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-20,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-21,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-22,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-23,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-24,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-25,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-26,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-27,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-28,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-02-29,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-03-01,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-03-02,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-03-03,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-03-04,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-03-05,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-03-06,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-03-07,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-03-08,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-03-09,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
2016-03-10,408.31,408.31,103.24,-148.96,557.27,-21.84,-516.13,3.88,"-4,930.93",3.88,557.27
