current_tax_qtr,face_value_in_rs_qtr,diluted_eps_qtr,other_expenses_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,basic_diluted_eps_after_extraordinary_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,deferred_tax_qtr,tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,finance_costs_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,total_income_qtr,basic_eps_qtr,date,interest_qtr,depreciation_and_amortisation_expense_qtr,net_profit_qtr,basic_for_discontinued_continuing_operation_qtr,net_sales_qtr,other_income_qtr,profit_before_interest_and_exceptional_items_qtr,equity_capital_qtr,expenditure_qtr
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-08,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-09,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-10,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-11,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-12,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-13,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-14,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-15,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-16,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-17,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-18,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-19,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-20,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-21,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-22,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-23,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-24,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-25,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-26,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-27,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-28,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-29,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-30,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-05-31,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-01,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-02,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-03,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-04,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-05,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-06,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-07,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-08,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-09,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-10,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-11,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-12,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-13,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-14,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-15,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-16,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-17,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-18,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-19,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-20,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-21,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-22,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-23,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-24,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-25,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-26,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-27,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-28,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-29,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,9.38,,294.50,,,,-58.2,,,236.30,"2,954.40",9.42,2008-06-30,-39.8,,236.30,,,3.7,,250.9,"-2,443.60"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-01,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-02,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-03,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-04,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-05,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-06,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-07,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-08,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-09,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-10,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-11,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-12,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
,10.0,14.49,,437.30,,,,-72.2,,,365.10,"3,480.50",14.55,2008-07-13,-306.5,,365.10,,,5.0,,250.9,"-2,736.70"
