depreciation_and_amortisation_expense_yrly,employee_benefit_expense_yrly,exceptional_item_yrly,expenditure_yrly,finance_costs_yrly,net_profit_loss_from_ordinary_activities_after_tax_yrly,net_profit_yrly,other_income_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,profit_after_interest_but_before_exceptional_items_yrly,total_income_yrly,basic_eps_yrly,date_yrly,diluted_eps_yrly
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-01,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-02,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-03,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-04,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-05,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-06,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-07,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-08,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-09,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-10,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-11,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-12,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-13,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-14,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-15,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-16,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-17,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-18,18.58
"-2,615.60","-12,876.40",0.0,"-56,246.50",-455.4,"4,919.30","4,789.90","1,256.20","7,452.90","7,452.90","63,699.40",18.58,2022-04-19,18.58
