other_income,net_profit_loss_from_ordinary_activities_after_tax,tax,profit_loss_from_ordinary_activities_before_tax,date,expenditure,net_profit,profit_after_interest_but_before_exceptional_items,depreciation_and_amortisation_expense,finance_costs,total_income,employee_benefit_expense,exceptional_item,basic_eps,diluted_eps
746.50,"2,581.50",-876.10,"3,457.60",2022-04-01,"-11,705.20","4,692.10","3,457.60",-373.30,"-1,052.20","15,162.80","-1,227.60",0.00,1.9,1.9
746.50,"2,581.50",-876.10,"3,457.60",2022-04-02,"-11,705.20","4,692.10","3,457.60",-373.30,"-1,052.20","15,162.80","-1,227.60",0.00,1.9,1.9
746.50,"2,581.50",-876.10,"3,457.60",2022-04-03,"-11,705.20","4,692.10","3,457.60",-373.30,"-1,052.20","15,162.80","-1,227.60",0.00,1.9,1.9
746.50,"2,581.50",-876.10,"3,457.60",2022-04-04,"-11,705.20","4,692.10","3,457.60",-373.30,"-1,052.20","15,162.80","-1,227.60",0.00,1.9,1.9
746.50,"2,581.50",-876.10,"3,457.60",2022-04-05,"-11,705.20","4,692.10","3,457.60",-373.30,"-1,052.20","15,162.80","-1,227.60",0.00,1.9,1.9
746.50,"2,581.50",-876.10,"3,457.60",2022-04-06,"-11,705.20","4,692.10","3,457.60",-373.30,"-1,052.20","15,162.80","-1,227.60",0.00,1.9,1.9
746.50,"2,581.50",-876.10,"3,457.60",2022-04-07,"-11,705.20","4,692.10","3,457.60",-373.30,"-1,052.20","15,162.80","-1,227.60",0.00,1.9,1.9
746.50,"2,581.50",-876.10,"3,457.60",2022-04-08,"-11,705.20","4,692.10","3,457.60",-373.30,"-1,052.20","15,162.80","-1,227.60",0.00,1.9,1.9
746.50,"2,581.50",-876.10,"3,457.60",2022-04-09,"-11,705.20","4,692.10","3,457.60",-373.30,"-1,052.20","15,162.80","-1,227.60",0.00,1.9,1.9
746.50,"2,581.50",-876.10,"3,457.60",2022-04-10,"-11,705.20","4,692.10","3,457.60",-373.30,"-1,052.20","15,162.80","-1,227.60",0.00,1.9,1.9
746.50,"2,581.50",-876.10,"3,457.60",2022-04-11,"-11,705.20","4,692.10","3,457.60",-373.30,"-1,052.20","15,162.80","-1,227.60",0.00,1.9,1.9
746.50,"2,581.50",-876.10,"3,457.60",2022-04-12,"-11,705.20","4,692.10","3,457.60",-373.30,"-1,052.20","15,162.80","-1,227.60",0.00,1.9,1.9
746.50,"2,581.50",-876.10,"3,457.60",2022-04-13,"-11,705.20","4,692.10","3,457.60",-373.30,"-1,052.20","15,162.80","-1,227.60",0.00,1.9,1.9
