depreciation_and_amortisation_expense_qtr,employee_benefit_expenses_qtr,employee_benefit_expense_qtr,equity_capital_qtr,exceptional_item_qtr,expenditure_qtr,face_value_in_rs_qtr,finance_costs_qtr,interest_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,net_profit_qtr,number_of_public_shareholding_qtr,other_income_qtr,percentage_of_public_shareholding_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,profit_before_interest_and_exceptional_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,revenue_from_operations_qtr,tax_qtr,total_income_qtr,basic_eps_qtr,date_qtr,diluted_eps_qtr
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-01,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-02,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-03,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-04,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-05,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-06,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-07,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-08,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-09,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-10,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-11,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-12,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-13,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-14,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-15,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-16,-1.51
-398.50,,-139.8,,,"-5,641.80",,"-3,758.80",,"-2,951.00","-2,951.00",,26.0,,"-2,951.00","-2,951.00",,,,,"2,690.80",-1.51,2022-04-17,-1.51
