date,net_profit_loss_from_ordinary_activities_after_tax_yrly,current_tax_yrly,basic_eps_for_continuing_operation_yrly,net_profit_yrly,finance_costs_yrly,employee_benefit_expense_yrly,profit_after_interest_but_before_exceptional_items_yrly,net_sales_yrly,tax_yrly,diluted_for_discontinued_continuing_operation_yrly,diluted_eps_yrly,basic_for_discontinued_continuing_operation_yrly,other_income_yrly,total_income_yrly,expenditure_yrly,depreciation_and_amortisation_expense_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,exceptional_item_yrly,other_expenses_yrly,deferred_tax_yrly,diluted_eps_for_continuing_operation_yrly,basic_eps_yrly
2008-05-11,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-12,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-13,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-14,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-15,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-16,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-17,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-18,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-19,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-20,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-21,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-22,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-23,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-24,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-25,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-26,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-27,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-28,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-29,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-30,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-05-31,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-01,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-02,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-03,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-04,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-05,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-06,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-07,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-08,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-09,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-10,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-11,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-12,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
2008-06-13,95.80,,,95.80,,,,"1,306.65",-62.31,,1.23,,22.28,"1,328.93","-1,173.90",,158.11,0.00,,,,1.53
