date,other_expenses_yrly,diluted_eps_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,depreciation_and_amortisation_expense_yrly,other_income_yrly,basic_eps_yrly,profit_after_interest_but_before_exceptional_items_yrly,net_profit_loss_from_ordinary_activities_after_tax_yrly,net_profit_yrly,expenditure_yrly,tax_yrly
2015-05-14,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-15,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-16,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-17,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-18,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-19,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-20,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-21,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-22,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-23,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-24,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-25,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-26,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-27,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-28,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-29,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-30,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-05-31,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-01,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-02,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-03,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-04,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-05,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-06,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-07,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-08,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-09,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-10,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-11,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-12,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-13,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-14,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-15,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-16,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-17,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-18,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-19,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-20,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-21,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-22,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-23,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-24,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
2015-06-25,"-5,647.30",30.83,"3,627.30",-985.00,59.4,30.83,"3,627.30","2,681.00","2,681.00","-23,058.60",-946.30
