other_income,net_profit_loss_from_ordinary_activities_after_tax,tax,profit_loss_from_ordinary_activities_before_tax,date,expenditure,net_profit,profit_after_interest_but_before_exceptional_items,depreciation_and_amortisation_expense,finance_costs,total_income,employee_benefit_expense,exceptional_item,basic_eps,diluted_eps
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-06,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-07,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-08,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-09,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-10,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-11,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-12,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-13,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-14,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-15,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-16,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-17,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-18,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-19,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-20,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-21,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-22,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-23,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-24,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-25,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-26,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-27,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-28,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-29,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-30,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-05-31,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-01,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-02,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-03,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-04,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
2.0,"2,852.50","-1,535.30","4,387.80",2018-06-05,"-11,584.50","2,852.50","4,387.80",-126.6,"-8,018.30","15,972.30","-1,412.70",,18.25,18.22
