depreciation_and_amortisation_expense_yrly,employee_benefit_expense_yrly,exceptional_item_yrly,expenditure_yrly,finance_costs_yrly,net_profit_loss_from_ordinary_activities_after_tax_yrly,net_profit_yrly,other_income_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,profit_after_interest_but_before_exceptional_items_yrly,total_income_yrly,basic_eps_yrly,date_yrly,diluted_eps_yrly
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-01,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-02,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-03,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-04,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-05,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-06,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-07,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-08,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-09,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-10,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-11,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-12,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-13,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-14,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-15,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-16,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-17,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-18,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-19,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-20,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-21,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-22,52.5
-453.0,"-2,439.00",0.0,"-16,267.00",-61.0,"1,749.00","1,827.00",422.0,"2,375.00","2,375.00","18,642.00",52.5,2022-01-23,52.5
