other_income,net_profit_loss_from_ordinary_activities_after_tax,tax,profit_loss_from_ordinary_activities_before_tax,date,expenditure,net_profit,profit_after_interest_but_before_exceptional_items,depreciation_and_amortisation_expense,finance_costs,total_income,employee_benefit_expense,exceptional_item,basic_eps,diluted_eps
134.0,454.00,-166.0,620.00,2022-04-01,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-02,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-03,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-04,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-05,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-06,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-07,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-08,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-09,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-10,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-11,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-12,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-13,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-14,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-15,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-16,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-17,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-18,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-19,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-20,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-21,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-22,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-23,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-24,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-25,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-26,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-27,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-28,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-29,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-04-30,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-05-01,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-05-02,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-05-03,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
134.0,454.00,-166.0,620.00,2022-05-04,"-3,998.00",474.00,620.00,-111.0,-14.0,"4,618.00",-606.00,0.0,13.62,13.62
