date,net_profit_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,other_income_qtr,tax_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,depreciation_and_amortisation_expense_qtr,other_expenses_qtr,basic_eps_qtr,expenditure_qtr,diluted_eps_qtr,profit_after_interest_but_before_exceptional_items_qtr
2008-06-04,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-05,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-06,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-07,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-08,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-09,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-10,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-11,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-12,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-13,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-14,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-15,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-16,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-17,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-18,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-19,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-20,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-21,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-22,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-23,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-24,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-25,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-26,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-27,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-28,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-29,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-06-30,95.80,95.80,22.28,-62.31,158.11,,,1.53,"-1,173.90",1.23,
2008-07-01,126.80,126.80,18.03,-64.6,191.41,,,2.02,"-1,295.54",1.62,
