depreciation_and_amortisation_expense_yrly,employee_benefit_expense_yrly,exceptional_item_yrly,expenditure_yrly,finance_costs_yrly,net_profit_loss_from_ordinary_activities_after_tax_yrly,net_profit_yrly,other_income_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,profit_after_interest_but_before_exceptional_items_yrly,total_income_yrly,basic_eps_yrly,date_yrly,diluted_eps_yrly
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-04,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-05,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-06,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-07,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-08,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-09,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-10,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-11,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-12,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-13,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-14,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-15,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-16,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-17,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-18,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-19,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-20,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-21,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-22,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-23,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-24,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-25,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-26,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-27,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-28,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-29,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-06-30,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-01,-5.86
"-1,471.60",-619.00,-52.70,"-22,527.90","-15,015.50","-11,447.20","-11,447.20",71.7,"-11,447.20","-11,394.50","11,133.40",-5.86,2022-07-02,-5.86
