depreciation_and_amortisation_expense_qtr,employee_benefit_expenses_qtr,employee_benefit_expense_qtr,equity_capital_qtr,exceptional_item_qtr,expenditure_qtr,face_value_in_rs_qtr,finance_costs_qtr,interest_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,net_profit_qtr,number_of_public_shareholding_qtr,other_income_qtr,percentage_of_public_shareholding_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,profit_before_interest_and_exceptional_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,revenue_from_operations_qtr,tax_qtr,total_income_qtr,basic_eps_qtr,date_qtr,diluted_eps_qtr
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-11,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-12,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-13,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-14,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-15,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-16,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-17,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-18,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-19,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-20,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-21,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-22,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-23,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-24,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-25,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-26,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-27,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-28,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-29,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-04-30,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-01,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-02,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-03,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-04,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-05,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-06,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-07,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-08,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-09,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-10,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-11,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-12,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-13,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-14,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-15,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-16,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-17,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-18,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-19,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-20,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-21,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-22,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-23,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-24,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-25,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-26,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-27,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-28,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-29,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-30,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-05-31,13.62
-111.0,,-606.0,,0.0,"-3,998.00",,-14.0,,454.0,474.0,,134.0,,620.0,620.0,,,,-166.0,"4,618.00",13.62,2022-06-01,13.62
