date,net_profit_loss_from_ordinary_activities_after_tax_yrly,current_tax_yrly,basic_eps_for_continuing_operation_yrly,net_profit_yrly,finance_costs_yrly,employee_benefit_expense_yrly,profit_after_interest_but_before_exceptional_items_yrly,net_sales_yrly,tax_yrly,diluted_for_discontinued_continuing_operation_yrly,diluted_eps_yrly,basic_for_discontinued_continuing_operation_yrly,other_income_yrly,total_income_yrly,expenditure_yrly,depreciation_and_amortisation_expense_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,exceptional_item_yrly,other_expenses_yrly,deferred_tax_yrly,diluted_eps_for_continuing_operation_yrly,basic_eps_yrly
2008-04-01,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-02,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-03,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-04,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-05,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-06,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-07,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-08,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-09,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-10,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-11,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-12,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-13,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-14,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-15,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-16,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-17,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-18,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-19,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-20,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-21,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-22,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-23,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-24,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-25,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-26,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-27,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-28,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-29,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-04-30,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-05-01,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-05-02,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-05-03,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-05-04,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-05-05,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-05-06,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-05-07,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-05-08,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-05-09,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
2008-05-10,236.30,,,236.30,,,,,-58.2,,9.38,,3.7,"2,954.40","-2,443.60",,294.50,-176.5,,,,9.42
