current_tax_qtr,face_value_in_rs_qtr,diluted_eps_qtr,other_expenses_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,basic_diluted_eps_after_extraordinary_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,deferred_tax_qtr,tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,finance_costs_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,total_income_qtr,basic_eps_qtr,date,interest_qtr,depreciation_and_amortisation_expense_qtr,net_profit_qtr,basic_for_discontinued_continuing_operation_qtr,net_sales_qtr,other_income_qtr,profit_before_interest_and_exceptional_items_qtr,equity_capital_qtr,expenditure_qtr
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-09,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-10,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-11,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-12,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-13,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-14,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-15,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-16,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-17,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-18,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-19,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-20,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-21,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-22,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-23,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-24,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-25,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-26,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-27,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-28,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-29,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-30,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-05-31,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-01,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-02,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-03,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-04,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-05,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-06,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-07,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-08,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-09,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-10,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-11,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-12,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-13,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-14,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-15,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-16,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-17,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-18,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-19,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-20,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-21,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-22,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-23,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-24,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-25,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-26,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-27,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-28,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-29,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.68,,261.60,10.68,,,-81.59,,,180.01,"1,161.27",10.68,2008-06-30,-0.01,,180.01,,,110.62,,168.61,-899.65
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-01,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-02,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-03,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
,10.0,10.43,,255.31,,,,-79.43,,,175.88,"1,187.17",10.43,2008-07-04,-0.01,,175.88,,"1,077.69",107.8,,168.61,-931.86
