current_tax_qtr,face_value_in_rs_qtr,diluted_eps_qtr,other_expenses_qtr,profit_loss_from_ordinary_activities_before_tax_qtr,basic_diluted_eps_after_extraordinary_items_qtr,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,deferred_tax_qtr,tax_qtr,profit_after_interest_but_before_exceptional_items_qtr,finance_costs_qtr,net_profit_loss_from_ordinary_activities_after_tax_qtr,total_income_qtr,basic_eps_qtr,date,interest_qtr,depreciation_and_amortisation_expense_qtr,net_profit_qtr,basic_for_discontinued_continuing_operation_qtr,net_sales_qtr,other_income_qtr,profit_before_interest_and_exceptional_items_qtr,equity_capital_qtr,expenditure_qtr
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-20,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-21,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-22,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-23,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-24,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-25,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-26,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-27,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-28,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-29,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-30,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.46,"-1,469.95",923.19,0.46,912.33,,-142.81,923.19,,780.38,,0.46,2015-12-31,-107.98,-126.54,780.38,,"6,924.20",118.84,"1,031.17","3,428.75","-6,011.87"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-01,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-02,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-03,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-04,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-05,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-06,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-07,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-08,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-09,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-10,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-11,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-12,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-13,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-14,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-15,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-16,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-17,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-18,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-19,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-20,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-21,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-22,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-23,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-24,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-25,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-26,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-27,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-28,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-29,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-30,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
,2.0,0.48,"-1,425.22",842.88,0.48,842.99,,-6.91,842.88,,835.97,,0.48,2016-01-31,-108.3,-150.0,835.97,,"6,713.37",108.19,951.18,"3,428.75","-5,870.39"
