date,net_profit_loss_from_ordinary_activities_after_tax_yrly,profit_loss_from_ordinary_activities_before_tax_yrly,other_income_yrly,basic_eps_yrly,expenditure_yrly,other_expenses_yrly,tax_yrly,diluted_eps_yrly,net_profit_yrly,profit_after_interest_but_before_exceptional_items_yrly,depreciation_and_amortisation_expense_yrly
2015-10-01,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-02,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-03,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-04,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-05,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-06,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-07,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-08,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-09,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-10,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-11,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-12,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-13,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-14,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
2015-10-15,780.38,923.19,118.84,0.46,"-6,011.87","-1,469.95",-142.81,0.46,780.38,923.19,-126.54
