shap_value,feature
1.0242066645763138e-05,momentum_stoch_20
9.945900597861893e-06,trend_cci_50
9.930278389008948e-06,trend_macd_signal_20
9.822087365659176e-06,volatility_kcc
9.622966083871291e-06,volatility_atr_200
9.58278958119825e-06,trend_vortex_ind_diff_10
9.577763356992238e-06,volatility_dcp_50
9.430538121890151e-06,trend_cci_5
9.405430129616922e-06,high_20
9.396742604235697e-06,volume_mfi_200
9.379508816019135e-06,volatility_bbw
9.337036291569073e-06,volatility_kchi_10
8.98088979215457e-06,momentum_tsi
8.905673658761799e-06,momentum_uo_20
8.777445154750873e-06,volume_em_50
8.653754783300107e-06,trend_ichimoku_a_100
8.616748830138775e-06,volume_adi_100
8.609680123659643e-06,volume_vpt_20
8.286725101425934e-06,volatility_bbw_10
8.163373842852767e-06,volume_vwap_100
8.11711773736395e-06,volume_mfi_50
8.063391062260413e-06,momentum_stoch_rsi_100
7.962297515855101e-06,momentum_pvo_200
7.956459312731774e-06,volatility_bbh_200
7.861078267017631e-06,trend_adx_neg_100
7.795143961653309e-06,volatility_kcw_10
7.778666089737943e-06,trend_adx_neg_20
7.73174698334104e-06,volatility_bbp_5
7.49670280965572e-06,volatility_dcw_5
7.350790085478548e-06,trend_visual_ichimoku_b_200
7.301410996951284e-06,trend_kst_diff_200
7.278625468272898e-06,momentum_ao
7.151703505055393e-06,volatility_dcl
7.14346032499503e-06,volume_em_5
7.025067676250854e-06,volume_fi_5
7.003503601149729e-06,momentum_tsi_20
6.993940645445969e-06,trend_psar_up_indicator_5
6.938453460952044e-06,volume_vpt_50
6.863267003936705e-06,volatility_bbhi_20
6.794700349802444e-06,momentum_wr_10
6.744778178687857e-06,trend_macd_100
6.6547650022077764e-06,trend_trix_100
6.6511740716132015e-06,volume_obv_20
6.618955066391847e-06,trend_aroon_down_100
6.615812671117617e-06,momentum_pvo_20
6.600600836476054e-06,volume_cmf_5
6.57265387078474e-06,net_profit_qtr
6.517891090859891e-06,trend_trix
6.389370518152272e-06,volume_vwap_20
6.344858824266014e-06,volatility_bbl_200
6.314202642692212e-06,volume_vwap_50
6.263927137955863e-06,volatility_kcw_200
6.2626559199260705e-06,volatility_bbhi_50
6.216047967999489e-06,momentum_stoch_10
6.191267389892841e-06,volatility_kch
6.1548411189820206e-06,volatility_kcli
6.118001139138751e-06,depreciation_and_amortisation_expense_qtr
6.098524443734867e-06,volatility_kcli_5
6.052625819143952e-06,momentum_ppo_hist_5
6.045689104071989e-06,trend_stc_100
5.9712810925532475e-06,volume_mfi_5
5.9526866182208115e-06,volume_cmf_100
5.921113507099574e-06,momentum_uo_50
5.854851705070289e-06,volume_vwap
5.808541990404607e-06,volume_nvi_20
5.80712299242969e-06,momentum_pvo_signal_10
5.8008777123580335e-06,trend_sma_slow
5.796933458227412e-06,trend_adx_pos_20
5.784380573860495e-06,trend_adx
5.690580140098247e-06,trend_kst_diff_100
5.686905275789435e-06,volatility_atr_10
5.6294627135343785e-06,volatility_atr
5.609611309184813e-06,trend_kst_diff_10
5.608963889988032e-06,volume_adi_200
