shap_value,feature
0.07811307381528453,basic_eps_qtr
0.06103529472571025,momentum_kama_200
0.05776054331444885,volatility_bbp
0.050317062801354576,percentage_of_public_shareholding_qtr
0.047284118943415,topic_polarity
0.029437438000480185,momentum_kama
0.023381068186029533,other_income_yrly
0.021387428636679615,volume_sma_em
0.020033007232364636,others_dlr_200
0.016742921514710154,momentum_stoch_rsi_k_50
0.015756937781025625,exceptional_item_qtr
0.012328911931871574,trend_aroon_ind_5
0.011859550959624246,volatility_bbli_200
0.008001274768307823,momentum_ppo_20
0.007907942220123395,volume_mfi_20
0.007819977583019335,momentum_wr
0.007220968979649445,volume_vwap_200
0.0071514542669386255,trend_adx_pos_5
0.007029449565802785,finance_costs_qtr
0.006997362160878005,low_50
0.006921904612879485,trend_vortex_ind_neg_10
0.006847135834472822,volatility_kcl_20
0.006636510371563128,trend_kst_sig_100
0.006574042084974498,momentum_ppo_signal_200
0.006476302822948537,trend_visual_ichimoku_a_50
0.00634646018243845,volatility_bbh_20
0.006323001994939254,volume
0.006295807675893635,trend_ichimoku_conv_50
0.006038894154770694,volume_mfi_200
0.005141043445182464,trend_kst_sig_50
0.004764869566456453,trend_macd_10
0.004515053212280442,momentum_pvo_20
0.0024821548513726545,trend_psar_down_indicator_50
0.002283239031579722,low_20
0.0016957956677085503,trend_stc_20
0.0012940214060465352,trend_macd_200
0.0012130685377480038,momentum_ao
0.0010053372104859143,volatility_bbp_200
0.0009882915477942651,momentum_uo_50
0.0008542697260409501,trend_aroon_ind_50
0.0008363223192859302,trend_ema_slow_10
0.0007864130380265425,volatility_bbl_50
0.0007115586730810994,trend_trix_20
0.0006956656841978505,momentum_stoch_rsi_5
0.0006842598652657667,momentum_tsi_20
0.0006635336513427809,trend_adx_neg_5
0.0006294782032227243,trend_kst_diff_50
0.0006158989585816918,trend_ema_fast_10
0.0006045125767240787,trend_ichimoku_base_200
0.0005869620078205893,volatility_bbli_20
0.0005814324941531543,volatility_kch_10
0.0005761945626797352,volatility_kchi_200
0.0005587586778394535,momentum_uo_20
0.0005577959435598844,trend_visual_ichimoku_b_200
0.0005487113500521481,trend_adx_neg_50
0.0004147711748461332,momentum_stoch_rsi_d_200
0.0004102893486748945,trend_vortex_ind_diff_100
0.0003744742540497657,low_5
0.00032690298383726053,trend_stc_5
0.0003225128038869369,momentum_stoch_50
0.00032224870287591716,trend_stc_100
0.00031735632024826495,trend_macd_diff_10
0.0003171325914396255,volatility_bbw_20
0.0002999006362958243,momentum_wr_50
0.0002913930622497086,trend_vortex_ind_pos_5
0.0002893175033269822,trend_stc_10
0.0002880845352431806,volume_adi_20
0.00027928209255243083,hsi_percent_change
0.0002607752565428856,trend_kst_sig_10
0.0002581260454156545,volume_cmf_50
0.000253252702864042,sha_percent_change
0.00024431420159902955,trend_dpo_10
0.00024424356657844334,volatility_kcw_200
0.00024196024113390394,others_cr
0.00023363625450834388,momentum_pvo_hist_20
0.00023285771457487892,trend_mass_index_20
0.00022830069280096256,trend_psar_down_indicator_5
0.0002274378804795557,trend_dpo_5
0.0002270817192910552,momentum_rsi_50
0.00021926673745992562,volatility_dch_20
0.00021891111683030863,trend_adx_pos_10
0.0002175119464941414,high_5
0.00020913325406211286,momentum_ao_5
0.0001954294861391864,volatility_kcli_20
0.0001926171436240035,momentum_stoch_rsi_k_20
0.00019111809426728798,volatility_dch_10
0.0001888822269183306,trend_mass_index_100
0.00018470469527834558,volatility_kcw_50
0.00017480794126877944,employee_benefit_expenses_qtr
0.00017318764380584874,trend_ichimoku_base_50
0.00016865879665523188,volatility_bbhi_5
0.00016514046473866783,trend_aroon_ind_20
0.00016485535265825874,volatility_bbp_5
0.00016284246558424207,trend_aroon_up
0.00016001802857303662,trend_vortex_ind_diff_200
0.00015837832139989084,momentum_pvo_signal_50
0.00015612401587632347,momentum_ppo
0.00015590161811831268,trend_ichimoku_base_100
0.0001552038442852239,volatility_kcp_50
0.00015301793691235746,volume_fi_50
0.00015001326154237774,momentum_stoch_signal_20
0.00014759367424124263,volatility_kch
0.00014587070211284446,volatility_bbp_20
0.00014257997087768366,volatility_kchi_20
0.00013990472121528204,volatility_dcl
0.0001391149681671311,volume_em_20
0.00013463343178032885,momentum_rsi_20
0.00013381852172776135,trend_aroon_down_50
0.00013343842000290492,trend_psar_up_indicator
0.00013271066900542443,trend_adx_neg_200
0.00013198350696767196,volatility_kcl_200
0.00013043822666526734,momentum_kama_20
0.00013013519171838786,volatility_bbw
0.00013005137345665469,trend_aroon_up_100
0.00012994074987074183,volume_fi
0.00012904453629082526,trend_dpo_50
0.0001282419628818215,volatility_atr_200
0.0001279601725840098,momentum_stoch_rsi_d_100
0.00012689096032991905,momentum_ppo_5
0.00012643212907349215,trend_ichimoku_a_100
0.0001253752564397094,volatility_kcli_5
0.00012487255324209514,trend_ichimoku_conv_200
0.00012265125851087334,momentum_roc
0.00011909924088923607,momentum_roc_20
0.00011903538544859177,volatility_dch
0.0001167554781810982,momentum_stoch_rsi_d_5
0.00011453797420833929,trend_aroon_down_10
0.0001132314832039722,volume_cmf_5
0.00011145369412105122,trend_ema_fast_200
0.00010979745510436811,trend_mass_index_5
0.00010910572404995996,trend_adx_50
0.00010695220258391534,momentum_rsi_5
0.00010538618647081875,volatility_dcm
0.00010412060411720548,trend_ema_fast_100
0.00010317722490330127,volatility_dcw_20
0.00010288372067792846,volume_cmf_20
0.00010071112889121487,trend_kst_diff_200
9.996345835078314e-05,diluted_eps_qtr
9.960494824489567e-05,trend_macd_signal_20
