shap_value,feature
0.24339699197609177,employee_benefit_expenses_qtr
0.07895753098747202,trend_vortex_ind_neg_100
0.05618548617566045,volatility_bbhi
0.04252412184101481,volume_sma_em_200
0.03754277221770805,trend_aroon_ind
0.03585260108277282,volatility_bbp_200
0.03286321636080081,volatility_bbp
0.02979163924994804,volatility_kcl_200
0.025381290242986968,open
0.023886846453525203,momentum_pvo_hist_200
0.022062893988927367,volatility_bbli_200
0.02009597385937977,trend_aroon_down_50
0.01301190400263206,basic_eps_qtr
0.012660274242662986,volatility_dch_100
0.012601707657020251,trend_ema_fast_100
0.011777222764033594,topic_polarity
0.011469867125161905,momentum_pvo_hist_20
0.011078093643286229,trend_vortex_ind_diff_200
0.00950564558003692,other_income_yrly
0.009425812162024785,volume_fi_20
0.008956962317010504,trend_sma_fast_100
0.0086972109832889,momentum_uo
0.008470497159819087,volume_obv_20
0.00815602169942086,trend_ichimoku_base_200
0.008088288421770402,momentum_kama_200
0.007769023335959483,trend_macd_200
0.007316655958558472,trend_aroon_down
0.006567098377621423,volatility_kcli_200
0.005769676757878309,expenditure_qtr
0.00455020028089227,trend_aroon_down_10
0.004486044286090392,volatility_dcm_200
0.004455827979160842,volume_cmf
0.004375149955459637,volatility_kcli_10
0.004373736715008367,trend_visual_ichimoku_b_200
0.00427650606637703,volatility_bbp_50
0.004190662942721794,volatility_bbm_200
0.004122113413754029,volume_adi_5
0.004063097842210276,diluted_eps_qtr
0.003989262641647119,trend_kst_sig_100
0.0038902660056069284,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr
0.0037900021943660634,trend_kst_sig_50
0.0036488808165156855,volatility_bbm_50
0.003585722078996085,volatility_kcc_5
0.0033738573154365676,trend_ichimoku_b_10
0.003301244136060008,trend_aroon_up_5
0.003278114053101024,trend_ichimoku_a_50
0.0031130202667493966,momentum_wr_20
0.0029851978374968546,volatility_bbh_20
0.0027563117483836693,volatility_kcl_20
0.0024325956702451867,volume_nvi_50
0.00235793665149865,profit_loss_from_ordinary_activities_before_tax_yrly
0.002350143930139329,momentum_stoch_20
0.0020327475934590155,trend_kst_diff_100
0.001980457765859279,momentum_pvo_hist_5
0.0015948623296495577,momentum_uo_5
0.0015553354057277968,trend_ichimoku_a_5
0.0014750637302461548,trend_mass_index_5
0.0013564100888356727,trend_vortex_ind_neg_20
0.001354426793690298,diluted_eps_yrly
0.0013417345711629431,trend_visual_ichimoku_a_200
0.0013236691464786339,basic_eps_yrly
0.0012520802033192827,agg_compound
0.0012505749780530701,volatility_kcw_20
0.0012500495206559704,volatility_atr_10
0.001220547697755491,trend_ema_slow_100
0.0010996807900060161,others_cr_200
0.0009822970894943909,volatility_kcw_200
0.000979982856263855,volatility_kcw_10
0.0009649213511320777,momentum_pvo_signal_50
0.0009256855962235459,expenditure_yrly
0.0008761088542463574,trend_stc_10
0.0008625279028668868,profit_after_interest_but_before_exceptional_items_qtr
0.0008053866054441331,momentum_ppo_5
0.0008038849273485362,trend_ichimoku_base_100
0.000796907253818054,trend_vortex_ind_diff_5
0.0007789597810295164,topic_subjectivity
0.0007472124624460487,ticker_compound
0.0007233992496105283,volume_fi_50
0.0006719243977020002,momentum_tsi_20
0.0006384243930500793,momentum_tsi_100
0.0006383656666859131,volatility_kcli_50
0.0006261908427738808,volatility_dcw_100
0.0005779806079545162,momentum_pvo
0.0005564764789792927,trend_aroon_ind_10
0.0005537301011906135,volatility_kcc
0.0005493524022132172,trend_psar_down_indicator_50
0.0005368784974271072,trend_sma_slow_10
0.0005358049002256849,trend_aroon_ind_50
0.0005350760077818038,volume_cmf_100
0.000518654018122278,volatility_kcc_20
