date,Net Sales_QTR,Other Income_QTR,Total Income_QTR,Expenditure_QTR,Cost of Materials Consumed_QTR,Finance Costs_QTR,Other Expenses_QTR,Purchases of stock-in-trade_QTR,"Changes in inventories of finished goods, work-in-progress and stock-in-trade_QTR",Employee benefit expense_QTR,Depreciation and amortisation expense_QTR,Profit (+)/ Loss (-) from Ordinary Activities before Tax_QTR,Tax_QTR,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax_QTR,Net Profit_QTR,Current tax_QTR,Deferred tax_QTR,Minority Interest_QTR,Share of Profit & Loss of Asso_QTR,Net Profit after Mino Inter & Share of P & L_QTR,Any Other_QTR,Income Attributable to Consolidated Group_QTR,EPS after Extraordinary items (in Rs)_QTR,Exceptional Item_QTR,Profit after Interest but before Exceptional Items_QTR,Net Profit Loss for the period from continuing operations_QTR,Profit (loss) from discontinuing operations before tax_QTR,Tax expense of discontinuing operations_QTR,Net profit (loss) from discontinuing operation after tax_QTR,Other Comprehensive Income Net of Taxes_QTR,Any Other Comprehensive Item_QTR,Total Comprehensive Income for the Period_QTR,Total Amount of items that will not be reclassified to profit and loss_QTR,Income tax relating to items that will not be reclassified to profit or loss_QTR,Total Amount of items that will be reclassified to profit and loss_QTR,Income tax relating to items that will be reclassified to profit or loss_QTR,Net movement in regulatory deferral account balances_QTR,Share of profit(loss) of associates and joint ventures_QTR,Basic EPS for continuing operation_QTR,Diluted EPS for continuing operation_QTR,Basic for discontinued & continuing operation_QTR,Diluted for discontinued & continuing operation_QTR,_QTR,basic_eps_QTR,diluted_eps_QTR,Others_QTR,Short/(Excess) Provision of Earlier Years_QTR,Deferred tax liability / (asset)_QTR,Net Sales/Revenue From Operations_QTR,Revenue from Operations_QTR,Purchase of Stock in Trade_QTR,Basic EPS before Extraordinary items_QTR,"Profit from Operations before Other Income, Interest and Exceptional Items_QTR",Interest_QTR,Diluted EPS after Extraordinary items_QTR,Deferred Tax_QTR,"Changes in inventories of finished goods, wip and Stock-in-trade_QTR",Cost of Material Consumed_QTR,Foreign Exchange (Gain) / Loss_QTR,Diluted EPS before Extraordinary items_QTR,Profit before Interest and Exceptional Items_QTR,Face Value (in Rs)_QTR,Employee Benefit Expenses_QTR,Net Sales/Income from Operations (Net of Excise Duty)_QTR,Other Operating Income_QTR,Basic EPS after Extraordinary items_QTR,Current - net of Short/(Excess) provision of earlier years_QTR,Equity Capital_QTR,Excise Duty On Sale_QTR,Gross Sales / Income from operations_QTR,Employee benefits expenses_QTR,Purchases of Stock in Trade_QTR,"Changes in inventories of finished goods, Work in Progress and Stock in Trade_QTR",% of the total of promoter & promoter group_QTR,%  of the total share capital of the company_QTR,Percentage of Public Shareholding_QTR,Basic & Diluted EPS after Extraordinary items_QTR,% of the total share capital of the company_QTR,%  of the total of promoter & promoter group_QTR,Encumbered Number  of Shares_QTR,Non-encumbered Number of Shares_QTR,Foreign Exchange transactions/translations (gain) / loss_QTR,Number of Public Shareholding_QTR,Financial Cost_QTR,Short/(-) excess provisions for Current tax of earlier years_QTR,Net Sales / Income from Operations_QTR,Current Tax_QTR,Current net of Short / (Excess) provision of earlier year _QTR,Finance Cost_QTR,Tax Expense_QTR,Manufacturing & Other Expenditure_QTR,Employees Cost_QTR,Material Consumption_QTR,(Increase) / Decrease In Stock In Trade & WIP_QTR,Tax expenses (Including Deferred Tax & tax for earlier year)_QTR,Foreign Exchange translation gain / (loss)_QTR,Depreciation & Amortization_QTR,Purchase of Traded Goods_QTR,Construction Materials_QTR,Material Consumed_QTR,Depreciation / Amortisation_QTR,Purchase of Trade Goods_QTR,Foreign Exchange (Gain) / Loss (Net)_QTR,Tax expenses (Including Deferred Tax)_QTR,Manufacturing & Other Expenses_QTR,Foreign Exchange Traslation_QTR,Materials Consumption_QTR,Other Expenditure_QTR,Foreign Exchange Traslation Exp_QTR,"Tax expenses (Including Deferred Tax, Fringe Benifit Tax & earlier year provision)_QTR",Income Tax Relating to Earlier Years_QTR,Consumption of Materials_QTR,Deferred Tax & Fringe Benefit Tax_QTR,Consumption of Raw Materials_QTR,Extraordinary Items_QTR,Provision for Investment / loan in Subsidiary_QTR
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-06-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-06-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-06-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-06-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-06-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-06-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-06-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-06-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-06-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,344.00",120.90,"15,464.90","-9,998.50","-3,720.00",-27.40,"-2,581.10",-679.30,82.90,"-2,563.30",-510.30,"5,466.40",-998.90,"4,467.50","4,456.80","-1,029.80",30.90,0.00,0.00,"4,456.80",0.00,"4,456.80",,0.00,"5,466.40","4,467.50",0.00,0.00,0.00,-31.20,0.00,"4,425.60",0.00,0.00,0.00,0.00,0.00,-10.70,35.27,35.24,35.27,35.24,Notes,35.27,35.24,2020-06-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
