date,Net Sales_YRLY,Other Income_YRLY,Total Income_YRLY,Expenditure_YRLY,Finance Costs_YRLY,Other Expenses_YRLY,Employee benefit expense_YRLY,"Changes in inventories of finished goods, work-in-progress and stock-in-trade_YRLY",Purchases of stock-in-trade_YRLY,Depreciation and amortisation expense_YRLY,Profit (+)/ Loss (-) from Ordinary Activities before Tax_YRLY,Tax_YRLY,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax_YRLY,Net Profit_YRLY,Current tax_YRLY,Deferred tax_YRLY,Minority Interest_YRLY,Share of Profit & Loss of Asso_YRLY,Net Profit after Mino Inter & Share of P & L_YRLY,Any Other_YRLY,Income Attributable to Consolidated Group_YRLY,EPS after Extraordinary items (in Rs)_YRLY,Exceptional Item_YRLY,Profit after Interest but before Exceptional Items_YRLY,Net Profit Loss for the period from continuing operations_YRLY,Profit (loss) from discontinuing operations before tax_YRLY,Tax expense of discontinuing operations_YRLY,Net profit (loss) from discontinuing operation after tax_YRLY,Other Comprehensive Income Net of Taxes_YRLY,Any Other Comprehensive Item_YRLY,Total Comprehensive Income for the Period_YRLY,Total Amount of items that will not be reclassified to profit and loss_YRLY,Income tax relating to items that will not be reclassified to profit or loss_YRLY,Total Amount of items that will be reclassified to profit and loss_YRLY,Income tax relating to items that will be reclassified to profit or loss_YRLY,Net movement in regulatory deferral account balances_YRLY,Share of profit(loss) of associates and joint ventures_YRLY,Basic EPS for continuing operation_YRLY,Diluted EPS for continuing operation_YRLY,Basic for discontinued & continuing operation_YRLY,Diluted for discontinued & continuing operation_YRLY,_YRLY,basic_eps_YRLY,diluted_eps_YRLY,Depreciation and amortisation expenses_YRLY,Interest income on income tax refund_YRLY,Deferred Tax_YRLY,Profit before extraordinary items and Tax_YRLY,Revenue from Operations_YRLY,Extraordinary Items_YRLY,Short provision for tax relating to prior years_YRLY
2021-09-22,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-09-23,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-09-24,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-09-25,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-09-26,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-09-27,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-09-28,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-09-29,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-09-30,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-01,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-02,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-03,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-04,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-05,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-06,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-07,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-08,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-09,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-10,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-11,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-12,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-13,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-14,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-15,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-16,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-17,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-18,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-19,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-20,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-21,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-22,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-23,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-24,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-25,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-26,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-27,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-28,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-29,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-30,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-10-31,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-01,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-02,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-03,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-04,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-05,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-06,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-07,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-08,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-09,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-10,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-11,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-12,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-13,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-14,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
2021-11-15,"55,533.70","1,019.80","56,553.50","-51,549.90",-180.50,"-3,295.30","-7,370.20",,"-40,230.70",-473.20,"5,003.60","-1,239.30","3,764.30","3,764.30","-1,454.70",215.40,0.00,0.00,"3,764.30",0.00,"3,764.30",,0.00,"5,003.60","3,764.30",0.00,0.00,0.00,40.00,0.00,"3,804.30",0.00,0.00,0.00,0.00,0.00,0.00,36.23,36.21,36.23,36.21,Notes,36.23,36.21,,,,,,,
