Net Sales,Other Income,Total Income,Expenditure,Cost of Materials Consumed,Finance Costs,Other Expenses,Purchases of stock-in-trade,"Changes in inventories of finished goods, work-in-progress and stock-in-trade",Employee benefit expense,Depreciation and amortisation expense,Profit (+)/ Loss (-) from Ordinary Activities before Tax,Tax,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax,Net Profit,Current tax,Deferred tax,Minority Interest,Share of Profit & Loss of Asso,Net Profit after Mino Inter & Share of P & L,Any Other,Income Attributable to Consolidated Group,EPS after Extraordinary items (in Rs),Exceptional Item,Profit after Interest but before Exceptional Items,Net Profit Loss for the period from continuing operations,Profit (loss) from discontinuing operations before tax,Tax expense of discontinuing operations,Net profit (loss) from discontinuing operation after tax,Other Comprehensive Income Net of Taxes,Any Other Comprehensive Item,Total Comprehensive Income for the Period,Total Amount of items that will not be reclassified to profit and loss,Income tax relating to items that will not be reclassified to profit or loss,Total Amount of items that will be reclassified to profit and loss,Income tax relating to items that will be reclassified to profit or loss,Net movement in regulatory deferral account balances,Share of profit(loss) of associates and joint ventures,Basic EPS for continuing operation,Diluted EPS for continuing operation,Basic for discontinued & continuing operation,Diluted for discontinued & continuing operation,,date,Othe Expenses,Other expensees,Net Sales/Revenue From Operations,Purchases of Stock in Trade,Depreciation and amortisation expenses,Excise Duty,Employee benefits expenses,Revenue from Operations,Others,Net Sales / Income from Operations,Basic & Diluted EPS after Extraordinary items,Other Operating Income,Employee Benefit Expenses,Profit before Interest and Exceptional Items,"Profit from Operations before Other Income, Interest and Exceptional Items",Face Value (in Rs),Cost of Material Consumed,Interest,Basic & Diluted EPS before Extraordinary items,Equity Capital,"Changes in inventories of finished goods, wip and Stock-in-trade",Other Expenditure,Diluted earnings per share before extraordinary items,Net sales or Revenue from Operations,Basic earnings per share after extraordinary items,Other Operating Revenues,Diluted earnings per share after extraordinary items,Basic earnings per share before extraordinary items,Non-encumbered Number of Shares,Percentage of Public Shareholding,% of the total share capital of the company,Number of Public Shareholding,% of the total of promoter & promoter group,Net Sales/Income from Operations (Net of Excise Duty),Purchase of Stock in Trade,Financial Cost,(Increase) / Decrease In Stock In Trade & WIP,Employees Cost,Depreciation,Consumption of Raw Materials,Purchase of Traded Goods,Depreciation & amortization expense,Tax Expense,Total Comprehensive Income for the Period Attributable to Owners of Parent Non-Controlling Interests,"Profit or Loss, Attributable to Owners of Parent",Prior Period Items,EPS before Extraordinary items (in Rs),"Total Profit or Loss, Attributable to Non-Controlling Interests",Comprehensive Income for the Period Attributable to Owners of Parent,Extraordinary Items,Cost of Investment In Sub,Reserves
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-08-24,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-08-25,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-08-26,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-08-27,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-08-28,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-08-29,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-08-30,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-08-31,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-01,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-02,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-03,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-04,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-05,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-06,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-07,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-08,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-09,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-10,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-11,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-12,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-13,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-14,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-15,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-16,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-17,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-18,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-19,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-20,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-21,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-22,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-23,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-24,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-25,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-26,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-27,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-28,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-29,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52.50,"2,057.20","-1,875.20",-939.60,-5.50,-473.90,-143.60,121.60,-358.20,-76.00,182.00,-65.90,116.10,116.10,-80.00,14.10,,,,,,,,182.00,,,,,,,,,,,,,,,,3.34,3.34,Notes,2017-09-30,,,"2,004.70",,,,,"2,004.70",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-01,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-02,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-03,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-04,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-05,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-06,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-07,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-08,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-09,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-10,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-11,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-12,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-13,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-14,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-15,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-16,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-17,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-18,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-19,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-20,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-21,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-22,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-23,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-24,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-25,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-26,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-27,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-28,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,97.50,"3,379.40","-2,951.20","-1,128.30",-7.50,-747.10,-180.60,-437.90,-364.80,-85.00,428.20,-154.70,273.50,273.50,-181.70,27.00,,,,,,,,428.20,,,,,,,,,,,,,,,,7.87,7.87,Notes,2017-10-29,,,"3,281.90",,,,,"3,281.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
