Net Sales,Other Income,Total Income,Expenditure,Cost of Materials Consumed,Finance Costs,Other Expenses,Employee benefit expense,Depreciation and amortisation expense,Profit (+)/ Loss (-) from Ordinary Activities before Tax,Tax,Net Profit (+)/ Loss (-) from Ordinary Activities after Tax,Net Profit,Current tax,Deferred tax,Minority Interest,Share of Profit & Loss of Asso,Net Profit after Mino Inter & Share of P & L,Any Other,Income Attributable to Consolidated Group,EPS after Extraordinary items (in Rs),Exceptional Item,Profit after Interest but before Exceptional Items,Net Profit Loss for the period from continuing operations,Profit (loss) from discontinuing operations before tax,Tax expense of discontinuing operations,Net profit (loss) from discontinuing operation after tax,Other Comprehensive Income Net of Taxes,Any Other Comprehensive Item,Total Comprehensive Income for the Period,Total Amount of items that will not be reclassified to profit and loss,Income tax relating to items that will not be reclassified to profit or loss,Total Amount of items that will be reclassified to profit and loss,Income tax relating to items that will be reclassified to profit or loss,Net movement in regulatory deferral account balances,Share of profit(loss) of associates and joint ventures,Basic EPS for continuing operation,Diluted EPS for continuing operation,Basic for discontinued & continuing operation,Diluted for discontinued & continuing operation,,date,"Cost of Land, Plots, Constructed Properties and Others",Employee benefits expenses,Depreciation and amortisation expenses,Tax Expenses,Revenue from Operations,Diluted for discontinued operation,Basic for discontinued operation,"Cost of Land, Plots, Constructed Properties",Others,Reserves,"Profit or Loss, Attributable to Owners of Parent",Prior Period Items,Employee Benefit Expenses,Equity Capital,"Total Profit or Loss, Attributable to Non-Controlling Interests",Extraordinary Item,Prior Period Adjustments,Interest,Extraordinary Items,Total Comprehensive Income for the Period Attributable to Owners of Parent Non-Controlling Interests,"Depreciation, Amortisation & Impairment",EPS before Extraordinary items (in Rs),"Profit from Operations before Other Income, Interest and Exceptional Items",Diluted EPS after Extraordinary items,Comprehensive Income for the Period Attributable to Owners of Parent,Cost of Investment In Sub,Basic EPS after Extraordinary items,Sales & Other Receipts,"Cost of Land, Development Rights, Constructed Properities & Others",Profit before Interest and Exceptional Items,Face Value (in Rs),Diluted EPS before Extraordinary items,Basic EPS before Extraordinary items,Pending at the beginning of the quarter,Cost of Revenues,Debt Equity Ratio,Other Expenditure,Percentage of Public Shareholding,Deferred Tax,Disposed of during the quarter,Debt Service Coverage Ratio,Debt Earning Per Share (EPS),Paid up Debt Capital,Received during the quarter,Depreciation,Provision for Tax including Fringe Benefit Tax,Debt Face Value,Debenture Redemption Reserve,Remaining unresolved at the end of the quarter,Number of Public Shareholding,Staff Cost,Investor Complaints,Cost of Land Plots & Constructed Properties,Interest Service Coverage Ratio
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-08,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-09,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-10,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-11,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-12,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-13,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-14,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-15,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-16,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-17,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-18,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-19,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-20,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-21,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-22,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-23,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-24,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-25,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-26,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-27,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-28,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-29,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-30,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-05-31,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-01,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-02,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-03,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-04,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-05,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-06,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-07,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-08,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-09,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-10,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-11,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-12,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-13,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-14,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-15,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-16,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-17,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-18,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-19,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-20,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-21,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-22,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-23,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"15,073.50","1,503.20","16,576.70","-17,527.00",,"-4,975.40","-1,749.20",-785.50,,-950.30,259.70,-690.60,"1,724.40",,,0.00,0.00,"1,724.40",0.00,"1,724.40",,0.00,-950.30,-690.60,0.00,0.00,0.00,126.20,0.00,"1,850.60",0.00,0.00,0.00,0.00,0.00,"2,415.00",,,0.97,0.79,Notes,2018-06-24,"-9,452.90",,-564.00,259.70,"15,073.50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
