basic_eps_qtr,momentum_kama_200,volatility_bbp,percentage_of_public_shareholding_qtr,momentum_kama,other_income_yrly,volume_sma_em,others_dlr_200,momentum_stoch_rsi_k_50,exceptional_item_qtr,trend_aroon_ind_5,volatility_bbli_200,momentum_ppo_20,volume_mfi_20,momentum_wr,volume_vwap_200,trend_adx_pos_5,finance_costs_qtr,low_50,trend_vortex_ind_neg_10,volatility_kcl_20,trend_kst_sig_100,momentum_ppo_signal_200,trend_visual_ichimoku_a_50,volatility_bbh_20,volume,trend_ichimoku_conv_50,volume_mfi_200,trend_kst_sig_50,trend_macd_10,momentum_pvo_20,trend_psar_down_indicator_50,low_20,trend_stc_20,trend_macd_200,momentum_ao,volatility_bbp_200,momentum_uo_50,trend_aroon_ind_50,trend_ema_slow_10,volatility_bbl_50,trend_trix_20,momentum_stoch_rsi_5,momentum_tsi_20,trend_adx_neg_5,trend_kst_diff_50,trend_ema_fast_10,trend_ichimoku_base_200,volatility_bbli_20,volatility_kch_10
1.57,11389.452831360471,1000.0,25.04,0.0,6.4,246210.0,11119.935778542476,27.08113480799632,0.0,200.79551956818685,49682.65938223787,50.198879892047074,85270.04802386541,0.0,108453.26048615428,28.222000122070312,10.0,70.55500030517578,0.0,47198.57291301408,19670.406195926415,12119.545961575888,-5731.393435750461,67212.18059017997,246210.0,18883.58994808936,85270.04802386541,19670.406195926415,0.0,29.984074870364367,67.08113480799632,70.55500030517578,7.055500030517942,27769.98521777847,0.0,55527.67813308939,25.56693477544424,107.08113480799634,0.0,62798.0352175013,0.0,39.97876649381867,57.25437992256466,28.222000122070312,19268.969334785063,0.0,18513.32347851898,49682.65938223787,607.5710001627605
1.57,18507.27895260992,1000.0,25.04,0.0,6.4,7671.89970796447,18071.879814390868,27.23869089439854,0.0,200.79551956818685,80775.9062379949,50.19887989204671,138976.56532017302,0.0,167865.8042472653,29.24199981689453,10.0,73.9749984741211,0.0,76736.9634261206,31978.20761395204,19693.642988033636,-5865.38577373312,109410.15846585024,358855.0,30699.079309393957,138976.56532017302,31978.20761395204,0.0,29.984074870364005,67.23869089439854,73.9749984741211,7.310499954223633,45145.70486675581,0.0,90278.9540307002,25.661290864898216,107.23869089439852,0.0,102182.81456812688,0.0,39.97876649381867,57.50937984627035,29.24199981689453,31325.59113203465,0.0,30097.13657783721,80775.9062379949,607.8870001475017
1.57,19965.109181019798,984.322258870035,25.04,1.0,6.4,-2321.0284589352245,19495.30487125718,27.34113878958989,0.0,200.79551956818685,87143.26342553493,50.84887989204671,149983.27923017667,1.0,164124.56673507864,29.24199981689453,10.0,73.5,0.0,82786.02614308264,34498.64321724411,21244.859769546703,472.2044705027323,118054.9313077538,102325.0,33118.697488554346,149983.27923017667,34498.64321724411,0.0,30.784074870364,66.65402914439129,73.5,7.310499954223633,48703.96689493286,1.0,97395.41206383317,25.827694321409552,106.00691949919268,0.0,110250.2240378282,0.0,40.57876649381867,57.809379846270346,29.24199981689453,33794.58927403505,0.0,32469.31126328857,87143.26342553493,598.4605776629227
1.57,14635.16702085797,984.322258870035,25.04,0.0,6.4,-4505.639815406095,14290.75392076594,27.274068905358263,0.0,200.79551956818685,63860.79785715492,50.24887989204671,109768.1114302476,0.0,121171.05722558168,29.24199981689453,10.0,72.29999923706055,0.0,60667.78238096639,25282.65989863096,15573.318752964253,-41.07262755150174,86457.2994649524,111860.0,24271.35350268572,109768.1114302476,25282.65989863096,0.0,30.034074870364,66.64695926015966,72.29999923706055,7.310499954223633,35693.1669157143,0.0,71373.83289917314,25.71348553642109,105.99984961496106,0.0,80759.1009845469,0.0,40.17876649381867,57.559379846270346,29.24199981689453,24766.68724763849,0.0,23795.4446104762,63860.79785715492,598.3962721667068
1.57,7930.025082353559,984.322258870035,25.04,1.0,6.4,-9447.794351636812,7743.317258275869,27.267832032663215,0.0,200.79551956818685,34569.14159124801,50.84887989204671,59173.43242549927,1.0,66041.39730332293,29.03999938964844,10.0,69.89999771118164,0.0,32840.88037851198,13687.998005011586,8438.295920965966,-250.9336576099516,46704.33738979301,137175.0,13140.478084811124,59173.43242549927,13687.998005011586,0.0,30.784074870364,66.58072238746462,69.89999771118164,7.259999847412109,19324.232477663416,1.0,38636.09942551248,25.7812986667778,105.933612742266,0.0,43656.33638106481,0.0,40.57876649381867,57.75887973945883,29.03999938964844,13408.651106950128,0.0,12882.821651775612,34569.14159124801,598.3260221514481
1.57,617.1451001047278,984.322258870035,25.04,0.0,6.4,-19991.00670252077,602.4778873549213,27.12355516106696,0.0,200.7955195681883,2624.571871086267,50.19887989204717,3996.4483634017142,0.0,6033.991317228823,28.000000000001457,10.0,65.79999923706055,0.0,2493.83494419862,1043.3138689760724,656.7056834447745,-525.9085273668313,3350.9927695734978,155870.0,1001.5813142170296,3996.4483634017142,1043.3138689760724,0.6000000000001819,29.98407487036446,66.49644551586836,65.79999923706055,7.000000000000455,1472.9136973779846,0.0,2933.3450323905336,25.592755142756413,105.86933587066974,0.1000000000001819,3193.2147355266,0.3000000000004547,39.978766493820125,57.19887989204717,28.000000000001457,1022.0217492010506,0.2000000000001819,981.9424649186564,2624.571871086267,598.2473554135738
1.57,12192.631347429293,984.322258870035,25.04,0.0,6.4,-2883.7015069773324,11905.842131402922,26.962863085179016,0.0,200.79551956818685,53191.59256223012,50.19887989204672,91339.48410265018,0.0,100455.92121967064,28.0,10.0,64.34000205993652,0.0,50532.56760053787,21059.25883830813,12974.210279956813,136.09454484987796,71977.66370755444,234920.0,20216.888484775805,91339.48410265018,21059.25883830813,0.0,29.984074870364008,66.33575343998042,64.34000205993652,7.000000000000005,29730.71835996442,0.0,59449.42698131601,25.45204400791432,105.70864379478182,0.0,67244.77427764215,0.0,39.97876649381867,57.19887989204672,28.0,20629.4780456896,0.0,19820.478906642948,53191.59256223012,598.1474507083444
1.57,4453.148901545432,984.1731776284932,25.04,0.0,6.4,13690.566159368478,4348.368571011514,26.94355323086272,0.0,200.79551956818685,19382.325324564616,50.19887989204671,32941.74019099606,0.0,35268.305633962744,28.0,10.0,68.29999923706055,0.0,18413.338433365,7676.403775633956,4738.60716446501,516.0962584019242,26093.69011670301,190905.0,7369.347624608597,32941.74019099606,7676.403775633956,0.0,29.984074870364005,66.31048033600244,68.29999923706055,7.0,10837.275918542056,0.0,21662.59889216045,25.43622821102629,105.67740744114218,0.0,24419.72232076471,0.0,39.97876649381867,57.19887989204672,28.0,7519.742474090405,0.0,7224.85061236137,19382.325324564616,598.0405316762781
1.57,-278.04726355394786,977.167837579726,25.04,0.0,6.4,-8461.059633582789,-271.52175316959494,31.123577828106427,0.0,200.79551956818972,-1296.5316719148948,50.19887989204726,-2772.4644356237595,0.0,-2981.579527779221,42.00000000000291,10.0,66.6500015258789,0.0,-1231.4474588822331,-508.9979265170544,-295.87080608945735,105.13967117738028,-1968.971805651584,91655.0,-487.23800945637214,-2772.4644356237595,-508.9979265170544,0.0,29.984074870364548,70.21029133129547,66.6500015258789,17.500000000000547,-718.5853080240768,0.0,-1449.0648097872352,29.62598522421104,109.29700483448453,0.0,-1772.56249610283,0.0,39.97876649382158,64.19887989204726,28.00000000000291,-498.610213730992,0.0,-476.31177397683547,-1296.5316719148948,593.7886655673126
1.57,1332.0571702153177,984.4713401115764,25.04,66.05000305175781,6.4,-5964.466886528002,1300.7322021092596,33.473881904754535,0.0,200.79551956818972,5727.4211068201,50.19887989204746,9355.833908082948,0.0,10326.166475078307,42.00000000000291,10.0,65.86000061035156,5.3960010528564455,5444.798451385253,2273.652531790121,1416.5986554464052,121.7192656457907,7561.970500660513,40795.0,2184.214350539574,9355.833908082948,2273.652531790121,1.6188003158554332,29.984074870364747,72.8527355092176,65.86000061035156,21.54700078964308,3207.6405150348774,0.0,6401.235354681288,30.610121892445772,112.23158911368064,4.8564009475693,7123.470556623916,3.5074006843574344,39.97876649382158,64.19887989204747,28.00000000000291,2227.3615821832386,4.316800842283656,2142.75916719566,5727.4211068201,605.0016041284881
