employee_benefit_expenses_qtr,trend_vortex_ind_neg_100,volatility_bbhi,volume_sma_em_200,trend_aroon_ind,volatility_bbp_200,volatility_bbp,volatility_kcl_200,open,momentum_pvo_hist_200,volatility_bbli_200,trend_aroon_down_50,basic_eps_qtr,volatility_dch_100,trend_ema_fast_100,topic_polarity,momentum_pvo_hist_20,trend_vortex_ind_diff_200,other_income_yrly,volume_fi_20,trend_sma_fast_100,momentum_uo,volume_obv_20,trend_ichimoku_base_200,momentum_kama_200,trend_macd_200,trend_aroon_down,volatility_kcli_200,expenditure_qtr,trend_aroon_down_10,volatility_dcm_200,volume_cmf,volatility_kcli_10,trend_visual_ichimoku_b_200,volatility_bbp_50,volatility_bbm_200,volume_adi_5,diluted_eps_qtr,trend_kst_sig_100,profit_from_operations_before_other_income_interest_and_exceptional_items_qtr,trend_kst_sig_50,volatility_bbm_50,volatility_kcc_5,trend_ichimoku_b_10,trend_aroon_up_5,trend_ichimoku_a_50,momentum_wr_20,volatility_bbh_20,volatility_kcl_20,volume_nvi_50,agg_compound,ticker_compound,profit_loss_from_ordinary_activities_before_tax_yrly
1769.4274699441164,3575.818346068194,0.0,40712.16090131846,402.85866536825085,8822.661305888907,1000.0,6823.629796919274,66.50499725341797,1857.7777717418328,7893.9601157953375,138.99352834701205,1769.4274699441164,5363.727519102291,3850.881295765747,0.0,20.142933268412907,3492.659779880561,1769.4274699441164,29896.21453509128,4059.0370414828144,0.0,8264.321802636912,2944.791579114983,1835.3949070220517,4417.187368672475,402.85866536825085,5776.321943648621,1769.4274699441164,175.05480825978833,5178.771397753936,73160.0,119.9128334752726,2518.820021445425,8822.661305888907,11229.634015393183,-13367.57092981745,1769.4274699441164,3128.8410528096697,1769.4274699441164,3128.8410528096697,11229.634015393183,400.0000000000015,6.759999847412837,242.4978840562781,3000.983410758318,100.9103375508946,10498.94587143653,7499.232776763789,12082.103516675952,0.347,0.0,1769.4274699441164
429.2490573070295,827.7761662525367,0.0,26413.35605045664,402.85866536825085,2033.7047781645103,1004.0467122021367,1577.5235406543288,65.0,450.173240626044,1819.6305909892988,139.17198796362737,429.2490573070295,1241.6642493788052,891.4512559642703,0.0,20.14293326841254,808.5255577350358,429.2490573070295,56051.12725900752,939.6378103407174,0.0,25916.69088851127,681.698019266795,444.74946664259767,1022.5470289001923,402.85866536825085,1337.1768839464055,429.2490573070295,174.47480833608157,1198.848240779536,116320.0,119.76644660119976,595.0938289205143,2033.7047781645103,2350.522644614472,-4217.745481984973,429.2490573070295,724.3041454709696,429.2490573070295,724.3041454709696,2350.522644614472,401.6186848808547,6.469999885559082,242.49788405627663,692.757979636872,100.91033755089424,2254.345792299305,1728.8408946816148,2462.7289723154995,0.492,0.0,429.2490573070295
13363.618334342304,27311.95061772608,0.0,141863.2809025154,402.85866536825085,67465.06650208465,1004.0467122021367,52138.152095019,66.01000213623047,14015.457715771028,60363.4805544968,139.21554106855265,13363.618334342304,40967.92592658912,29412.8698960127,0.0,21.042933268412543,26676.78897545338,13363.618334342304,188231.15235501123,31002.75475525663,1.0,102451.72853251688,22492.19462636265,13846.608827629208,33738.291939543975,402.85866536825085,44119.30484401905,13363.618334342304,174.47480833608157,39555.23882567225,359790.0,119.98421212582711,19134.01594495199,67465.06650208465,87914.61105281774,16672.304710022523,13363.618334342304,23897.95679051032,13363.618334342304,23897.95679051032,87914.61105281774,401.6186848808547,6.469999885559082,242.49788405627663,22939.351118834973,101.41033755089424,81706.71359991662,57345.24880438358,95157.15808120236,-0.09,0.0,13363.618334342304
125150.79949402822,256209.7845655706,0.0,1318916.6383715307,402.85866536825085,632977.236182537,1004.0467122021367,489124.8751940921,68.5,131255.61168913165,566348.0534264805,139.27036602618307,125150.79949402822,384314.6768483559,275918.22953215294,0.0,20.192933268412546,250251.41748265037,125150.79949402822,1758512.8327613724,290832.7284257828,0.0,1129539.249142059,210996.2931716464,129674.2187772144,316494.4397574696,402.85866536825085,413877.34429822944,125150.79949402822,174.53480894643312,371062.4466122057,3016460.0,120.19833630362746,179362.50970854485,632977.236182537,827430.5252503324,500565.6655227447,125150.79949402822,224183.56149487427,125150.79949402822,224183.56149487427,827430.5252503324,401.6186848808547,6.500000190734864,242.49788405627663,215213.48303501823,100.96033755089424,768400.062497609,538030.5227133487,896299.3984618433,0.366,0.0,125150.79949402822
121963.39074934147,249683.32175930115,0.0,1285404.4115309322,402.85866536825085,616852.9405479738,1001.7966433423323,476665.23190826713,69.5,127912.78805657776,551921.0520692398,139.09511750328872,121963.39074934147,374524.9826389517,268889.7311254012,0.0,20.14293326841254,243876.73288117783,121963.39074934147,1712803.1326906737,283424.3111862337,0.0,1101884.69903601,205621.55909589503,126371.67012818526,308432.3386438426,402.85866536825085,403334.5966881019,121963.39074934147,174.62480833608157,361610.3280651948,2934640.0,120.1321218434292,174794.00074405453,616852.9405479738,806345.6002109374,490966.2653813466,121963.39074934147,218472.9065393885,121963.39074934147,218472.9065393885,806345.6002109374,400.71865733693295,6.544999885559082,242.49788405627663,209731.21227793503,100.91033755089424,748821.042813252,524324.810099399,873457.5838415703,0.402,0.0,121963.39074934147
224258.3509630435,459144.2149251777,0.0,2386522.1417431124,402.85866536825085,1134344.4471954135,1001.7966433423323,876545.0741207037,69.5,235197.63943425904,1014939.7685432648,139.13911677112648,224258.3509630435,688716.3223877664,494463.00068865286,0.0,20.14293326841254,448466.4424850572,224258.3509630435,3182013.258753702,521190.7304556071,0.0,2178429.888130553,378118.7652324992,232363.93293505115,567178.1478487488,402.85866536825085,741694.5010329793,224258.3509630435,174.65480864125735,664967.48368474,5189180.0,120.32211787744218,321416.63096021896,1134344.4471954135,1483065.262749897,1174846.5175074046,224258.3509630435,401751.18805953045,224258.3509630435,401751.18805953045,1483065.262749897,400.71865733693295,6.560000038146972,242.49788405627663,385678.3405371492,100.91033755089424,1377203.586599429,964192.581532774,1606570.55159211,0.111,0.0,224258.3509630435
222243.1234267077,455017.9440871242,0.0,2364872.0627624737,402.85866536825085,1124150.049405889,998.1234060854472,868667.6195842221,71.0,233084.1885172259,1005818.4652579004,138.80753754942626,222243.1234267077,682526.9161306863,490019.3244015184,0.0,20.14293326841254,444436.13143393525,222243.1234267077,3152594.3366058483,516506.8554502491,0.0,2163036.5049087727,374720.6598364553,230275.9452820786,562080.9897546829,402.85866536825085,735028.9866022776,222243.1234267077,174.69480879384523,658991.5052296282,5131710.0,120.09351651910715,318528.24804027367,1124150.049405889,1469735.2574058285,1173478.6732116968,222243.1234267077,398140.7010762337,222243.1234267077,398140.7010762337,1469735.2574058285,399.24936243417886,6.580000114440918,242.49788405627663,382212.2450331538,100.91033755089424,1364825.4621201323,955527.311542568,1592130.0185724737,-0.93,0.0,222243.1234267077
224028.1909578788,458672.9358504782,0.0,2407103.17045484,402.85866536825085,1133179.9611841368,998.1234060854472,875645.3225817028,70.31999969482422,234956.30746916909,1013897.8600068592,138.9126141319382,224028.1909578788,688009.4037757172,493955.469377438,0.0,20.14293326841254,448006.1233888391,224028.1909578788,3206838.490533788,520655.7650194617,0.0,2171922.7358006816,377730.653053335,232125.5085839984,566595.9795800025,402.85866536825085,740933.2040661571,224028.1909578788,175.10480864125734,664284.9415765546,5276670.0,120.20889958425468,321086.81060792936,1133179.9611841368,1481543.603577383,1137006.9810675755,224028.1909578788,401338.8188691684,224028.1909578788,401338.8188691684,1481543.603577383,399.24936243417886,6.785000038146973,242.49788405627663,385282.34971440776,100.91033755089424,1375790.3549937194,963202.5638398884,1604922.3935916582,-0.44,0.0,224028.1909578788
228783.36765510452,468404.8905734775,0.0,2458034.7639857964,402.85866536825085,1157223.5565138191,998.1234060854472,894224.4887203139,72.0,239943.44952242656,1035410.550564996,143.00316938223273,228783.36765510452,702607.3358602162,504436.0360022065,0.0,20.14293326841254,457511.7535833966,228783.36765510452,3277934.255020565,531702.8487590825,0.0,2196881.382530847,385747.864786016,237052.56458842143,578617.806002531,402.85866536825085,756654.0540033097,228783.36765510452,175.10480864125734,678379.4966926225,5440040.0,120.30667572128657,327902.5714140479,1157223.5565138191,1512985.2282392755,1115828.5100411295,228783.36765510452,409854.2792517928,228783.36765510452,409854.2792517928,1512985.2282392755,399.24936243417886,27.14000015258789,242.49788405627663,393461.3230816829,100.91033755089424,1404986.1493226192,983639.7975921928,1638984.1536420416,-0.222,0.0,228783.36765510452
232001.0649387383,474991.1307367679,0.0,2492357.208103405,402.85866536825085,1173492.5824254295,1015.824038805982,906799.1853515176,70.0250015258789,243317.16299025505,1049967.0474332792,146.19450994544607,232001.0649387383,712485.4379799421,511528.66367801663,0.0,20.14293326841254,463944.8998475531,232001.0649387383,3323303.2353057247,539178.6886065293,0.0,2229549.852958587,391172.26683232846,240386.50211082495,586752.996204117,402.85866536825085,767292.0101322453,232001.0649387383,175.10480864125734,687916.9746013234,5510810.0,123.41862448783556,332513.3131534135,1173492.5824254295,1534254.6619290062,1135796.470611449,232001.0649387383,415617.63970723865,232001.0649387383,415617.63970723865,1534254.6619290062,420.20804892795104,29.06150047302246,242.49788405627663,398994.2186689521,100.91033755089424,1424737.6020797065,997471.977636593,1662024.5650865228,-0.09,0.0,232001.0649387383
233946.7507224802,478975.0311792336,0.0,2513313.157447142,402.85866536825085,1183335.15798495,1017.9312876096056,914404.8816475286,72.5,245357.79490281487,1058773.562407587,146.5658811869564,233946.7507224802,718461.32802771,515819.025712238,0.0,20.14293326841254,467836.1491111159,233946.7507224802,3349460.6870236644,543700.9675209981,0.0,2243096.0305354963,394453.2259858635,242402.54872710127,591674.3085743061,402.85866536825085,773727.5840298415,233946.7507224802,175.10480864125734,693686.7994750303,5562190.0,123.7430319338254,335302.1767672452,1183335.15798495,1547125.073891824,1136731.3740473285,233946.7507224802,419103.5400631013,233946.7507224802,419103.5400631013,1547125.073891824,421.1532151425157,29.87135014343262,242.49788405627663,402340.8095055197,100.91033755089424,1436688.8494200944,1005838.1298121288,1675967.3357755083,0.564,0.0,233946.7507224802
221440.188230759,453355.2965434888,0.0,2381694.129938967,402.85866536825085,1120015.7275624718,1017.9312876096056,865476.3117074313,70.55500030517578,232241.23967456268,1002119.3351874748,164.0216504959351,221440.188230759,680017.3786146648,488223.3793354512,0.0,20.142933268412527,442813.7831412675,221440.188230759,3175883.8794110864,514610.0454414611,0.0,2145790.819116629,373363.8528737717,229444.0219682197,560014.5798171866,402.85866536825085,732326.4077388698,221440.188230759,175.1048086412573,656568.5034900211,5236070.0,123.71639361992632,317376.2179553006,1120015.7275624718,1464322.741800891,1115697.7588221722,221440.188230759,396694.6620065496,221440.188230759,396694.6620065496,1464322.741800891,421.2717818081652,70.29214882380391,242.49788405627663,380829.7054312777,100.91033755089424,1359800.969621371,952016.8191282508,1586264.809343665,-0.191,0.0,221440.188230759
225660.53786974843,461994.9774217465,0.0,2425997.001887215,402.85866536825085,1141360.5528156883,1046.605408387341,881970.1132212844,71.0999984741211,236667.3040372152,1021217.3367298264,167.076285707193,225660.53786974843,692976.8056991111,497527.6181540244,0.0,23.437297076175597,451252.5511538485,225660.53786974843,3233588.706754627,524417.1903857033,0.0,2181543.060131941,380478.9664122595,233816.76204183765,570687.04708507,402.85866536825085,746282.7138298119,225660.53786974843,175.10480864125734,669081.0537784521,5337680.0,126.77671167960428,323424.0744629897,1141360.5528156883,1492226.3827871657,1129497.4135092546,225660.53786974843,404254.4362317949,225660.53786974843,404254.4362317949,1492226.3827871657,432.84836345869616,70.7287408605546,242.49788405627663,388087.0847404437,100.91033755089424,1385713.5415458244,970159.8795433365,1616491.3642353972,0.63,0.0,225660.53786974843
165151.7604722159,338086.3056944377,0.0,1773915.370811291,402.85866536825085,835233.6516986645,1018.0029335336376,645417.553880832,73.0,173207.05129594228,747314.3199409103,164.10985844161002,165151.7604722159,507114.0659403209,364087.50591402187,0.0,44.53245677784271,330225.4777210751,165151.7604722159,2365034.908838942,383764.0885781063,60.55881162922253,2154486.8651061663,278436.55409892736,171121.09014522008,417623.4911058404,402.85866536825085,546122.8402434225,165151.7604722159,175.10480864125734,489627.37401134433,5283480.0,123.977038522299,236688.03066334955,835233.6516986645,1091915.3897802432,1111489.1534748883,165151.7604722159,295834.35533761355,165151.7604722159,295834.35533761355,1091915.3897802432,421.4749401472603,70.88170394476126,242.49788405627663,284003.8282808815,124.67111538208567,1013994.147862621,709952.0545188541,1182823.5053508023,0.48,0.0,165151.7604722159
145365.20017083798,297621.9862842908,0.0,1563225.6262496037,402.85866536825085,735271.0607416667,1018.0029335336376,568173.7431413614,71.0,152455.28397396253,657874.106979386,120.23695818913586,145365.20017083798,446422.48579348257,320514.1235043598,0.0,40.17100074032347,290700.5475032975,145365.20017083798,2084909.4680904849,337835.38604650705,53.4341626804401,1950355.281907185,245072.67681891125,150619.3437325294,367642.21829499566,402.85866536825085,480762.67700836586,145365.20017083798,175.10480864125734,431028.6069730177,4571830.0,123.95725427119616,208328.73580865643,735271.0607416667,961195.0785287848,1076530.3758762465,145365.20017083798,260386.70662012495,145365.20017083798,260386.70662012495,961195.0785287848,421.4889401879505,-127.68748777014044,242.49788405627663,249972.77435530472,121.51019751518548,892611.0017005523,624984.1124555739,1041209.8348283888,0.34,0.0,145365.20017083798
107444.38168629062,219979.9162348457,0.0,1163163.628416185,402.85866536825085,543448.8903462638,1018.0029335336376,419947.47072216845,64.20999908447266,112684.8634731414,486243.7439940255,122.87286562534275,107444.38168629062,329959.1105180661,236899.60479978687,0.0,23.70201487548254,214864.1075345036,107444.38168629062,1550931.811331649,249701.19150252375,36.02926615098297,1568279.1662955992,181132.96695832053,111328.0774823178,271731.39282402274,402.85866536825085,355340.5036348404,107444.38168629062,183.35946261943133,318581.24463813275,3534450.0,123.9961552900005,153981.31745282243,543448.8903462638,710350.701857873,912888.888394132,107444.38168629062,192450.6243957777,107444.38168629062,192450.6243957777,710350.701857873,421.41584016150193,-123.7604109385425,254.8990483114284,184754.3391974961,114.65707369298804,659684.0805061345,461935.50729443104,769461.760101568,0.668,0.0,107444.38168629062
