id,date,topic_id,topic_prob
2,2009-01-08,-1,0.0
7,2009-01-08,1,1.0
3,2009-01-08,450,0.4075007368825512
0,2009-01-08,1,1.0
5,2009-01-08,-1,0.0
6,2009-01-08,1,1.0
1,2009-01-08,-1,0.0
4,2009-01-08,-1,0.0
8,2009-01-08,-1,0.0
10,2009-01-08,406,0.17292592481382968
9,2009-01-08,-1,0.0
11,2009-01-08,-1,0.0
14,2009-01-08,132,0.09729486191262886
13,2009-01-08,-1,0.0
12,2009-01-08,0,1.0
15,2009-01-08,1,0.4834977311639336
16,2009-01-08,-1,0.0
17,2009-01-08,-1,0.0
19,2009-01-08,438,0.4322572234836027
18,2009-01-08,-1,0.0
20,2009-01-08,619,0.8694545573600264
22,2009-01-08,-1,0.0
21,2009-01-08,-1,0.0
23,2009-01-08,295,0.7163332101035789
24,2009-01-08,-1,0.0
26,2009-01-08,-1,0.0
25,2009-01-08,-1,0.0
29,2009-01-08,30,1.0
27,2009-01-08,-1,0.0
31,2009-01-08,-1,0.0
32,2009-01-08,278,0.9767695146797553
35,2009-01-08,450,0.5881241096356057
36,2009-01-08,-1,0.0
33,2009-01-08,-1,0.0
34,2009-01-08,49,1.0
37,2009-01-08,-1,0.0
38,2009-01-08,-1,0.0
42,2009-01-08,-1,0.0
39,2009-01-08,4,0.9199028968063374
44,2009-01-08,79,0.6536478832087564
41,2009-01-08,453,0.724942943951717
43,2009-01-08,443,0.5989050989853176
30,2009-01-08,-1,0.0
49,2009-01-08,-1,0.0
46,2009-01-08,-1,0.0
48,2009-01-08,590,1.0
47,2009-01-08,-1,0.0
50,2009-01-08,-1,0.0
40,2009-01-08,347,1.0
51,2009-01-08,-1,0.0
45,2009-01-08,590,0.8097364584028693
53,2009-01-08,-1,0.0
28,2009-01-08,-1,0.0
52,2009-01-08,61,0.5039989837037655
56,2009-01-08,-1,0.0
58,2009-01-08,-1,0.0
54,2009-01-08,-1,0.0
61,2009-01-01,-1,0.0
59,2009-01-08,-1,0.0
57,2009-01-08,364,1.0
64,2009-01-02,-1,0.0
60,2009-01-08,-1,0.0
63,2009-01-06,1,0.872679400831705
55,2009-01-08,-1,0.0
66,2009-01-07,-1,0.0
65,2009-01-03,0,1.0
70,2009-01-08,-1,0.0
68,2009-01-09,-1,0.0
73,2009-01-08,-1,0.0
72,2009-01-08,-1,0.0
71,2009-01-08,-1,0.0
69,2009-01-08,-1,0.0
76,2009-01-08,443,0.7606713053035723
74,2009-01-08,-1,0.0
78,2009-01-08,709,0.5122543150638621
75,2009-01-08,-1,0.0
62,2009-01-04,104,0.5131248657835076
79,2009-01-08,-1,0.0
80,2009-01-08,24,0.5509168388327593
77,2009-01-08,-1,0.0
84,2009-01-08,29,0.23263223932447136
82,2009-01-08,-1,0.0
81,2009-01-08,150,0.2845299394008881
88,2009-01-08,8,0.9481580087313147
89,2009-01-08,-1,0.0
87,2009-01-08,173,0.14400686400709548
86,2009-01-08,305,0.6617352302514331
85,2009-01-08,-1,0.0
90,2009-01-08,-1,0.0
67,2009-01-05,-1,0.0
91,2009-01-08,-1,0.0
92,2009-01-08,-1,0.0
94,2009-01-08,-1,0.0
93,2009-01-08,-1,0.0
98,2009-01-08,443,0.6069391660162425
95,2009-01-08,210,0.7470470620245312
102,2009-01-08,-1,0.0
103,2009-01-08,347,1.0
83,2009-01-08,657,0.49301772999378407
96,2009-01-08,-1,0.0
100,2009-01-08,25,1.0
104,2009-01-08,-1,0.0
107,2009-01-08,-1,0.0
106,2009-01-08,-1,0.0
105,2009-01-08,-1,0.0
97,2009-01-08,-1,0.0
101,2009-01-08,0,0.9229201385553093
99,2009-01-08,-1,0.0
109,2009-01-08,-1,0.0
110,2009-01-08,-1,0.0
111,2009-01-08,-1,0.0
113,2009-01-08,438,0.30232968396045085
115,2009-01-08,-1,0.0
116,2009-01-08,347,1.0
