,Scrip Code,COMPANY,ISIN No.,Close Price,CLEAN_COMPANY,TICKER
24,533573,Alembic Pharmaceuticals Ltd,INE901L01018,611.9,alembic pharmaceuticals,APLLTD.NS
25,539523,Alkem Laboratories Ltd,INE540L01014,3403.9,alkem laboratories,ALKEM.NS
26,506767,Alkyl Amines Chemicals Ltd,INE150B01039,2721.8,alkyl amines chemicals,ALKYLAMINE.NS
27,521070,Alok Industries Ltd,INE270A01029,17.01,alok industries,ALOKINDS.NS
28,500008,Amara Raja Batteries Ltd,INE885A01032,636.6,amara raja batteries,AMARAJABAT.NS
29,540902,Amber Enterprises India Ltd,INE371P01015,2105.95,amber enterprises india,AMBER.NS
30,500425,Ambuja Cements Ltd,INE079A01024,452.55,ambuja cements,AMBUJACEM.NS
31,543235,Angel One Limited,INE732I01013,1558.65,angel one limited,ANGELONE.NS
32,543275,Anupam Rasayan India Ltd,INE930P01018,1080.75,anupam rasayan india,ANURAS.NS
33,532259,Apar Industries Ltd,INE372A01015,3099.0,apar industries,APARINDS.NS
34,533758,APL Apollo Tubes Ltd,INE702C01027,1323.6,apl apollo tubes,APLAPOLLO.NS
35,508869,Apollo Hospitals Enterprise Ltd,INE437A01024,5142.95,apollo hospitals enterprise,APOLLOHOSP.NS
36,500877,Apollo Tyres Ltd,INE438A01022,406.95,apollo tyres,APOLLOTYRE.NS
37,543335,Aptus Value Housing Finance India Ltd,INE852O01025,267.55,aptus value housing finance india,APTUS.NS
38,543657,Archean Chemical Industries Ltd,INE128X01021,557.35,archean chemical industries,ACI.NS
39,515030,Asahi India Glass Ltd,INE439A01020,490.4,asahi india glass,ASAHIINDIA.NS
40,500477,Ashok Leyland Ltd,INE208A01029,167.95,ashok leyl,ASHOKLEY.NS
41,500820,Asian Paints Ltd,INE021A01026,3309.85,asian paints,ASIANPAINT.NS
42,540975,Aster DM Healthcare Ltd,INE914M01019,287.2,aster dm healthcare,ASTERDM.NS
43,532830,ASTRAL LIMITED,INE006I01046,1970.5,astral limited,ASTRAL.NS
44,506820,AstraZeneca Pharm India,INE203A01020,3624.55,astrazeneca pharm india,ASTRAZEN.NS
45,500027,Atul Ltd.,INE100A01010,7018.55,atul,ATUL.NS
46,540611,AU Small Finance Bank Ltd,INE949L01017,772.75,au small finance bank,AUBANK.NS
47,524804,Aurobindo Pharma Ltd,INE406A01037,677.6,aurobindo pharma,AUROPHARMA.NS
48,512573,Avanti Feeds Ltd,INE871C01038,388.25,avanti feeds,AVANTIFEED.NS
49,540376,Avenue Supermarts Ltd,INE192R01011,3973.9,avenue supermarts,DMART.NS
50,532215,Axis Bank Ltd,INE238A01034,965.75,axis bank,AXISBANK.NS
51,532977,Bajaj Auto Ltd,INE917I01010,4596.9,bajaj auto,BAJAJ-AUTO.NS
52,500031,Bajaj Electricals Ltd,INE193E01025,1231.5,bajaj electricals,BAJAJELEC.NS
53,500034,Bajaj Finance Ltd,INE296A01024,7384.95,bajaj finance,BAJFINANCE.NS
54,532978,Bajaj Finserv Ltd,INE918I01026,1541.9,bajaj finserv,BAJAJFINSV.NS
55,500490,Bajaj Holdings and Investment Ltd,INE118A01012,6983.05,bajaj holdings,BAJAJHLDNG.BO
56,530999,Balaji Amines Ltd,INE050E01027,2369.65,balaji amines,BALAMINES.NS
57,502355,Balkrishna Industries Ltd,INE787D01026,2346.0,balkrishna industries,BALKRISIND.NS
58,500038,Balrampur Chini Mills Ltd,INE119A01028,395.1,balrampur chini mills,BALRAMCHIN.NS
59,541153,Bandhan Bank Ltd,INE545U01014,249.9,b,BZ=F
60,532134,Bank of Baroda,INE028A01039,193.7,bank of baroda,BANKBARODA.NS
61,532149,Bank of India,INE084A01016,75.1,bank of india,SBIN.NS
62,532525,Bank Of Maharashtra,INE457A01014,27.87,bank of maharashtra,MAHABANK.NS
63,500042,BASF India Limited,INE373A01013,2554.5,basf india limited,BASF.NS
64,500043,Bata India Ltimited,INE176A01028,1626.4,bata india ltimited,NA
65,506285,Bayer CropScience Ltd/India,INE462A01022,4263.85,bayer cropscience,BAYERCROP.NS
66,509480,Berger Paints India Ltd,INE463A01038,675.85,berger paints india,BERGEPAINT.NS
67,541143,Bharat Dynamics Ltd,INE171Z01018,1197.45,bharat dynamics,BDL.NS
68,500049,Bharat Electronics Ltd,INE263A01024,124.8,bharat electronics,BEL.NS
69,500493,Bharat Forge Ltd,INE465A01025,825.35,bharat forge,BHARATFORG.NS
70,500103,Bharat Heavy Electricals Ltd,INE257A01026,87.35,bharat heavy electricals,BHEL.NS
71,500547,Bharat Petroleum Corp Ltd,INE029A01011,374.95,bharat petroleum corp,BPCL.NS
72,532454,Bharti Airtel Ltd,INE397D01024,828.05,bharti airtel,BHARTIARTL.NS
73,543653,Bikaji Foods International Ltd,INE00E101023,414.8,bikaji foods international,BIKAJI.NS
74,532523,Biocon Ltd,INE376G01013,244.8,biocon,BIOCON.NS
75,500335,Birla Corp Ltd,INE340A01012,1192.6,birla corp,BIRLACORPN.NS
76,532400,Birlasoft Ltd,INE836A01035,335.55,birlasoft,BSOFT.NS
77,526612,Blue Dart Express Ltd,INE233B01017,6644.15,blue dart express,BLUEDART.NS
78,500067,Blue Star Ltd,INE472A01039,1525.35,blue star,BSFC
79,501425,Bombay Burmah Trading Corp Ltd.,INE050A01025,1046.3,bombay burmah trading corp,BBTC.NS
80,502219,Borosil Renewables Ltd,INE666D01022,548.6,borosil renewables,BORORENEW.NS
81,500530,Bosch Ltd,INE323A01026,18955.3,bosch,BOSCHLTD.NS
82,532929,Brigade Enterprises Ltd,INE791I01019,596.75,brigade enterprises,BRIGADE.NS
83,500825,Britannia Industries Ltd.,INE216A01030,5016.1,britannia industries,BRITANNIA.NS
84,543425,C.E. Info Systems Ltd,INE0BV301023,1165.5,c.e. info systems,MAPMYINDIA.NS
85,543523,Campus Activewear Ltd,INE278Y01022,323.65,campus activewear,CAMPUS.NS
86,511196,Can Fin Homes Ltd,INE477A01020,744.85,can fin homes,CANFINHOME.NS
87,532483,Canara Bank,INE476A01014,304.95,canara bank,CANBK.NS
88,524742,Caplin Point Laboratories Ltd,INE475E01026,812.75,caplin point laboratories,CAPLIPOINT.NS
89,531595,Capri Global Capital  LTD,INE180C01026,749.35,capri global capital,CGCL.NS
90,513375,Carborundum Universal Ltd,INE120A01034,1216.05,carborundum universal,CARBORUNIV.NS
91,500870,Castrol India Ltd,INE172A01027,121.9,castrol india,CASTROLIND.NS
92,519600,CCL Products (India) Ltd.,INE421D01022,659.35,ccl products (india),CCL.NS
93,500878,CEAT Ltd,INE482A01020,2045.55,ceat,CEATLTD.NS
94,532885,Central Bank of India,INE483A01010,27.52,central bank of india,CENTRALBK.NS
95,532548,Century Plyboards India Ltd,INE348B01021,618.25,century plyboards india,CENTURYPLY.NS
96,500040,Century Textile & Industries Ltd,INE055A01016,814.1,century textile,CENTURYTEX.NS
97,532443,Cera Sanitaryware Ltd,INE739E01017,7907.4,cera sanitaryware,CERA.NS
98,500084,CESC Ltd,INE486A01021,72.01,cesc,CESC.NS
99,500093,CG Power and Industrial Solutions Ltd,INE067A01029,363.7,cg power,CGPOWER.NS
100,542399,Chalet Hotels Ltd,INE427F01016,419.2,chalet hotels,CHALET.NS
101,500085,Chambal Fertilizers & Chemicals Ltd,INE085A01013,278.35,chambal fertilizers,NA
102,543336,Chemplast Sanmar Ltd,INE488A01050,452.7,chemplast sanmar,CHEMPLASTS.NS
103,504973,Cholamandalam Financial Holdings Ltd,INE149A01033,935.85,cholam,CHOLAFIN.NS
104,511243,Cholamandalam Investment & Finance Co. Ltd.,INE121A01024,1132.5,cholam,CHOLAFIN.NS
105,532756,CIE Automotive India Ltd,INE536H01010,525.75,cie automotive india,MAHINDCIE.NS
106,500087,Cipla Ltd/India,INE059A01026,1011.55,cipla,CIPLA.NS
107,532210,City Union Bank Ltd.,INE491A01021,124.3,city union bank,CUB.NS
108,543318,Clean Science and Technology Ltd,INE227W01023,1383.85,clean science,CLEAN.NS
109,533278,Coal India Ltd,INE522F01014,227.3,coal india,COALINDIA.NS
110,540678,Cochin Shipyard Ltd,INE704P01017,593.1,cochin shipyard,COCHINSHIP.NS
111,532541,Coforge Ltd,INE591G01017,4562.55,coforge,COFORGE.NS
112,500830,Colgate-Palmolive India Ltd,INE259A01022,1648.95,colgate-palmolive india,COLPAL.NS
113,543232,Computer Age Management Services Ltd,INE596I01012,2180.45,computer age management services,CAMS.NS
114,531344,Container Corp Of India,INE111A01025,660.7,container corp of india,CONCOR.NS
115,506395,Coromandel International Ltd,INE169A01031,940.55,corom,COROMANDEL.NS
116,541770,CreditAccess Grameen Ltd,INE741K01010,1272.85,creditaccess grameen,CREDITACC.NS
117,500092,CRISIL Ltd,INE007A01025,3915.2,crisil,CRISIL.NS
118,539876,Crompton Greaves Consumer Electricals Ltd,INE299U01018,290.05,crompton greaves consumer electricals,CROMPTON.NS
119,542867,CSB Bank Ltd,INE679A01013,266.9,csb bank,CSBBANK.NS
120,500480,Cummins India Ltd,INE298A01020,1876.6,cummins india,CUMMINSIND.NS
121,532175,Cyient Ltd,INE136B01020,1513.15,cyient,CYIENT.NS
122,500096,Dabur India Ltd,INE016A01026,569.2,dabur india,DABUR.NS
123,542216,Dalmia Bharat Ltd,INE00R701025,2241.15,dalmia bharat,DALBHARAT.NS
124,523367,DCM Shriram Ltd,INE499A01024,859.85,dcm shriram,DCMSHRIRAM.NS
125,500645,Deepak Fertilisers & Petrochemicals Corp. Ltd.,INE501A01019,564.55,deepak fertilisers,DEEPAKFERT.NS
126,506401,Deepak Nitrite Limited,INE288B01029,2174.8,deepak nitrite limited,DEEPAKNTR.NS
127,543529,Delhivery Limited,INE148O01028,391.6,delhivery limited,DELHIVERY.NS
128,532848,Delta Corp. Ltd.,INE124G01033,248.25,delta corp.,SDE.TO
129,543330,Devyani International Ltd,INE872J01023,194.75,devyani international,DEVYANI.NS
130,532488,Divi's Laboratories Ltd,INE361B01024,3583.75,divi's laboratories,DIVISLAB.NS
131,540699,Dixon Technologies (India) Ltd,INE935N01020,4654.8,dixon technologies (india),DIXON.NS
132,532868,DLF Ltd,INE271C01023,485.1,dlf,DLF.NS
133,500124,Dr Reddy's Laboratories Ltd,INE089A01023,4873.5,dr reddy's laboratories,RDY
134,539524,Dr. Lal PathLabs Ltd,INE600L01024,2121.25,dr. lal pathlabs,LALPATHLAB.NS
135,543272,Easy Trip Planners Ltd,INE07O001026,43.42,easy trip planners,EASEMYTRIP.NS
136,532927,eClerx Services Ltd,INE738I01010,1773.25,eclerx services,ECLERX.NS
137,505200,Eicher Motors Ltd,INE066A01021,3494.55,eicher motors,EICHERMOT.NS
138,500125,EID Parry India Ltd,INE126A01031,470.0,eid parry india,NA
139,500840,EIH Ltd,INE230A01023,212.3,eih,EIHDF
140,522074,Elgi Equipments Ltd.,INE285A01027,533.7,elgi equipments,ELGIEQUIP.NS
141,531162,Emami Ltd,INE548C01032,416.5,emami,EMAMILTD.NS
142,540153,Endurance Technologies Ltd,INE913H01037,1586.9,endurance technologies,ENDURANCE.NS
143,532178,Engineers India Ltd,INE510A01028,113.7,engineers india,ENGINERSIN.NS
144,500135,EPL Ltd,INE255A01020,204.1,epl,PLUS
145,543243,Equitas Small Finance Bank Ltd,INE063P01018,87.99,equitas small finance bank,EQUITASBNK.NS
146,540596,Eris Lifesciences Ltd,INE406M01024,676.8,eris lifesciences,ERIS.NS
147,500133,Esab India Ltd,INE284A01012,3991.35,esab india,ESABINDIA.NS
148,500495,Escorts Ltd,INE042A01014,2196.8,escorts,ESCORTS.NS
149,543482,Eureka Forbes Limited,INE0KCE01017,580.5,eureka forbes limited,EUREKAFORBE.BO
150,500086,Exide Industries Ltd,INE302A01020,213.2,exide industries,EXIDEIND.NS
151,531599,FDC Ltd,INE258B01022,308.6,fdc,FDCPX
152,500469,Federal Bank Ltd,INE171A01029,123.1,federal bank,FEDERALBNK.NS
153,541557,Fine Organic Industries Ltd,INE686Y01026,4904.4,fine organic industries,FINEORG.NS
154,500144,Finolex Cables Ltd,INE235A01022,855.55,finolex cables,FINCABLES.NS
155,500940,Finolex Industries Ltd,INE183A01024,175.4,finolex industries,FINPIPE.NS
156,532809,Firstsource Solutions Ltd,INE684F01012,129.9,firstsource solutions,FSL.NS
157,543663,Five-Star Business Finance Ltd,INE128S01021,651.15,five-star business finance,FIVESTAR.NS
158,532843,Fortis Healthcare Ltd.,INE061F01013,306.25,fortis healthcare,FORTIS.NS
159,543384,FSN E-Commerce Ventures Ltd,INE388Y01029,150.45,fsn e-commerce ventures,NYKAA.NS
160,543317,G R Infraprojects Ltd,INE201P01022,1248.65,g r infraprojects,GRINFRA.NS
161,532155,Gail India Ltd,INE129A01019,108.0,gail india,GAIL.NS
162,540935,Galaxy Surfactants Ltd,INE600K01018,2846.5,galaxy surfactants,GALAXYSURF.NS
163,509557,Garware Technical Fibres Ltd,INE276A01018,3181.8,garware technical fibres,GARFIBRES.NS
164,540755,General Insurance Corporation of India,INE481Y01014,188.1,general insurance corporation of india,GICRE.NS
165,507815,Gillette India Ltd,INE322A01010,4514.0,gillette india,GILLETTE.NS
166,543245,Gland Pharma Ltd,INE068V01023,1023.65,gl,GL
167,500660,GlaxoSmithKline Pharmaceuticals Ltd,INE159A01016,1414.6,glaxosmithkline pharmaceuticals,GLAXO.NS
168,532296,Glenmark Pharmaceuticals Ltd,INE935A01035,640.65,glenmark pharmaceuticals,GLENMARK.NS
169,543654,Global Health Ltd,INE474Q01031,637.85,global health,IXJ
170,505255,GMM Pfaudler Limited,INE541A01023,1512.45,gmm pfaudler limited,GMMPFAUDLR.NS
171,532754,GMR Airports Infrastructure Ltd,INE776C01039,42.6,gmr airports infrastructure,GMRINFRA.NS
172,500163,Godfrey Phillips India Ltd,INE260B01028,1717.0,godfrey phillips india,GODFRYPHLP.NS
173,540743,Godrej Agrovet Ltd,INE850D01014,455.45,godrej agrovet,GODREJAGRO.NS
174,532424,Godrej Consumer Products Ltd,INE102D01028,1066.55,godrej consumer products,GODREJCP.NS
175,500164,Godrej Industries Ltd,INE233A01035,503.8,godrej industries,GODREJIND.NS
176,533150,Godrej Properties Ltd,INE484J01027,1521.35,godrej properties,GODREJPROP.NS
177,532482,Granules India Ltd,INE101D01020,294.45,granules india,GRANULES.NS
178,509488,Graphite India Ltd.,INE371A01025,415.15,graphite india,GRAPHITE.NS
179,500300,Grasim Industries Ltd,INE047A01021,1759.7,grasim industries,GRASIM.NS
180,500620,Great Eastern Shipping Co Ltd/The,INE017A01032,747.95,great eastern shipping co,GESHIP.NS
181,506076,Grindwell Norton Ltd,INE536A01023,2162.5,grindwell norton,GRINDWELL.NS
182,530001,Gujarat Alkalies & Chemicals Ltd.,INE186A01019,680.85,gujarat alkalies,GUJALKALI.NS
183,524226,Gujarat Ambuja Exports Ltd,INE036B01030,250.1,gujarat ambuja exports,GAEL.NS
184,542812,Gujarat Fluorochemicals Ltd,INE09N301011,3164.4,gujarat fluorochemicals,FLUOROCHEM.NS
185,539336,Gujarat Gas Ltd,INE844O01030,473.3,gujarat gas,GUJGASLTD.NS
186,500670,Gujarat Narmada Valley Fertilizers and Chemicals Limited,INE113A01013,588.5,gujarat narmada valley fertilizers,GNFC.NS
187,533248,Gujarat Pipavav Port Ltd,INE517F01014,114.25,gujarat pipavav port,GPPL.NS
188,500690,Gujarat State Fertilisers & Chemicals Ltd,INE026A01025,159.9,gujarat state fertilisers,NA
189,532702,Gujarat State Petronet Ltd,INE246F01010,297.05,gujarat state petronet,GSPL.NS
190,543227,Happiest Minds Technologies Ltd,INE419U01012,916.7,happiest minds technologies,HAPPSTMNDS.NS
191,531531,Hatsun Agro Products Ltd,INE473B01035,922.9,hatsun agro products,NA
192,517354,Havells India Ltd,INE176B01034,1336.5,havells india,HAVELLS.NS
193,532281,HCL Technologies Ltd,INE860A01027,1137.55,hcl technologies,HCLTECH.NS
194,541729,HDFC Asset Management Company Ltd,INE127D01025,1891.1,hdfc asset management company,HDFCAMC.NS
195,500180,HDFC Bank Ltd,INE040A01034,1603.65,hdfc bank,HDFCBANK.NS
196,540777,HDFC Life Insurance Company Ltd,INE795G01014,626.45,hdfc life insurance company,HDFCLIFE.NS
197,509631,HEG Ltd,INE545A01016,1631.65,heg,HEG.NS
198,500292,HeidelbergCement India Ltd.,INE578A01017,176.2,heidelbergcement india,HEIDELBERG.NS
199,500182,Hero MotoCorp Ltd,INE158A01026,2782.45,hero motocorp,HEROMOTOCO.NS
200,500183,HFCL Ltd,INE548A01028,68.54,hfcl,HFCL.NS
201,524735,Hikal Ltd.,INE475B01022,322.6,hikal,HIKAL.NS
202,500440,Hindalco Industries Ltd,INE038A01020,426.3,hindalco industries,HINDALCO.NS
203,541154,Hindustan Aeronautics Ltd,INE066F01012,3892.5,hindustan aeronautics,HAL.NS
204,513599,Hindustan Copper,INE531E01026,114.5,hindustan copper,HINDCOPPER.NS
205,500104,Hindustan Petroleum Corp Ltd,INE094A01015,272.85,hindustan petroleum corp,HINDPETRO.NS
206,500696,Hindustan Unilever Ltd,INE030A01027,2680.65,hindustan unilever,HINDUNILVR.NS
207,500188,Hindustan Zinc Ltd,INE267A01025,307.0,hindustan zinc,HINDZINC.NS
208,543187,Hitachi Energy India Ltd,INE07Y701011,4116.6,hitachi energy india,POWERINDIA.BO
209,522215,HLE Glascoat Ltd,INE461D01028,659.5,hle glascoat,HLEGLAS.NS
210,543259,Home First Finance Company India Ltd,INE481N01025,826.05,home first finance company india,HOMEFIRST.NS
211,517174,Honeywell Automation India Ltd,INE671A01010,42443.65,honeywell automation india,HONAUT.NS
212,540530,Housing and Urban Development Corporation Ltd,INE031A01017,59.36,housing,GHI
213,500010,Housing Development Finance Corp,INE001A01036,2654.95,housing development finance corp,HDFC.NS
214,532174,ICICI Bank Ltd,INE090A01021,922.85,icici bank,ICICIBANK.NS
215,540716,ICICI Lombard General Insurance Company Ltd,INE765G01017,1259.4,icici lombard general insurance company,ICICIGI.NS
216,540133,ICICI Prudential Life Insurance Company Ltd,INE726G01019,549.05,icici prudential life insurance company,ICICIPRULI.NS
217,541179,ICICI Securities Ltd,INE763G01038,518.65,icici securities,ISEC.NS
218,500116,IDBI Bank Ltd,INE008A01015,54.62,idbi bank,IDBI.NS
219,539437,IDFC First Bank Ltd,INE092T01019,81.27,idfc first bank,IDFCFIRSTB.NS
220,532659,IDFC Limited,INE043D01016,106.89,idfc limited,IDFC.NS
221,505726,IFB Industries Ltd,INE559A01017,809.8,ifb industries,IFBIND.NS
222,532636,IIFL Finance Ltd,INE530B01024,516.65,iifl finance,IIFL.NS
223,530005,India Cements Ltd,INE383A01012,223.1,india cements,INDIACEM.NS
224,535789,Indiabulls Housing Finance Limited,INE148I01020,113.1,indiabulls housing finance limited,IBULHSGFIN.NS
225,532832,Indiabulls Real Estate Ltd,INE069I01010,61.61,indiabulls real estate,IBREALEST.NS
