Scrip Code,COMPANY,ISIN No.,Close Price
500820,Asian Paints Ltd,INE021A01026,3309.85
540975,Aster DM Healthcare Ltd,INE914M01019,287.2
532830,ASTRAL LIMITED,INE006I01046,1970.5
506820,AstraZeneca Pharm India,INE203A01020,3624.55
500027,Atul Ltd.,INE100A01010,7018.55
540611,AU Small Finance Bank Ltd,INE949L01017,772.75
524804,Aurobindo Pharma Ltd,INE406A01037,677.6
512573,Avanti Feeds Ltd,INE871C01038,388.25
540376,Avenue Supermarts Ltd,INE192R01011,3973.9
532215,Axis Bank Ltd,INE238A01034,965.75
532977,Bajaj Auto Ltd,INE917I01010,4596.9
500031,Bajaj Electricals Ltd,INE193E01025,1231.5
500034,Bajaj Finance Ltd,INE296A01024,7384.95
532978,Bajaj Finserv Ltd,INE918I01026,1541.9
500490,Bajaj Holdings and Investment Ltd,INE118A01012,6983.05
530999,Balaji Amines Ltd,INE050E01027,2369.65
502355,Balkrishna Industries Ltd,INE787D01026,2346
500038,Balrampur Chini Mills Ltd,INE119A01028,395.1
541153,Bandhan Bank Ltd,INE545U01014,249.9
532134,Bank of Baroda,INE028A01039,193.7
532149,Bank of India,INE084A01016,75.1
532525,Bank Of Maharashtra,INE457A01014,27.87
500042,BASF India Limited,INE373A01013,2554.5
500043,Bata India Ltimited,INE176A01028,1626.4
506285,Bayer CropScience Ltd/India,INE462A01022,4263.85
509480,Berger Paints India Ltd,INE463A01038,675.85
541143,Bharat Dynamics Ltd,INE171Z01018,1197.45
500049,Bharat Electronics Ltd,INE263A01024,124.8
500493,Bharat Forge Ltd,INE465A01025,825.35
500103,Bharat Heavy Electricals Ltd,INE257A01026,87.35
500547,Bharat Petroleum Corp Ltd,INE029A01011,374.95
532454,Bharti Airtel Ltd,INE397D01024,828.05
543653,Bikaji Foods International Ltd,INE00E101023,414.8
532523,Biocon Ltd,INE376G01013,244.8
500335,Birla Corp Ltd,INE340A01012,1192.6
532400,Birlasoft Ltd,INE836A01035,335.55
526612,Blue Dart Express Ltd,INE233B01017,6644.15
500067,Blue Star Ltd,INE472A01039,1525.35
501425,Bombay Burmah Trading Corp Ltd.,INE050A01025,1046.3
502219,Borosil Renewables Ltd,INE666D01022,548.6
500530,Bosch Ltd,INE323A01026,18955.3
532929,Brigade Enterprises Ltd,INE791I01019,596.75
500825,Britannia Industries Ltd.,INE216A01030,5016.1
543425,C.E. Info Systems Ltd,INE0BV301023,1165.5
543523,Campus Activewear Ltd,INE278Y01022,323.65
511196,Can Fin Homes Ltd,INE477A01020,744.85
532483,Canara Bank,INE476A01014,304.95
