date,y_test,y_pred
2020-06-23,837.4999999999999,846.0344094066864
2020-06-24,836.75,848.152623329723
2020-06-25,842.5000000000001,842.9603384487871
2020-06-26,854.5750122070312,850.5501749483691
2020-06-29,853.7999877929688,864.9281565213299
2020-06-30,859.0,857.2408881461861
2020-07-01,842.0750122070312,850.3962982857697
2020-07-02,841.9749755859375,838.8389242666126
2020-07-03,844.2500000000001,845.265806361394
2020-07-06,854.5250244140625,849.0908364186598
2020-07-07,844.4500122070314,853.8071080319676
2020-07-08,826.9000244140625,845.1969831639985
2020-07-09,830.0,832.9628595543237
2020-07-10,834.125,843.5440148388258
2020-07-13,838.0499877929688,845.4488360912711
2020-07-14,831.6500244140625,837.3227416009186
2020-07-15,833.2750244140625,844.0964871751112
2020-07-16,898.5250244140625,841.8305956768062
2020-07-17,921.8499755859376,906.5584322232758
2020-07-20,914.9000244140624,926.1593571988822
2020-07-21,895.4249877929688,908.8276498596144
2020-07-22,894.0000000000001,889.2693644109576
2020-07-23,899.9999999999999,888.4936969100062
2020-07-24,898.0000000000001,910.7312577397416
2020-07-27,893.4749755859376,907.9427773191408
2020-07-28,879.0,886.5157895333958
2020-07-29,893.875,890.4771939027045
2020-07-30,921.4999999999999,907.2537854063771
2020-07-31,951.2999877929689,889.6412138344854
2020-08-03,1016.4500122070312,964.1323808458925
2020-08-04,998.4999999999999,968.1665285577518
2020-08-05,1010.0,1027.9632733606018
2020-08-06,1004.9999999999999,1015.9237723840912
2020-08-07,999.3499755859375,1030.6368890870756
2020-08-10,1087.5,1024.1482259488976
2020-08-11,1077.5250244140625,1093.7491280510972
2020-08-12,1016.6500244140624,1036.3933214157728
2020-08-13,1019.4999999999999,1028.7062762494286
2020-08-14,1013.8750000000001,1029.0645059176
2020-08-17,1021.5,1042.7094662884003
2020-08-18,1034.0,1034.2451322123
2020-08-19,1016.7999877929688,1039.5411742632448
2020-08-20,1022.1749877929688,1037.2986101062165
2020-08-21,1023.7000122070312,1056.8139541322796
2020-08-24,1012.0750122070314,1044.641247938946
2020-08-25,1047.4000244140625,1039.993162074181
2020-08-26,1025.574951171875,1046.387092330361
2020-08-27,1018.0,1033.0486066078374
2020-08-28,1014.0,1032.7888147642723
2020-08-31,1037.4749755859375,1012.1069306546896
2020-09-01,1026.0,961.4852761882048
2020-09-02,1033.0999755859375,1029.5458979326097
2020-09-03,1044.75,1051.880809979515
2020-09-04,1017.5,1048.3303958296133
2020-09-07,1041.5,1045.5722466238583
2020-09-08,1023.0,1055.4482322408505
2020-09-09,1032.7750244140625,1020.6357931947041
2020-09-10,1034.925048828125,1052.9968094380454
2020-09-11,1028.425048828125,1049.8495811655262
2020-09-14,1084.0,1029.1630731660387
2020-09-15,1092.6500244140625,1097.8118421350114
2020-09-16,1117.6500244140625,1100.9094161531489
2020-09-17,1117.9000244140625,1152.0024490139115
2020-09-18,1098.0,1093.1187226584902
2020-09-21,1088.5,1108.5210899375404
2020-09-22,1060.375,1074.5553954514858
2020-09-23,1072.9749755859375,1097.4139904204767
2020-09-24,1056.5999755859375,1109.4914134414535
2020-09-25,1064.9000244140625,1061.803171320601
2020-09-28,1054.2249755859375,1067.523769483817
2020-09-29,1087.9749755859375,1072.3543465446226
2020-09-30,1095.0,1090.1762706485003
2020-10-01,1134.0,1119.695199762176
2020-10-05,1124.5,1154.9692134475129
2020-10-06,1084.824951171875,1096.7867524500723
2020-10-07,1092.949951171875,1092.395759927329
2020-10-08,1074.8499755859375,1099.867536662323
2020-10-09,1072.25,1094.0610142688247
2020-10-12,1067.7750244140625,1073.6983643927426
2020-10-13,1072.5,1074.0344954105806
2020-10-14,1077.5,1083.172151409584
2020-10-15,1056.5,1096.2276478509523
2020-10-16,1066.800048828125,1061.7325546386703
2020-10-19,1062.800048828125,1083.0756319078864
2020-10-20,1045.5,1071.8469687856089
2020-10-21,1040.5,1064.1646062680109
2020-10-22,1085.9000244140625,1060.387501662346
2020-10-23,1098.0,1102.3253748602924
2020-10-26,1098.9000244140625,1112.419642761759
2020-10-27,1220.2249755859375,1107.7690220038533
2020-10-28,1227.7750244140625,1228.9734198381586
2020-10-29,1179.300048828125,1220.380683624346
2020-10-30,1188.449951171875,1214.242990389292
2020-11-02,1217.9749755859375,1191.776805242955
2020-11-03,1183.5999755859375,1189.2153243089365
2020-11-04,1197.5,1208.8400374693042
2020-11-05,1224.5,1211.9124422110772
2020-11-06,1207.5000000000002,1208.2518644049892
2020-11-09,1183.949951171875,1220.9187678234393
2020-11-10,1140.0,1152.8535192610916
2020-11-11,1071.9000244140625,1058.0729913713596
2020-11-12,1049.925048828125,1049.339191217605
2020-11-13,1058.5,1069.4939135506302
2020-11-14,1049.949951171875,1084.7378234818711
2020-11-17,1060.0,1101.6646853934153
2020-11-18,1076.0,1152.6206688696727
2020-11-19,1058.375,1160.8122069366605
2020-11-20,1080.0,1130.7041448908749
2020-11-23,1139.4749755859375,1179.0812330304911
2020-11-24,1143.7750244140625,1185.160406053011
2020-11-25,1123.5,1164.799374037654
2020-11-26,1078.4749755859375,1115.136216345057
2020-11-27,1137.5,1142.2242353769818
2020-12-01,1148.5,1137.5355118089801
2020-12-02,1139.5000000000002,1201.3906207691593
2020-12-03,1145.0,1253.8143394393442
2020-12-04,1131.800048828125,1202.061241825571
2020-12-07,1125.125,1156.1035166098068
2020-12-08,1139.0250244140625,1130.9280238091992
2020-12-09,1137.5,1141.8768547557988
2020-12-10,1123.0,1141.317013738019
2020-12-11,1129.324951171875,1128.3653002905235
2020-12-14,1131.449951171875,1119.651843750123
