shap_value_EIHOTEL.BO,feature
2.410117913141373e-05,volatility_dch_100
1.6723778992088136e-05,trend_psar_up_indicator_20
1.1504447767005035e-05,trend_vortex_ind_neg_50
1.0020732057259932e-05,volume_em
9.747404506046631e-06,others_dlr_10
7.265746464429976e-06,others_dlr_100
6.003950161241136e-06,trend_ichimoku_conv_100
5.5298349949196835e-06,volume_cmf_200
5.39384417179651e-06,trend_psar_up_indicator_5
5.365207303249322e-06,momentum_stoch_rsi_d_20
5.162090074398571e-06,others_dr
4.772555631187178e-06,momentum_stoch_5
4.686150961999128e-06,volume_em_200
4.213867491470729e-06,momentum_stoch_rsi_k_200
4.18259639145755e-06,diluted_eps_qtr
4.157236855522013e-06,volatility_bbm
4.110166708923153e-06,volatility_bbm_20
4.088498331425732e-06,others_dlr
3.95448003285089e-06,volume_sma_em_5
3.826592055448131e-06,volatility_dcp_200
3.7965059327120654e-06,momentum_uo_20
3.666790535426586e-06,volatility_kch
3.4930023748223498e-06,basic_eps_qtr
3.0672628300490304e-06,trend_visual_ichimoku_b_10
3.036264553272126e-06,momentum_ppo
3.004717263466483e-06,momentum_roc_200
2.957427833674921e-06,trend_ichimoku_a_50
2.8483966491290376e-06,momentum_tsi
2.845785869305364e-06,momentum_ppo_hist_200
2.789669391693028e-06,volume_adi
2.777684278507364e-06,trend_aroon_ind_20
2.7611799882343496e-06,trend_visual_ichimoku_a_50
2.749954827584116e-06,momentum_stoch_rsi_d_50
2.696074140053531e-06,trend_aroon_down_5
2.4965077021817724e-06,volatility_kcw_200
2.4615236190217733e-06,trend_aroon_up_200
2.4088476711229997e-06,volume_nvi_200
2.3633256792451004e-06,trend_macd_10
2.3615791079393994e-06,volatility_kcc_20
2.247137740549854e-06,volatility_kcw_10
2.2376380394236304e-06,trend_kst_sig_5
2.204939437192766e-06,volatility_kcc
2.201887789913608e-06,momentum_stoch
2.1732258530958213e-06,trend_adx_50
2.171003734453201e-06,yesterday_close
2.114656214572032e-06,volatility_bbp_10
2.10574174698101e-06,net_profit_qtr
2.0995704682713197e-06,momentum_stoch_rsi_200
2.015395770362437e-06,trend_trix_100
1.930011643383665e-06,momentum_wr_50
1.929227306750988e-06,trend_macd_diff_10
