shap_value_ELGIEQUIP.BO,feature
1.7796194466900144e-05,trend_ema_fast_100
6.362334309618019e-06,volatility_kchi_100
6.265601709408781e-06,others_dr_10
6.141111513669323e-06,volatility_dcp_200
5.870417604387586e-06,volatility_kcl_200
5.425213297243612e-06,volatility_kcw_200
5.264207886985924e-06,others_cr_200
5.191283015225314e-06,trend_psar_down_indicator_20
4.258877308674883e-06,trend_vortex_ind_neg_100
4.202803698619215e-06,trend_cci_10
4.191652308160063e-06,momentum_rsi_20
4.096018447267669e-06,others_dlr_200
3.944821523890962e-06,trend_vortex_ind_diff_50
3.805935843503869e-06,momentum_wr
3.7602794202830514e-06,trend_cci_5
3.5336044782298567e-06,volume_adi_200
3.372541578382552e-06,volume_sma_em_5
3.241300983539163e-06,trend_aroon_down_100
3.2244529484653724e-06,trend_visual_ichimoku_b_10
3.1576222396033436e-06,trend_visual_ichimoku_a_20
3.145335953982388e-06,momentum_stoch_rsi_d_50
3.1233605089648035e-06,expenditure_yrly
3.121031132394391e-06,trend_aroon_down_200
3.082930884453272e-06,trend_ichimoku_a_10
2.9786264172628353e-06,trend_adx_pos_50
2.941108466838447e-06,trend_mass_index_50
2.9209565385490673e-06,volatility_bbl_200
2.868759675804237e-06,momentum_stoch_rsi_k_200
2.853325462756671e-06,trend_aroon_up
2.8126570387860512e-06,momentum_stoch_rsi
2.8026254677992288e-06,others_dlr_20
2.802075081839668e-06,trend_ichimoku_conv_50
2.762029025143413e-06,volatility_bbhi
2.7591633664120685e-06,momentum_stoch_rsi_d_20
2.7430658229144165e-06,volatility_dcw
2.6877168156952296e-06,volatility_ui_10
2.6394360110395598e-06,profit_loss_from_ordinary_activities_before_tax_qtr
2.5140599937441564e-06,momentum_wr_200
2.488842882787254e-06,volatility_kcl_10
2.4828183833729173e-06,trend_macd_diff_100
2.4821826494923762e-06,trend_trix_50
2.40541199576991e-06,volume_vpt_5
2.39886022356622e-06,trend_aroon_up_200
2.3554896095432277e-06,volatility_ui_100
2.343658026848528e-06,volatility_bbli_10
2.252904482365103e-06,momentum_stoch_rsi_d
2.1830827045011363e-06,volume_adi_20
2.0046076508222067e-06,trend_aroon_down_5
1.995763913852804e-06,trend_aroon_ind_20
1.984155459894054e-06,momentum_pvo_signal_10
1.9535573413785835e-06,volatility_kch_100
1.9054777722860683e-06,momentum_stoch
1.9030996001751483e-06,momentum_tsi_200
1.8046973602873354e-06,momentum_ppo_signal_20
1.7715614204084822e-06,trend_ema_fast_50
1.763031435052576e-06,others_dr_20
1.757938291440534e-06,volatility_dch_10
1.692917496033724e-06,volume
1.6778577704504352e-06,trend_psar_up_indicator_50
1.67125986962846e-06,momentum_ppo
1.6406245377029945e-06,trend_sma_slow_5
1.6298925836839977e-06,volatility_kcc
1.6065480360150846e-06,momentum_stoch_rsi_d_200
1.6017887970001467e-06,momentum_rsi_50
1.5852170661136879e-06,volatility_kcw_20
1.579701896626566e-06,momentum_ao_20
1.5663889007450564e-06,volatility_dcp_20
1.5638652329773247e-06,others_cr_10
1.5211849672789607e-06,momentum_uo_200
1.3950220169083162e-06,trend_ichimoku_a_100
1.3880578262129058e-06,trend_psar_up_indicator_5
1.3482073345795581e-06,volatility_dcw_200
1.3469849681911068e-06,volatility_bbli_100
1.328959783848247e-06,volume_vwap_50
1.3205646404748644e-06,volatility_kcl_20
1.2862265781781574e-06,volatility_bbli_50
1.2836080268547526e-06,momentum_ao
1.277376822566646e-06,volatility_bbp_50
1.2467830696702072e-06,momentum_pvo_hist_10
1.24600464968545e-06,volume_fi_200
1.2297237744861403e-06,trend_adx_5
