shap_value_ELGIEQUIP.BO,feature
1.2229912188847597e-06,trend_macd_100
1.2175227178614341e-06,trend_ema_slow_20
1.177858094386457e-06,volatility_kcli_20
1.1398824318013863e-06,open
1.1234591104846346e-06,other_expenses_qtr
1.1164789845967186e-06,trend_ichimoku_b_50
1.0991322195956328e-06,momentum_stoch_200
1.0951088935602867e-06,volatility_dcw_10
1.0919041589114262e-06,volume_fi
1.0897480616361318e-06,volatility_bbm_200
1.0801873250168934e-06,volatility_bbl
1.0403793838069699e-06,trend_vortex_ind_diff_10
1.032166101129613e-06,trend_aroon_up_20
1.0214352881304604e-06,trend_aroon_down
1.0129163235398792e-06,volume_mfi_200
1.0039260079104868e-06,momentum_ppo_hist_5
9.865998807963675e-07,volume_cmf_20
9.814634795273905e-07,volatility_atr_10
9.79522116645864e-07,volatility_dcl_200
9.761743834496633e-07,volume_vpt_200
9.67493876063367e-07,volatility_kcc_100
9.565324320294168e-07,trend_macd_10
8.885749325590944e-07,volatility_bbhi_50
8.707548103322794e-07,momentum_roc_20
8.65387762703973e-07,volatility_bbhi_100
8.616004993705751e-07,momentum_rsi
8.50170920165694e-07,volume_mfi_20
8.419629033570513e-07,trend_vortex_ind_neg_10
8.38411064579678e-07,trend_kst_sig_50
7.990114005567763e-07,volatility_kcw_100
7.6717617875491e-07,volatility_kcp_200
7.428542899207689e-07,volatility_bbl_20
7.425553359841811e-07,volatility_dcm
7.276993428964971e-07,trend_visual_ichimoku_b
7.190818627202098e-07,trend_ichimoku_base_10
7.168384603290129e-07,others_dlr_100
6.97772055556738e-07,momentum_tsi
6.900212853347252e-07,trend_psar_down_indicator
6.610064288675567e-07,trend_stc_50
6.605756245217707e-07,momentum_stoch_rsi_d_5
6.533392863799753e-07,volume_fi_50
6.512168975727621e-07,others_dlr_10
6.441714079196769e-07,volatility_kcc_20
6.391214392511412e-07,volume_vpt
6.250288008500385e-07,trend_kst_diff_50
6.182210021573746e-07,trend_ichimoku_base_50
6.01030140334488e-07,trend_visual_ichimoku_a_100
5.909959150578032e-07,momentum_rsi_200
5.854682713283049e-07,trend_dpo_10
5.809955557886064e-07,momentum_stoch_5
5.804176869319357e-07,volatility_dcw_20
5.709674273034459e-07,trend_macd_diff
5.324339805595759e-07,expenditure_qtr
5.261370540975375e-07,trend_ema_slow_50
5.206150798496776e-07,volatility_dcp_100
5.054207328814136e-07,momentum_kama_100
5.031091498462018e-07,trend_vortex_ind_diff_5
4.908607681534707e-07,volatility_bbhi_200
4.813162601106405e-07,trend_kst_diff_5
4.509007568852963e-07,volume_vpt_50
4.4912327038647857e-07,volume_nvi_200
4.2938813891959427e-07,momentum_ppo_hist_200
4.26065457968559e-07,hsi_percent_change
4.1170782698226295e-07,trend_trix_10
4.0391111138962994e-07,momentum_stoch_signal
4.012047455341725e-07,volatility_kcli_100
3.9991232729344504e-07,volatility_bbm
3.6594447560250956e-07,volatility_dch
3.6015909967758695e-07,others_dr_100
3.599246829747524e-07,momentum_kama_10
3.5771458861925013e-07,momentum_stoch_rsi_20
3.5522859571015096e-07,momentum_ppo_hist
3.5100834417990847e-07,trend_macd_signal_5
3.494030287338597e-07,volatility_kcc_10
3.361014099177256e-07,momentum_stoch_rsi_k_50
3.189788980283392e-07,volume_mfi
3.156358613104088e-07,trend_ema_slow_200
3.1239645146776834e-07,volatility_bbh
3.0367020600076463e-07,volatility_bbm_20
2.9465716379277403e-07,volatility_kch
2.7148029231521023e-07,volume_sma_em
2.620368465735971e-07,momentum_stoch_rsi_200
2.583098581746519e-07,volatility_ui_200
2.4871886223004443e-07,trend_kst_sig_100
2.478721960582879e-07,volume_cmf
2.3142812182010234e-07,momentum_wr_20
2.2611568732031275e-07,volatility_dcw_100
2.215179681209713e-07,momentum_stoch_signal_200
2.1013050967140287e-07,volatility_kcl_100
2.0421147599627023e-07,volume_cmf_50
1.813827008919966e-07,others_dlr
1.8002304147116593e-07,volume_nvi_20
1.721696673722345e-07,momentum_tsi_5
1.6455607485859297e-07,trend_visual_ichimoku_b_100
1.621544202196897e-07,trend_vortex_ind_neg_50
1.560513351097228e-07,trend_aroon_ind_200
1.530911151004438e-07,momentum_kama
1.5224421461194536e-07,high
1.5055922288318175e-07,volatility_dch_200
1.3574535417803615e-07,trend_trix_100
1.3467903825476566e-07,trend_vortex_ind_diff_100
1.1898095416397444e-07,momentum_ao_200
1.1522908418864324e-07,trend_psar_down_indicator_5
1.0697116459943456e-07,momentum_stoch_signal_50
9.323075025353574e-08,volume_adi_50
8.935821497379224e-08,volatility_kcp_100
8.262200787987332e-08,momentum_kama_200
8.118241317417857e-08,trend_vortex_ind_pos_50
7.935089462266584e-08,volume_fi_5
7.44359186558418e-08,trend_macd_diff_10
7.429242954025128e-08,others_cr
5.464158171635535e-08,momentum_pvo_200
4.5621183374242275e-08,trend_kst_diff_10
3.789655818292353e-08,momentum_roc_200
3.4058860025993055e-08,volatility_atr_100
1.932482788836954e-08,volume_vwap
7.562992520908888e-09,trend_psar_down_indicator_200
0.0,volatility_kchi_50
0.0,volatility_dcp_50
0.0,volatility_bbh_100
0.0,volatility_bbl_100
0.0,trend_kst
0.0,trend_dpo
0.0,trend_macd_50
0.0,volatility_ui_50
0.0,volatility_atr_50
0.0,volatility_bbw_100
0.0,volatility_bbp_100
0.0,volatility_kcc_50
0.0,trend_macd_signal
0.0,trend_macd
0.0,volatility_dcw_50
0.0,volatility_kch_50
0.0,volatility_kcl_50
0.0,volatility_dcm_50
0.0,volatility_dch_50
0.0,volatility_kcw_50
0.0,volatility_ui
0.0,volatility_dcl_50
0.0,volatility_bbm_100
0.0,volatility_kcli_50
0.0,trend_cci_50
0.0,trend_macd_signal_50
0.0,volume_nvi_100
0.0,momentum_pvo_signal_50
0.0,momentum_ppo_hist_50
0.0,momentum_ppo_signal_50
0.0,momentum_ppo_50
0.0,momentum_roc_50
0.0,trend_trix
0.0,momentum_ao_50
0.0,trend_vortex_ind_diff
0.0,trend_vortex_ind_neg
0.0,momentum_uo_50
0.0,momentum_tsi_50
0.0,trend_vortex_ind_pos
0.0,trend_ema_slow
0.0,trend_ema_fast
0.0,momentum_stoch_rsi_50
0.0,trend_mass_index
0.0,momentum_kama_50
0.0,trend_sma_slow_50
0.0,volume_sma_em_100
0.0,trend_macd_diff_50
0.0,volume_mfi_100
0.0,volume_vwap_100
0.0,trend_sma_fast_50
0.0,volume_vpt_100
0.0,trend_visual_ichimoku_b_50
0.0,volume_em_100
0.0,others_dr_50
0.0,volume_fi_100
0.0,volume_cmf_100
0.0,volume_obv_100
0.0,volume_adi_100
0.0,others_cr_50
0.0,others_dlr_50
0.0,volume_em_5
0.0,trend_psar_down_indicator_100
0.0,volatility_atr
0.0,trend_ichimoku_b_200
0.0,other_income_qtr
0.0,others_dr_200
0.0,momentum_pvo_hist_200
0.0,trend_visual_ichimoku_b_200
0.0,trend_cci_200
0.0,trend_adx_neg_200
0.0,trend_adx_pos_200
0.0,trend_adx_200
0.0,trend_stc_200
0.0,trend_ichimoku_a_200
0.0,profit_after_interest_but_before_exceptional_items_qtr
0.0,trend_ichimoku_base_200
0.0,trend_ichimoku_conv_200
0.0,trend_kst_diff_200
0.0,trend_kst_sig_200
0.0,trend_kst_200
0.0,trend_dpo_200
0.0,trend_mass_index_200
0.0,trend_trix_200
0.0,trend_vortex_ind_diff_200
0.0,depreciation_and_amortisation_expense_qtr
0.0,net_profit_loss_from_ordinary_activities_after_tax_yrly
0.0,volatility_dcp
0.0,ticker_polarity
0.0,sha_percent_change
0.0,^gspc_percent_change
0.0,^bsesn_percent_change
0.0,^nsei_percent_change
0.0,usdx-index_percent_change
0.0,treasury_yeild_10_years_percent_change
0.0,cl=f_percent_change
0.0,inr=x_percent_change
0.0,ticker_compound
0.0,topic_compound
0.0,profit_loss_from_ordinary_activities_before_tax_yrly
0.0,topic_polarity
0.0,agg_compound
0.0,agg_polarity
0.0,depreciation_and_amortisation_expense_yrly
0.0,profit_after_interest_but_before_exceptional_items_yrly
0.0,net_profit_yrly
0.0,diluted_eps_yrly
0.0,basic_eps_yrly
0.0,other_income_yrly
0.0,trend_vortex_ind_neg_200
0.0,trend_vortex_ind_pos_200
0.0,trend_sma_fast_200
0.0,trend_adx_100
0.0,momentum_stoch_rsi_k_100
0.0,momentum_stoch_rsi_100
0.0,momentum_rsi_100
0.0,volatility_bbl_50
0.0,trend_psar_up_indicator_100
0.0,trend_aroon_ind_100
0.0,trend_cci_100
0.0,trend_adx_neg_100
0.0,trend_adx_pos_100
0.0,trend_stc_100
0.0,trend_macd_diff_200
0.0,volatility_kcli
0.0,trend_ichimoku_base_100
0.0,trend_ichimoku_conv_100
0.0,trend_kst_diff_100
0.0,trend_kst_100
0.0,trend_dpo_100
0.0,volatility_dcl
0.0,trend_vortex_ind_pos_100
0.0,trend_ema_slow_100
0.0,momentum_stoch_rsi_d_100
0.0,momentum_tsi_100
0.0,momentum_uo_100
0.0,momentum_stoch_100
0.0,trend_macd_signal_200
0.0,trend_macd_200
0.0,volatility_dcm_200
0.0,volatility_kcli_200
0.0,volatility_bbp
0.0,volatility_kch_200
0.0,volatility_kcc_200
0.0,volatility_bbli_200
0.0,volatility_bbp_200
0.0,volume_vwap_200
0.0,volatility_kcw
0.0,volatility_kcp
0.0,momentum_pvo_100
0.0,momentum_ppo_signal_100
0.0,momentum_ppo_100
0.0,momentum_roc_100
0.0,momentum_ao_100
0.0,momentum_wr_100
0.0,momentum_stoch_signal_100
0.0,volatility_bbw_50
0.0,volatility_kcp_50
0.0,volatility_bbh_50
0.0,momentum_ppo_hist_10
0.0,trend_kst_sig_10
0.0,trend_mass_index_10
0.0,volatility_bbm_50
0.0,trend_ema_slow_10
0.0,trend_ema_fast_10
0.0,trend_sma_slow_10
0.0,momentum_pvo_signal
0.0,volatility_bbw_10
0.0,volatility_bbl_10
0.0,volatility_bbh_10
0.0,volatility_bbm_10
0.0,volume_nvi_10
0.0,volume_mfi_10
0.0,volume_vwap_10
0.0,volume_vpt_10
0.0,volume_sma_em_10
0.0,volume_em_10
0.0,volume_fi_10
0.0,volume_cmf_10
0.0,trend_ichimoku_b_10
0.0,trend_stc_10
0.0,trend_adx_10
0.0,momentum_stoch_rsi_d_10
0.0,momentum_ppo_10
0.0,momentum_roc_10
0.0,momentum_ao_10
0.0,momentum_wr_10
0.0,momentum_stoch_signal_10
0.0,momentum_stoch_10
0.0,momentum_uo_10
0.0,momentum_tsi_10
0.0,momentum_stoch_rsi_k_10
0.0,trend_adx_pos_10
0.0,momentum_stoch_rsi_10
0.0,momentum_rsi_10
0.0,trend_psar_down_indicator_10
0.0,trend_psar_up_indicator_10
0.0,trend_aroon_ind_10
0.0,trend_aroon_down_10
0.0,momentum_uo
0.0,trend_adx_neg_10
0.0,volume_obv_10
0.0,volume_adi_10
0.0,others_cr_5
0.0,volatility_kcl_5
0.0,volatility_dcw_5
0.0,volatility_dcm_5
0.0,volatility_dch_5
0.0,volatility_dcl_5
0.0,volatility_kcli_5
0.0,volatility_kchi_5
0.0,volatility_kcp_5
0.0,volatility_kcw_5
0.0,volatility_kch_5
0.0,volatility_atr_5
0.0,volatility_kcc_5
0.0,volatility_bbli_5
0.0,volatility_bbl_5
0.0,volatility_bbh_5
0.0,volatility_bbm_5
0.0,volume_nvi_5
0.0,volume_mfi_5
0.0,volume_cmf_5
0.0,volatility_dcp_5
0.0,volatility_ui_5
0.0,others_dlr_5
0.0,momentum_wr_5
0.0,others_dr_5
0.0,momentum_kama_5
0.0,momentum_pvo_hist_5
0.0,momentum_pvo_signal_5
0.0,momentum_pvo_5
0.0,momentum_ppo_5
0.0,momentum_roc_5
0.0,momentum_ao_5
0.0,momentum_stoch_rsi_k_5
0.0,trend_macd_5
0.0,momentum_rsi_5
0.0,trend_aroon_up_5
0.0,trend_visual_ichimoku_b_5
0.0,trend_adx_neg_5
0.0,volume_adi_5
0.0,trend_ichimoku_base_5
0.0,trend_ichimoku_conv_5
0.0,trend_macd_diff_5
0.0,momentum_ppo_signal_10
0.0,momentum_ppo_signal
0.0,trend_ichimoku_base_20
0.0,trend_adx_20
0.0,trend_stc
0.0,trend_ichimoku_a
0.0,trend_ichimoku_b_20
0.0,volatility_ui_20
0.0,trend_macd_20
0.0,momentum_stoch_20
0.0,trend_macd_signal_20
0.0,trend_macd_diff_20
0.0,trend_ichimoku_b
0.0,trend_stc_20
0.0,trend_adx_pos_20
0.0,volatility_dcl_20
0.0,trend_adx_neg_20
0.0,trend_ichimoku_conv_20
0.0,trend_vortex_ind_pos_20
0.0,trend_cci_20
0.0,trend_adx_pos
0.0,trend_vortex_ind_neg_20
0.0,trend_vortex_ind_diff_20
0.0,trend_adx
0.0,trend_trix_20
0.0,trend_mass_index_20
0.0,volatility_dch_20
0.0,trend_dpo_20
0.0,trend_ichimoku_base
0.0,volatility_bbw_20
0.0,trend_kst_diff_20
0.0,trend_ichimoku_a_20
0.0,volume_nvi_50
0.0,trend_kst_sig
0.0,trend_kst_20
0.0,volume_sma_em_50
0.0,volume_em_50
0.0,volume_obv_50
0.0,volatility_kchi_20
0.0,trend_kst_diff
0.0,volatility_bbhi_20
0.0,trend_ichimoku_conv
0.0,volatility_kcp_20
0.0,momentum_pvo_signal_20
0.0,volatility_bbli_20
-8.556231196933373e-09,trend_sma_fast
-1.0551095619923277e-08,trend_ema_fast_20
-1.1387008252708919e-08,trend_aroon_down_50
-2.7194079422199024e-08,volume_obv_200
-2.768985423673726e-08,trend_sma_fast_100
-3.6902129654796464e-08,momentum_pvo_signal_200
-4.2666683627601666e-08,momentum_kama_20
-4.370095464788602e-08,volatility_bbw
-4.4757177282576996e-08,volatility_bbp_20
-4.546663412100354e-08,volatility_kcw_10
-6.034181932013354e-08,momentum_ppo_hist_20
-6.607953725599065e-08,trend_vortex_ind_pos_5
-7.12290133130648e-08,trend_aroon_ind_50
-8.350465288750402e-08,trend_sma_slow_20
-9.991885655227988e-08,trend_aroon_down_20
-1.1686331809948206e-07,trend_ichimoku_a_50
-1.242788980739295e-07,volume_adi
-1.3615855691993871e-07,momentum_stoch_signal_20
-1.4067494672328998e-07,tax_qtr
-1.5214766171963232e-07,momentum_ppo_signal_5
-1.7193599733378914e-07,volume_sma_em_20
-1.7929961726274616e-07,volatility_dcp_10
-1.8615468278584376e-07,trend_ichimoku_b_5
-1.9353903622589492e-07,volatility_dcm_10
-2.0486228869797774e-07,trend_kst_5
-2.0782934793444353e-07,momentum_roc
-2.5061614905008364e-07,trend_adx_pos_5
-2.707083043786676e-07,momentum_pvo
-2.732667208790059e-07,net_profit_qtr
-3.4183449914197056e-07,volatility_dcm_100
-3.4376823612384164e-07,volatility_kch_10
-3.5320565787099016e-07,volatility_dcl_100
-3.61014183736021e-07,trend_cci
-3.741430333133124e-07,other_expenses_yrly
-3.8255447571391047e-07,volume_obv
-3.937445252964416e-07,others_cr_100
-3.958613965325708e-07,trend_sma_fast_20
-4.164716545130907e-07,trend_visual_ichimoku_a_5
-4.342099739573544e-07,momentum_stoch_rsi_k_20
-4.379711171157934e-07,volatility_bbp_10
-4.3952637481281355e-07,^sti_percent_change
-4.40445018914193e-07,volatility_dch_100
-4.40499627680222e-07,volatility_atr_200
-4.413889482680242e-07,yesterday_close
-4.417664196881846e-07,trend_sma_slow_200
-4.61491927573007e-07,momentum_pvo_signal_100
-4.7264996917768965e-07,trend_psar_down_indicator_50
-5.239624507513996e-07,trend_aroon_up_10
-5.760222729109098e-07,volatility_atr_20
-5.847011542928429e-07,trend_sma_slow_100
-6.601777296708235e-07,volume_vpt_20
-7.112377418636828e-07,momentum_tsi_20
-7.288124281711882e-07,volume_vwap_20
-7.642945899017976e-07,trend_kst_sig_20
-7.766132933366413e-07,volatility_kcp_10
-7.837117895652948e-07,trend_ichimoku_conv_10
-7.93241808088354e-07,momentum_stoch_rsi_k
-8.550970888135646e-07,momentum_stoch_signal_5
-8.578276437196576e-07,adj close
-8.888992811641443e-07,momentum_ppo_hist_100
-9.055113664807397e-07,basic_eps_qtr
-9.396260802390225e-07,trend_ichimoku_a_5
-9.432520538968093e-07,trend_psar_up_indicator_20
-9.622938833308344e-07,volatility_bbp_5
-9.764522678309491e-07,trend_macd_signal_10
-9.870718560818994e-07,momentum_pvo_10
-1.0098009920566517e-06,trend_aroon_ind
-1.0271496728358295e-06,trend_aroon_up_100
-1.0289714010564492e-06,trend_aroon_up_50
-1.0814378444817928e-06,trend_kst_10
-1.0910130930184316e-06,momentum_pvo_hist_100
-1.0985183812639956e-06,momentum_pvo_20
-1.101075633519385e-06,momentum_uo_5
-1.1310161457080199e-06,trend_visual_ichimoku_a_50
-1.1909821029411734e-06,trend_ema_fast_5
-1.2384440496351844e-06,trend_trix_5
-1.2615976255706333e-06,trend_adx_neg_50
-1.3006977465164423e-06,momentum_stoch_50
-1.3126312866283866e-06,volatility_bbhi_10
-1.3187987605794954e-06,trend_kst_sig_5
-1.3855540370520736e-06,trend_sma_fast_10
-1.387409888594782e-06,others_dr
-1.4016069406406365e-06,trend_vortex_ind_neg_5
-1.4472312549793676e-06,trend_sma_fast_5
-1.4560554755432089e-06,volatility_bbli
-1.4898851443359928e-06,trend_aroon_ind_5
-1.5036666401646594e-06,trend_dpo_50
-1.5193349099930848e-06,trend_vortex_ind_pos_10
-1.6426518823015483e-06,volume_em
-1.646233476458273e-06,close
-1.7298960556246236e-06,volatility_kcli_10
-1.7538275810944633e-06,volatility_kchi_200
-1.7881732363089728e-06,volatility_kch_20
-2.0210128019224616e-06,momentum_pvo_hist_20
-2.0867765450489767e-06,trend_ichimoku_b_100
-2.2018476847095176e-06,volatility_kchi
-2.4170908090704233e-06,others_cr_20
-2.420644303562988e-06,trend_visual_ichimoku_a
-2.5805772085735394e-06,momentum_pvo_hist
-2.6383582836795313e-06,volume_vwap_5
-2.675762832120856e-06,volatility_bbw_200
-2.76421385601985e-06,trend_visual_ichimoku_b_20
-2.828410061648657e-06,trend_mass_index_5
-2.840097807897767e-06,volatility_dcl_10
-2.9382436258832117e-06,volatility_bbh_200
-2.980582868680488e-06,net_profit_loss_from_ordinary_activities_after_tax_qtr
-3.0677918868892623e-06,low
-3.074167913169118e-06,trend_adx_neg
-3.112068073655664e-06,trend_ema_fast_200
-3.2337581402239276e-06,volatility_dcm_20
-3.234707072255653e-06,trend_dpo_5
-3.3052368340070513e-06,volume_mfi_50
-3.3482349300980816e-06,momentum_stoch_rsi_5
-3.3817088350380764e-06,volume_fi_20
-3.4200615224914685e-06,momentum_ppo_200
-3.450803531046243e-06,momentum_ppo_signal_200
-3.5076342852101576e-06,momentum_ppo_20
-3.5472517476348142e-06,volume_sma_em_200
-3.5528722748802306e-06,trend_sma_slow
-3.56750412567606e-06,volume_cmf_200
-3.6024418579895883e-06,momentum_uo_20
-3.621376773894764e-06,trend_kst_50
-3.7820593190208477e-06,volatility_bbh_20
-3.9256138397013e-06,volatility_kcl
-4.007133612491419e-06,tax_yrly
-4.074665433849964e-06,trend_stc_5
-4.363289891293967e-06,volume_obv_5
-4.3959159986604e-06,volatility_bbhi_5
-4.486930165006255e-06,momentum_pvo_hist_50
-4.935460200622045e-06,trend_visual_ichimoku_a_200
-4.952294006471459e-06,volatility_bbw_5
-5.168191450350091e-06,momentum_pvo_50
-5.328600482675416e-06,trend_mass_index_100
-5.420963592202224e-06,volatility_kchi_10
-5.866089273949752e-06,volume_nvi
-5.888804225732933e-06,diluted_eps_qtr
-5.988021445131975e-06,trend_adx_50
-6.501505570886862e-06,momentum_wr_50
-6.6574484483402925e-06,trend_psar_up_indicator
-6.756361843123338e-06,trend_ema_slow_5
-6.916457612823724e-06,trend_macd_signal_100
-6.9645534124760446e-06,volume_em_200
-7.258524596553493e-06,trend_psar_up_indicator_200
-7.6063468355212235e-06,trend_visual_ichimoku_a_10
-8.588263906169373e-06,volume_obv_20
-1.1705894893266627e-05,volume_em_20
