shap_value_TV18BRDCST.BO,feature
1.2995101174843323e-05,momentum_wr_20
1.1845913441566512e-05,momentum_kama_10
1.1586593489080301e-05,trend_kst_diff_50
6.67706596278385e-06,trend_psar_up_indicator
5.9917792641090455e-06,trend_sma_fast_5
5.915715738833384e-06,momentum_wr_50
5.7447508917982586e-06,momentum_stoch_signal_200
5.501616163466854e-06,volatility_bbh_20
5.316203013312121e-06,momentum_stoch_200
5.085532514216263e-06,momentum_rsi_200
4.838079424756021e-06,trend_stc_50
4.796706560543376e-06,momentum_stoch_5
4.659584408600848e-06,profit_loss_from_ordinary_activities_before_tax_qtr
4.635838970227625e-06,others_cr_100
4.430044230774083e-06,volume_vwap
4.380781721235804e-06,volatility_bbl_200
4.286703393604435e-06,volume_sma_em_200
4.280536547695092e-06,momentum_pvo_signal_10
3.953586561240478e-06,trend_aroon_up_100
3.932380106758593e-06,volume_fi_200
3.908155621389761e-06,others_dr
3.837559130894849e-06,expenditure_yrly
3.802100766450422e-06,volume_em_200
3.5281783184242986e-06,trend_ema_slow_100
3.47052352479246e-06,trend_aroon_up
3.1145088350778232e-06,trend_adx_50
3.100106634782653e-06,momentum_roc_200
2.734285492219801e-06,trend_psar_down_indicator_50
2.687789106283574e-06,adj close
2.6856792373643228e-06,trend_ema_slow_50
2.6679627387846276e-06,volume_mfi_200
2.6221762384376777e-06,trend_kst_5
2.6168869675087015e-06,others_cr_20
2.554634726603276e-06,trend_psar_up_indicator_50
2.5408278473332577e-06,trend_sma_fast_100
2.529543211451506e-06,momentum_kama_20
2.525535833001922e-06,trend_sma_fast
2.425342150029659e-06,volume_fi
2.403459836714653e-06,momentum_stoch_rsi_k_200
2.3899859552139596e-06,trend_macd_100
2.290526010744858e-06,volume_vwap_20
2.276223879865495e-06,momentum_kama_200
2.2599038552360256e-06,momentum_ppo_20
2.2495452202711775e-06,trend_kst_sig_50
2.2417813368200506e-06,volatility_dcm_10
2.167409845585302e-06,volatility_bbw_200
2.1461020379242525e-06,trend_adx_5
2.050106744982712e-06,momentum_stoch_signal_20
2.028123626255467e-06,volume_sma_em_20
2.022510999819173e-06,momentum_stoch_rsi_d
1.989554040875806e-06,volatility_bbhi
1.972610283731367e-06,volatility_kcl_10
1.95339700742646e-06,trend_dpo_50
1.9432822357108433e-06,volatility_dcm_20
1.943058208213318e-06,others_dr_200
1.9281558243151707e-06,volume_vpt_200
1.9185315062546275e-06,momentum_pvo_200
1.91013114070347e-06,basic_eps_qtr
1.8821390103307776e-06,others_dlr
1.8647990455522512e-06,volatility_kcc_200
1.8234398243284697e-06,momentum_stoch_rsi_d_200
1.7864055626089197e-06,momentum_stoch_rsi
1.750092945103076e-06,trend_macd_signal_10
1.7480543392241142e-06,close
1.7451665301335241e-06,trend_adx_pos_5
1.723400494735433e-06,momentum_pvo_50
1.583183784019242e-06,momentum_stoch_rsi_200
1.550408043467802e-06,others_cr_10
1.5408230011968852e-06,trend_psar_down_indicator
1.489045193487379e-06,volatility_bbhi_10
1.4582065655812063e-06,momentum_stoch_signal_5
1.4096448528316746e-06,others_dr_10
1.3943438548440071e-06,trend_sma_slow_10
1.3839194105088067e-06,net_profit_loss_from_ordinary_activities_after_tax_qtr
1.3672856900465461e-06,volatility_bbp_50
1.3544607520338687e-06,momentum_ao_200
1.34173136538898e-06,trend_ichimoku_a_50
1.3415674133687944e-06,trend_vortex_ind_pos_50
1.3386881100977887e-06,volume_cmf_200
1.3318707638113653e-06,volatility_dcp_200
1.3203088569818188e-06,trend_mass_index_50
1.2819380210616718e-06,trend_vortex_ind_diff_100
1.2794441069235186e-06,momentum_pvo_10
1.2541533057605076e-06,momentum_wr
1.2435526816439219e-06,trend_ichimoku_b_10
1.2328957060713633e-06,trend_aroon_down_100
1.2224036948655995e-06,volatility_bbp_10
1.2147610242808516e-06,volatility_dch_10
1.1989128068429957e-06,volatility_dcp_10
1.1819975183818892e-06,momentum_uo_20
1.1810213032974696e-06,others_cr
1.146249868437905e-06,trend_aroon_down_20
1.1301202719559467e-06,volatility_kcp_10
1.1229724091235299e-06,momentum_ppo_hist_200
1.1200474705312871e-06,volatility_kcw_200
1.09422441346506e-06,high
1.081680125619779e-06,volatility_dcl_100
1.0702343179384877e-06,trend_cci_50
1.0697549921965135e-06,volatility_kcc_100
1.0516657529799973e-06,momentum_rsi_50
1.0478003017870258e-06,volatility_bbhi_100
1.0427973129130253e-06,trend_adx_pos
1.0250515896086268e-06,momentum_ao_20
1.0229936105236066e-06,trend_sma_slow_5
1.0118343784682618e-06,volume_nvi
1.0025131131339851e-06,trend_macd_diff_100
9.443227204014769e-07,trend_ichimoku_conv_100
9.231797197293839e-07,volume_nvi_20
8.762992805258765e-07,volatility_dcl_10
8.59281092015965e-07,trend_ichimoku_a_10
8.350527338380366e-07,trend_stc_5
