shap_value_PGHL.BO,feature
5.48619004849684e-07,volume_vwap_5
5.315271178345295e-07,volume_vpt_5
5.189029003840621e-07,volume
4.84828104301924e-07,volatility_kch_10
4.78348801956984e-07,trend_vortex_ind_neg_10
4.7273325400851154e-07,momentum_rsi_50
4.641627524451346e-07,trend_adx_pos
4.44672767360018e-07,volatility_bbm_200
4.4053114660515656e-07,volatility_dcp_10
4.379457350330059e-07,momentum_roc_20
4.220005037722869e-07,volume_vpt
4.150040639952692e-07,trend_dpo_20
3.945723424463254e-07,trend_adx_neg_5
3.903689687291217e-07,others_cr_10
3.705452421581036e-07,volatility_bbli_100
3.382838124999607e-07,volume_nvi
3.2935672773071877e-07,volatility_dcl_200
3.277907091325672e-07,volume_mfi_20
3.1197942077098276e-07,momentum_wr
3.099927506399097e-07,trend_adx_neg
3.0997740614114643e-07,momentum_wr_20
2.891344427768253e-07,trend_mass_index_50
2.83376237968982e-07,volume_obv_5
2.413051991733702e-07,momentum_stoch_rsi_d_200
2.4111987099212205e-07,trend_macd_diff_20
2.3425510631753726e-07,volatility_kcw_10
2.3108252934815666e-07,trend_visual_ichimoku_a_200
2.1835438994862121e-07,volatility_kcl_20
2.1584936583773567e-07,momentum_pvo_200
2.0069325190706812e-07,volatility_dcw_100
1.9482030296581344e-07,trend_ichimoku_b_5
1.901225938342359e-07,trend_aroon_up
1.8832491230765863e-07,volatility_bbl
1.6049962849940873e-07,momentum_wr_50
1.192894333681397e-07,volume_em
1.05924014309459e-07,trend_vortex_ind_diff_5
1.027756738950014e-07,volume_sma_em_50
8.355278600145353e-08,trend_macd_signal_5
8.32355316629187e-08,momentum_pvo_signal_100
6.22359664492781e-08,volume_vwap_20
6.114709454179843e-08,trend_cci
5.592657895237871e-08,volatility_bbp_20
4.894992511509581e-08,trend_trix_50
4.802682487598405e-08,trend_ichimoku_a_100
4.346887428697367e-08,volume_vwap_50
3.69975554627557e-08,others_dlr_200
2.1568250589570846e-08,trend_stc_50
2.1043143373947945e-08,momentum_uo_5
1.0817318897974113e-08,trend_aroon_ind_5
0.0,trend_cci_50
0.0,trend_sma_fast
0.0,trend_visual_ichimoku_b_50
0.0,trend_ema_fast
0.0,trend_ichimoku_a_50
0.0,trend_ichimoku_base_50
0.0,trend_ichimoku_a_200
0.0,trend_aroon_up_50
0.0,trend_aroon_down_50
0.0,volatility_dcm_200
0.0,trend_aroon_ind_50
0.0,trend_ichimoku_base_200
0.0,momentum_kama_50
0.0,momentum_pvo_hist_50
0.0,momentum_pvo_signal_50
0.0,momentum_ppo_hist_50
0.0,momentum_ppo_signal_50
0.0,momentum_ppo_50
0.0,momentum_roc_50
0.0,momentum_ao_50
0.0,momentum_stoch_signal_50
0.0,momentum_stoch_50
0.0,momentum_uo_50
0.0,momentum_tsi_50
0.0,momentum_stoch_rsi_d_50
0.0,momentum_stoch_rsi_k_50
0.0,momentum_stoch_rsi_50
0.0,trend_ichimoku_conv_200
0.0,trend_macd_diff
0.0,trend_kst_diff_200
0.0,trend_macd_diff_50
0.0,other_income_qtr
0.0,volume_obv_50
0.0,volatility_bbp_50
0.0,volatility_bbl_50
0.0,volatility_bbh_50
0.0,volatility_bbm_50
0.0,volume_nvi_50
0.0,volume_vpt_50
0.0,volume_em_50
0.0,volume_fi_50
0.0,trend_stc_200
0.0,trend_vortex_ind_pos
0.0,trend_ichimoku_b_200
0.0,trend_adx_200
0.0,trend_adx_pos_200
0.0,others_dr_20
0.0,momentum_kama_20
0.0,momentum_pvo_hist_20
0.0,profit_after_interest_but_before_exceptional_items_qtr
0.0,trend_vortex_ind_neg
0.0,net_profit_loss_from_ordinary_activities_after_tax_yrly
0.0,trend_vortex_ind_diff
0.0,volatility_bbhi_50
0.0,momentum_kama
0.0,tax_qtr
0.0,volatility_atr_50
0.0,trend_ema_slow
0.0,depreciation_and_amortisation_expense_qtr
0.0,other_expenses_qtr
0.0,trend_sma_slow_50
0.0,trend_sma_fast_50
0.0,others_dlr_50
0.0,trend_macd_signal_50
0.0,trend_macd_50
0.0,volatility_ui_50
0.0,volatility_dcp_50
0.0,volatility_kch_50
0.0,volatility_dcw_50
0.0,volatility_dcm_50
0.0,volatility_dch_50
0.0,basic_eps_qtr
0.0,volatility_kcli_50
0.0,volatility_kchi_50
0.0,volatility_kcp_50
0.0,volatility_kcw_50
0.0,volatility_kcl_50
0.0,others_dr_50
0.0,volatility_bbm_100
0.0,others_cr_50
0.0,momentum_uo_100
0.0,momentum_pvo_100
0.0,momentum_ppo_hist_100
0.0,momentum_ppo_signal_100
0.0,momentum_ppo_100
0.0,momentum_roc_100
0.0,momentum_ao_100
0.0,momentum_wr_100
0.0,momentum_stoch_signal_100
0.0,momentum_stoch_100
0.0,momentum_tsi_100
0.0,trend_ema_slow_200
0.0,momentum_stoch_rsi_d_100
0.0,momentum_stoch_rsi_k_100
0.0,momentum_stoch_rsi_100
0.0,momentum_rsi_100
0.0,trend_psar_down_indicator_100
0.0,trend_psar_up_indicator_100
0.0,trend_aroon_ind_100
0.0,trend_aroon_down_100
0.0,trend_aroon_up_100
0.0,volatility_kchi
0.0,volume_sma_em
0.0,trend_cci_100
0.0,volatility_bbp
0.0,volatility_kcli_200
0.0,trend_visual_ichimoku_b_200
0.0,volatility_kcl_200
0.0,volatility_kch_200
0.0,volatility_kcc_200
0.0,volatility_dcw_200
0.0,volatility_bbli_200
0.0,volatility_dcp_200
0.0,volatility_bbw
0.0,volatility_bbhi
0.0,momentum_stoch_signal_200
0.0,volatility_bbh
0.0,trend_macd_200
0.0,trend_macd_signal_200
0.0,volatility_kcc
0.0,trend_macd_diff_200
0.0,trend_sma_fast_200
0.0,volatility_kcw
0.0,volatility_kcp
0.0,trend_ema_fast_200
0.0,trend_visual_ichimoku_b_100
0.0,trend_adx_neg_100
0.0,volume_adi_100
0.0,volatility_bbh_100
0.0,trend_kst_200
0.0,momentum_kama_200
0.0,others_dr_200
0.0,trend_kst_sig_200
0.0,volatility_ui
0.0,trend_macd
0.0,trend_macd_signal
0.0,volatility_bbp_100
0.0,volatility_bbl_100
0.0,volatility_dch_200
0.0,trend_mass_index_200
0.0,volume_nvi_100
0.0,volume_mfi_100
0.0,volume_vwap_100
0.0,volume_vpt_100
0.0,volume_sma_em_100
0.0,volume_em_100
0.0,volume_fi_100
0.0,volume_cmf_100
0.0,volume_obv_100
0.0,trend_dpo_200
0.0,volatility_atr
0.0,trend_adx_pos_100
0.0,trend_vortex_ind_diff_100
0.0,trend_adx_100
0.0,trend_stc_100
0.0,trend_ichimoku_base_100
0.0,trend_ichimoku_conv_100
0.0,trend_kst_diff_100
0.0,trend_kst_sig_100
0.0,trend_dpo_100
0.0,volatility_kcli
0.0,volatility_dcl
0.0,trend_vortex_ind_pos_100
0.0,volatility_dcp
0.0,trend_ema_slow_100
0.0,trend_vortex_ind_pos_200
0.0,trend_ema_fast_100
0.0,volatility_dcm
0.0,trend_vortex_ind_neg_200
0.0,trend_macd_100
0.0,trend_vortex_ind_diff_200
0.0,volatility_dcp_100
0.0,trend_trix_200
0.0,volatility_kcc_50
0.0,trend_trix
0.0,momentum_stoch_signal_20
0.0,volume_obv_10
0.0,volatility_bbh_10
0.0,volatility_bbm_10
0.0,volume_nvi_10
0.0,volume_mfi_10
0.0,volume_vwap_10
0.0,volume_vpt_10
0.0,volume_sma_em_10
0.0,volume_em_10
0.0,volume_fi_10
0.0,volume_cmf_10
0.0,volume_adi_10
0.0,trend_adx_pos_10
0.0,others_cr_5
0.0,others_dlr_5
0.0,others_dr_5
0.0,momentum_kama_5
0.0,momentum_pvo_hist_5
0.0,momentum_pvo_signal_5
0.0,momentum_pvo_5
0.0,momentum_ppo_hist_5
0.0,momentum_ppo_signal_5
0.0,momentum_ppo_5
0.0,volatility_bbw_10
0.0,^nsei_percent_change
0.0,momentum_uo
0.0,usdx-index_percent_change
0.0,trend_stc_10
0.0,trend_ichimoku_b_10
0.0,ticker_polarity
0.0,trend_ichimoku_base_10
0.0,trend_ichimoku_conv_10
0.0,trend_kst_diff_10
0.0,trend_kst_sig_10
0.0,trend_kst_10
0.0,trend_dpo_10
0.0,trend_mass_index_10
0.0,ticker_compound
0.0,inr=x_percent_change
0.0,trend_vortex_ind_pos_10
0.0,trend_ema_fast_10
0.0,trend_sma_slow_10
0.0,trend_macd_diff_10
0.0,volatility_ui_10
0.0,volatility_dcw_10
0.0,volatility_dcm_10
0.0,cl=f_percent_change
0.0,treasury_yeild_10_years_percent_change
0.0,momentum_roc_5
0.0,momentum_ao_5
0.0,momentum_wr_5
0.0,volatility_dcl_5
0.0,volatility_kchi_5
0.0,volatility_kcp_5
0.0,volatility_kcw_5
0.0,volatility_kcl_5
0.0,volatility_kch_5
0.0,volatility_kcc_5
0.0,volatility_bbli_5
0.0,volatility_bbhi_5
0.0,volatility_bbp_5
0.0,volatility_bbw_5
0.0,volatility_bbl_5
0.0,volatility_bbh_5
0.0,volatility_bbm_5
0.0,volume_nvi_5
0.0,volume_mfi_5
0.0,volume_sma_em_5
0.0,volume_em_5
0.0,volume_fi_5
0.0,volume_cmf_5
0.0,momentum_pvo_signal
0.0,others_cr
0.0,volatility_kcli_5
0.0,volatility_dch_5
0.0,^bsesn_percent_change
0.0,volatility_dcm_5
0.0,momentum_tsi_5
0.0,momentum_stoch_rsi_d_5
0.0,momentum_stoch_rsi_k_5
0.0,momentum_rsi_5
0.0,trend_psar_down_indicator_5
0.0,trend_aroon_up_5
0.0,trend_visual_ichimoku_b_5
0.0,trend_visual_ichimoku_a_5
0.0,trend_cci_5
0.0,^gspc_percent_change
0.0,trend_ichimoku_base_5
0.0,trend_ichimoku_conv_5
0.0,momentum_ppo_signal
0.0,sha_percent_change
0.0,momentum_ppo_hist
0.0,momentum_pvo
0.0,trend_macd_5
0.0,volatility_ui_5
0.0,volatility_atr_5
0.0,volatility_dcp_5
0.0,volatility_dcw_5
0.0,trend_adx_10
0.0,trend_ema_slow_10
0.0,trend_adx_neg_10
0.0,tax_yrly
0.0,trend_vortex_ind_diff_20
0.0,trend_vortex_ind_neg_20
0.0,trend_vortex_ind_pos_20
0.0,trend_ema_slow_20
0.0,trend_ema_fast_20
0.0,trend_sma_fast_20
0.0,trend_macd_signal_20
0.0,trend_macd_20
0.0,volatility_ui_20
0.0,volatility_dcp_20
0.0,volatility_dcw_20
0.0,volatility_dcm_20
0.0,volatility_dch_20
0.0,volatility_dcl_20
0.0,trend_cci_10
0.0,volatility_kchi_20
0.0,volatility_kcp_20
0.0,trend_ichimoku_a
0.0,trend_ichimoku_b
0.0,volatility_kcc_20
0.0,volatility_bbli_20
0.0,volatility_bbhi_20
0.0,volatility_bbw_20
0.0,trend_trix_20
0.0,trend_mass_index_20
0.0,trend_kst_20
0.0,trend_ichimoku_conv
0.0,momentum_stoch_20
0.0,profit_loss_from_ordinary_activities_before_tax_yrly
0.0,trend_cci_200
0.0,trend_mass_index
0.0,trend_dpo
0.0,other_income_yrly
0.0,basic_eps_yrly
0.0,trend_kst
0.0,trend_kst_sig
0.0,trend_kst_diff
0.0,trend_ichimoku_base
0.0,trend_kst_sig_20
0.0,trend_cci_20
0.0,trend_adx_neg_20
0.0,trend_adx_pos_20
0.0,trend_adx_20
0.0,trend_stc_20
0.0,trend_ichimoku_b_20
0.0,trend_ichimoku_a_20
0.0,trend_ichimoku_base_20
0.0,trend_ichimoku_conv_20
0.0,trend_kst_diff_20
0.0,other_expenses_yrly
0.0,volatility_kcli_20
0.0,trend_adx_neg_200
0.0,momentum_ppo_10
0.0,agg_compound
0.0,momentum_ppo_hist_10
0.0,trend_psar_down_indicator_10
0.0,momentum_rsi_10
0.0,topic_polarity
0.0,diluted_eps_yrly
0.0,momentum_stoch_rsi_10
0.0,momentum_roc_10
0.0,trend_aroon_ind_10
0.0,momentum_ao_10
0.0,momentum_wr_10
0.0,momentum_stoch_signal_10
0.0,momentum_stoch_10
0.0,momentum_uo_10
0.0,momentum_stoch_rsi_k_10
0.0,momentum_tsi_10
0.0,trend_psar_up_indicator_10
0.0,momentum_stoch_rsi_d_10
0.0,net_profit_yrly
0.0,profit_after_interest_but_before_exceptional_items_yrly
0.0,agg_polarity
0.0,trend_visual_ichimoku_a_10
0.0,volume_vpt_20
0.0,trend_stc
0.0,topic_compound
0.0,trend_aroon_down_10
0.0,depreciation_and_amortisation_expense_yrly
0.0,trend_aroon_up_10
0.0,trend_adx
-5.666834804413556e-09,trend_macd_diff_100
-1.559633068303026e-08,trend_psar_down_indicator_50
-2.5775628856909192e-08,momentum_stoch_rsi_5
-4.412170145987266e-08,trend_sma_slow_20
-6.855012149165271e-08,trend_ichimoku_conv_50
-7.009278217482597e-08,volatility_dch
-7.810658757750366e-08,volatility_bbw_50
-1.0902200058965078e-07,momentum_ao_20
-1.2410537562304276e-07,volatility_kcl_10
-1.303698245646966e-07,expenditure_yrly
-1.363152516614595e-07,trend_adx_neg_50
-1.4769635859463505e-07,trend_aroon_down_5
-1.5695482789518598e-07,volatility_atr_10
-1.5987709885668235e-07,trend_visual_ichimoku_a_20
-1.638738134582374e-07,volatility_bbw_100
-1.6655326073827388e-07,momentum_stoch_rsi_200
-1.830170762927422e-07,trend_sma_fast_5
-1.840602385530973e-07,net_profit_loss_from_ordinary_activities_after_tax_qtr
-1.9619040983203968e-07,volatility_kcp_10
-1.9748842428361925e-07,volatility_atr_200
-2.0088310577986207e-07,trend_kst_100
-2.120265839803421e-07,momentum_pvo_50
-2.129904179600411e-07,volatility_bbl_10
-2.2644066414730547e-07,trend_macd_diff_5
-2.324992537910277e-07,trend_sma_slow_5
-2.3447104317886184e-07,trend_ichimoku_a_5
-2.6495555682548515e-07,volatility_kcl
-2.8057395060620243e-07,volatility_dch_10
-2.9624749419331143e-07,trend_sma_slow_200
-3.0373670733028235e-07,trend_sma_slow
-3.275508149438433e-07,trend_trix_5
-3.3163265154875145e-07,trend_visual_ichimoku_a_100
-3.5519553473885536e-07,volume_obv_200
-3.554320587257896e-07,volatility_atr_20
-3.8698526137594924e-07,volatility_bbhi_10
-4.0038108962302754e-07,trend_mass_index_5
-4.095917809050831e-07,trend_visual_ichimoku_a_50
-4.623727600584812e-07,hsi_percent_change
-4.799337172708793e-07,volume_mfi
-5.3015338483723e-07,momentum_pvo_signal_20
-5.382771803629154e-07,trend_macd_signal_100
-6.02408625256406e-07,volume_mfi_50
-6.363206768650013e-07,others_dr
-6.364243405648024e-07,momentum_stoch_signal
-6.423437441854739e-07,trend_ichimoku_b_100
-6.657869756090701e-07,volatility_ui_100
-6.700729478524577e-07,others_dlr
-6.788500622776137e-07,trend_psar_down_indicator_200
-6.849608010332637e-07,others_cr_200
-7.086331604313183e-07,expenditure_qtr
-7.102234235383152e-07,volatility_kcc_100
-7.175343058040019e-07,momentum_pvo_hist
-7.770987151955403e-07,volatility_dcl_100
-7.878536542998859e-07,trend_visual_ichimoku_b_10
-8.049314416770856e-07,trend_sma_slow_100
-8.060995719684251e-07,trend_dpo_50
-8.600104122258241e-07,volume_vwap
-9.008027753995658e-07,volume_em_20
-9.272692352249121e-07,momentum_ppo_signal_10
-9.459987695839408e-07,volatility_bbm
-9.527783480957314e-07,volatility_bbhi_200
-9.762258830792415e-07,volume_adi
-9.788462452077528e-07,momentum_pvo_20
-1.0175582902701988e-06,volume_nvi_200
-1.0506233382615059e-06,momentum_rsi_20
-1.0584758587306873e-06,volume_obv_20
-1.1478126891784e-06,volatility_kchi_100
-1.162037530021177e-06,trend_dpo_5
-1.2036773967219846e-06,volatility_kch
-1.2302962026117747e-06,trend_aroon_down_200
-1.2328983571932804e-06,momentum_stoch
-1.2632552536425872e-06,trend_ichimoku_a_10
-1.2863700106689707e-06,volatility_kcp_200
-1.2980224749869032e-06,momentum_uo_20
-1.298398363709752e-06,trend_adx_pos_5
-1.299663317808564e-06,volume_nvi_20
-1.3561468616257027e-06,others_cr_20
-1.366080127175613e-06,others_dlr_10
-1.4845786854130116e-06,trend_ema_fast_5
-1.5292140921059096e-06,momentum_ao_200
-1.5421250323966786e-06,diluted_eps_qtr
-1.5747056609715147e-06,adj close
-1.6264525961224613e-06,momentum_stoch_signal_5
-1.7166198135316396e-06,momentum_pvo_signal_10
-1.790142802274019e-06,momentum_ao
-1.8864091336898614e-06,volatility_kcp_100
-2.0891679396132155e-06,volume_cmf_20
-2.1165906830202313e-06,trend_trix_10
-2.1339584345056846e-06,volatility_kcw_200
-2.1372072357396374e-06,momentum_uo_200
-2.1484183286843383e-06,volatility_bbp_200
-2.230821676292008e-06,trend_kst_sig_50
-2.304651819238332e-06,momentum_tsi
-2.3281608292908153e-06,momentum_kama_100
-2.468229675001579e-06,volatility_bbh_20
-2.5210599848819764e-06,volatility_bbm_20
-2.5936232256000147e-06,momentum_stoch_rsi_20
-2.718037229840495e-06,momentum_tsi_200
-2.7848862485462087e-06,volatility_bbl_20
-2.850188033904091e-06,volatility_kcw_100
-3.1053565416235528e-06,yesterday_close
-3.191234781294018e-06,volatility_kcli_100
-3.2659438148123527e-06,trend_ema_fast_50
-3.394236774451692e-06,momentum_stoch_rsi_d
-3.4785931594551962e-06,trend_ema_slow_50
-3.5472015446585188e-06,others_dr_100
-4.258608102348466e-06,volatility_dcl_50
-4.301951100744982e-06,trend_vortex_ind_neg_50
-4.32524078764664e-06,volume_vpt_200
-5.2663295223408546e-06,trend_aroon_down
-5.337601906078671e-06,trend_kst_diff_50
-8.003574550739451e-06,trend_vortex_ind_diff_50
-8.53521958368688e-06,high
-1.0540020643323982e-05,momentum_ppo_signal_20
-1.0998445686924626e-05,volume_adi_200
-1.1392160842115023e-05,volatility_dcl_10
-1.2123234426437052e-05,momentum_pvo_hist_200
-1.3955729700240025e-05,trend_aroon_ind_200
-2.0360721319583607e-05,momentum_ppo_signal_200
