shap_value_PGHL.BO,feature
1.1470723975731492e-05,volume_vwap_200
1.1257927475347534e-05,trend_macd_signal_10
1.0844773586851114e-05,volatility_kchi_200
7.561169589041363e-06,momentum_ppo_20
6.291347791609856e-06,trend_visual_ichimoku_a
5.829711787692478e-06,momentum_rsi
5.113192243377459e-06,momentum_rsi_200
4.99531120580504e-06,trend_vortex_ind_neg_100
4.974721372199066e-06,trend_adx_pos_50
3.973067541141722e-06,low
3.9091384079408855e-06,volume_cmf_200
3.6951360472942372e-06,volatility_bbw_200
3.565346170908084e-06,volatility_bbl_200
3.5051903977401655e-06,others_cr_100
3.484258337048672e-06,trend_vortex_ind_pos_50
3.483488024984541e-06,momentum_stoch_rsi_k_200
3.1236272457467456e-06,open
3.0588585163248803e-06,trend_vortex_ind_neg_5
2.770387990082927e-06,volatility_kch_100
2.7330170626634947e-06,volume_sma_em_200
2.581618411243167e-06,trend_mass_index_100
2.567353308745903e-06,volatility_dcm_100
2.520982164359553e-06,volatility_kcl_100
2.462025117001123e-06,trend_adx_50
2.4300009660981723e-06,momentum_stoch_rsi_k_20
2.3673955967710716e-06,momentum_ppo_200
2.308902039504444e-06,net_profit_qtr
2.2819618215432914e-06,trend_psar_down_indicator_20
2.135656935737386e-06,trend_sma_fast_10
2.094903021463057e-06,volume_fi_200
1.9850471865479963e-06,momentum_stoch_rsi_k
1.9482070021397655e-06,momentum_stoch_5
1.9227676834077394e-06,trend_vortex_ind_diff_10
1.8826047869072201e-06,volume_adi_5
1.8446332642422877e-06,volume_fi_20
1.8343202788109068e-06,momentum_wr_200
1.8196064258522556e-06,volatility_bbli_10
1.8175801874684054e-06,volatility_kcc_10
1.7678917018492722e-06,momentum_stoch_rsi_d_20
1.7224509733677668e-06,momentum_stoch_200
1.7015916084852296e-06,momentum_pvo_hist_10
1.6773238026436148e-06,trend_kst_sig_5
1.6271423721423191e-06,momentum_roc_200
1.6258598736237299e-06,momentum_tsi_20
1.6202579439038993e-06,trend_psar_up_indicator_200
1.6194438871619522e-06,volatility_bbp_10
1.6099042900954783e-06,volatility_kcli_10
1.5614462110527585e-06,volume_mfi_200
1.5495595454708712e-06,volatility_dcw
1.4868533037934905e-06,trend_adx_5
1.4792680736508733e-06,momentum_pvo_hist_100
1.4287703526391378e-06,volume_obv
1.4264121280521922e-06,volatility_dch_100
1.4144716693388655e-06,volume_adi_20
1.4062623580256996e-06,volatility_kchi_10
1.401095901104158e-06,volatility_kcw_20
1.3996863536499763e-06,trend_aroon_down_20
1.3939678555961669e-06,trend_trix_100
1.3737530652735804e-06,volume_adi_50
1.3686424079811478e-06,volume_fi
1.3321487022120424e-06,profit_loss_from_ordinary_activities_before_tax_qtr
1.2762765501325103e-06,volatility_kch_20
1.262120768956399e-06,volatility_bbhi_100
1.1985616252070499e-06,momentum_kama_10
1.191841534793152e-06,trend_kst_diff_5
1.1783540049679967e-06,trend_ichimoku_b_50
1.1301804966807286e-06,trend_psar_up_indicator_20
1.1201726706975224e-06,volatility_bbh_200
1.0600573333526994e-06,trend_visual_ichimoku_b
1.0545750077168972e-06,trend_psar_up_indicator
1.0354624788426958e-06,trend_kst_5
1.031975930361961e-06,momentum_pvo_10
1.0296842198706712e-06,close
1.022853201645211e-06,momentum_ppo
1.0201021589438596e-06,volume_cmf
1.0165357464699131e-06,trend_psar_up_indicator_50
1.0009078689990575e-06,momentum_ppo_hist_200
9.98399434980402e-07,trend_sma_fast_100
9.858378286214822e-07,trend_visual_ichimoku_b_20
9.182347663990493e-07,volatility_ui_200
9.005430024616676e-07,trend_aroon_up_200
8.960883000157413e-07,momentum_ppo_hist_20
8.92923097293505e-07,volume_sma_em_20
8.922828805859993e-07,trend_ema_slow_5
8.909491530596595e-07,trend_aroon_up_20
8.886885841655185e-07,trend_psar_up_indicator_5
8.261237275928059e-07,trend_stc_5
8.241521266672506e-07,trend_kst_50
8.124782785199317e-07,trend_macd_10
8.07593443938742e-07,trend_aroon_ind_20
7.501515312005151e-07,trend_psar_down_indicator
7.334373141436909e-07,momentum_stoch_rsi
7.243342201267708e-07,momentum_roc
7.018260126312443e-07,others_dlr_100
6.984049888319627e-07,trend_aroon_ind
6.874967445745879e-07,^sti_percent_change
6.322761140449953e-07,others_dr_10
6.265359847972306e-07,momentum_pvo_signal_200
6.211526243143402e-07,volume_em_200
5.992607849191762e-07,volatility_bbli
5.615228212595217e-07,volatility_bbli_50
5.602147531741581e-07,volatility_atr_100
5.599893805993931e-07,others_dlr_20
5.575291379593669e-07,volume_cmf_50
5.50914777863991e-07,trend_vortex_ind_pos_5
