shap_value_IPCALAB.BO,feature
8.039394261173936e-06,trend_visual_ichimoku_a_100
7.439940693317031e-06,momentum_rsi_20
6.6093110742103485e-06,momentum_rsi_200
5.8650072107244066e-06,trend_stc_5
5.681992159784815e-06,momentum_rsi
5.210936007069026e-06,volatility_kcw_20
5.077595331160116e-06,trend_aroon_ind_200
4.584687205485394e-06,net_profit_loss_from_ordinary_activities_after_tax_qtr
4.335734969326923e-06,momentum_wr_50
4.294882987804301e-06,volatility_dcm_20
3.7899657415147087e-06,volatility_dch_100
3.6393299292600625e-06,trend_psar_down_indicator_50
3.574412492195009e-06,volatility_kch_100
3.409870388487713e-06,volatility_kch_20
3.394262748826799e-06,trend_psar_up_indicator_50
3.359387983769839e-06,trend_kst_diff_5
3.3576599238906895e-06,trend_vortex_ind_neg_10
2.896434788843536e-06,volume_cmf_200
2.7907812821634224e-06,momentum_pvo_20
2.6879805642706983e-06,volume_vpt_5
2.5281618974977504e-06,volatility_dcw
2.467867219615891e-06,trend_adx_5
2.3201784207412363e-06,volatility_kcli_10
2.2108938724320504e-06,net_profit_qtr
2.2098261982141727e-06,volume_sma_em_200
2.1997923817993288e-06,trend_aroon_up
2.111708675465191e-06,trend_ichimoku_b_10
2.0651297653242737e-06,volatility_bbhi_200
2.0372007451532518e-06,open
1.9847675542091717e-06,volatility_kcl
1.958746282444473e-06,momentum_stoch_rsi_k_200
1.905017991989783e-06,trend_ema_slow_5
1.8893362774616847e-06,momentum_stoch_rsi
1.8677306749753167e-06,volatility_kchi_10
1.822248365682735e-06,volatility_bbl
1.8170526249080138e-06,volatility_bbw_200
1.8098678969042448e-06,trend_mass_index_100
1.772069409198319e-06,trend_cci
1.7702077656828129e-06,volatility_bbm_20
1.750842513978373e-06,volatility_kch_200
1.7209913890239743e-06,volatility_bbw_20
1.70893742508453e-06,expenditure_yrly
1.6982778479842153e-06,volume_adi_20
1.6489237357419083e-06,yesterday_close
1.6489122529634983e-06,volume_mfi_200
1.5372361193566675e-06,volume
1.484860148164919e-06,volatility_bbl_200
1.46844601418419e-06,momentum_wr_20
1.4359728130226762e-06,volatility_atr_10
1.425947151324208e-06,trend_cci_50
1.411468773975537e-06,trend_kst_50
1.3566710055624443e-06,topic_compound
1.3485645208255536e-06,trend_psar_down_indicator_5
1.3472004390343468e-06,volatility_kch_10
1.2958345902759327e-06,volume_obv_5
1.2901889546545484e-06,volatility_bbp_10
1.274483534617045e-06,volume_mfi_20
1.2705432585220477e-06,volume_sma_em_5
1.2676260940502428e-06,momentum_stoch_signal
1.261602444406031e-06,others_dr
1.2365224003782005e-06,momentum_pvo_200
1.2307483438104873e-06,volatility_bbli
1.2169642307292693e-06,volume_obv_200
1.1918108256999471e-06,momentum_pvo_signal_100
1.186770710210878e-06,trend_psar_up_indicator_20
1.1744404536407277e-06,volatility_dcp_10
1.1559673489621275e-06,trend_vortex_ind_diff_10
1.1509276939517712e-06,trend_ichimoku_a_50
1.1324587022723902e-06,volatility_kcc_10
1.1007253596963467e-06,trend_psar_up_indicator_200
1.097703868861692e-06,momentum_stoch_signal_5
1.071088068061305e-06,volume_mfi_50
1.0685552185595902e-06,volume_fi
1.0428025154475327e-06,volume_vpt_50
1.0313954923957627e-06,trend_ema_slow_200
9.859504085425255e-07,trend_ichimoku_conv_5
9.750278309427976e-07,volume_vwap_20
9.673069999941972e-07,momentum_stoch_rsi_20
9.660925609741297e-07,volatility_kcl_100
9.463745956336839e-07,volatility_kcp_10
9.37043359503182e-07,volume_fi_200
9.354616104409077e-07,trend_adx_50
9.351221188084951e-07,^sti_percent_change
9.281202122205291e-07,momentum_stoch_rsi_d_20
9.233335262993634e-07,trend_adx_neg_50
