id,date,polarity,subjectivity,compound
2837,2018-01-15,0.03,0.5,0.94
13989,2018-02-15,0.12,0.37,0.96
13988,2018-02-15,0.23,0.46,0.99
13987,2018-02-15,0.18,0.43,0.87
22898,2018-03-14,0.23,0.51,0.97
22900,2018-03-14,0.13,0.41,0.98
22908,2018-03-14,0.1,0.31,-0.82
22909,2018-03-14,0.06,0.21,0.97
22910,2018-03-14,-0.04,0.39,0.81
22914,2018-03-14,0.14,0.45,0.96
22915,2018-03-14,0.1,0.33,0.92
22913,2018-03-14,0.16,0.38,0.97
22911,2018-03-14,-0.01,0.27,0.87
22904,2018-03-14,-0.01,0.32,0.94
22919,2018-03-14,0.25,0.5,-0.2
22912,2018-03-14,-0.02,0.32,0.98
22906,2018-03-14,0.13,0.52,0.94
22905,2018-03-14,-0.01,0.32,0.94
22916,2018-03-14,-0.03,0.21,0.32
22907,2018-03-14,0.01,0.36,0.62
22925,2018-03-14,0.09,0.42,0.98
22917,2018-03-14,0.07,0.23,0.25
22918,2018-03-14,0.01,0.28,-0.6
22921,2018-03-14,-0.13,0.38,-0.86
22929,2018-03-14,0.1,0.26,0.92
22930,2018-03-14,0.11,0.32,0.77
22923,2018-03-14,0.11,0.41,0.96
22932,2018-03-14,0.12,0.32,0.98
22931,2018-03-14,0.06,0.41,0.91
22934,2018-03-14,0.08,0.43,0.82
22922,2018-03-14,0.11,0.46,0.99
22924,2018-03-14,0.11,0.41,0.95
22937,2018-03-14,0.04,0.37,0.96
22920,2018-03-14,0.23,0.31,0.98
22926,2018-03-14,0.02,0.24,0.9
22927,2018-03-14,0.18,0.48,0.88
22928,2018-03-14,0.09,0.35,0.99
22935,2018-03-14,0.19,0.3,0.96
22941,2018-03-15,0.1,0.38,-0.8
22939,2018-03-14,-0.04,0.37,0.99
22945,2018-03-15,0.16,0.38,0.15
22946,2018-03-15,0.03,0.4,0.83
22938,2018-03-14,0.1,0.3,1.0
22933,2018-03-14,0.27,0.43,1.0
22948,2018-03-15,0.09,0.36,0.77
22942,2018-03-15,-0.01,0.44,-0.96
22940,2018-03-19,0.08,0.45,0.99
22950,2018-03-15,-0.09,0.45,0.82
22936,2018-03-14,0.08,0.28,0.72
22951,2018-03-15,0.02,0.45,0.99
22955,2018-03-15,-0.01,0.44,-0.96
22953,2018-03-15,0.19,0.48,0.96
22954,2018-03-15,0.17,0.29,0.91
22956,2018-03-15,0.14,0.41,0.93
22959,2018-03-15,0.01,0.44,0.53
22943,2018-03-15,0.12,0.31,0.96
22961,2018-03-15,0.22,0.28,0.98
22962,2018-03-15,0.01,0.42,0.25
22963,2018-03-15,0.06,0.39,0.94
22947,2018-03-15,0.1,0.44,0.97
22965,2018-03-15,0.21,0.46,-0.85
22952,2018-03-15,0.22,0.55,1.0
22949,2018-03-15,0.16,0.46,1.0
22967,2018-03-15,0.08,0.38,0.65
22944,2018-03-15,0.29,0.66,0.98
22968,2018-03-15,0.05,0.36,0.98
22960,2018-03-15,0.13,0.42,0.99
22969,2018-03-15,0.2,0.23,0.92
22970,2018-03-15,-0.06,0.08,0.95
22958,2018-03-15,-0.06,0.25,-0.75
22975,2018-03-15,-0.02,0.42,-0.34
22957,2018-03-15,-0.03,0.21,-0.98
22977,2018-03-15,0.09,0.38,1.0
22978,2018-03-15,0.13,0.46,1.0
22979,2018-03-15,0.05,0.23,0.98
22966,2018-03-15,0.16,0.42,1.0
22964,2018-03-15,0.28,0.56,0.98
22971,2018-03-15,0.11,0.33,0.99
22974,2018-03-15,0.12,0.35,0.96
22972,2018-03-15,0.13,0.46,0.77
22984,2018-03-15,0.14,0.48,0.97
22973,2018-03-15,0.12,0.35,0.96
22980,2018-03-15,0.06,0.33,0.97
22985,2018-03-15,0.17,0.34,0.97
22986,2018-03-15,0.14,0.28,0.93
22987,2018-03-15,0.07,0.35,0.98
22988,2018-03-15,0.07,0.3,0.49
22981,2018-03-15,0.08,0.34,1.0
22976,2018-03-15,-0.05,0.25,0.77
22990,2018-03-15,0.12,0.31,0.84
22991,2018-03-15,-0.01,0.31,0.98
22994,2018-03-15,-0.03,0.24,0.77
22995,2018-03-15,0.13,0.43,0.99
22996,2018-03-15,0.1,0.43,0.89
22999,2018-03-15,-0.12,0.39,-0.23
22982,2018-03-15,0.08,0.29,0.98
23001,2018-03-15,0.07,0.34,0.96
23002,2018-03-15,0.16,0.71,0.88
23003,2018-03-15,0.05,0.19,0.97
22983,2018-03-15,0.05,0.45,0.56
22989,2018-03-15,0.18,0.45,0.83
23005,2018-03-13,0.01,0.31,-0.2
22993,2018-03-15,0.11,0.32,0.98
22992,2018-03-15,0.02,0.32,-0.59
23008,2018-03-13,0.13,0.4,0.99
23009,2018-03-13,0.09,0.49,0.99
22997,2018-03-15,0.12,0.23,0.98
22998,2018-03-15,0.08,0.44,0.82
23012,2018-03-13,0.07,0.38,0.93
23000,2018-03-15,0.07,0.34,0.96
23004,2018-03-13,0.01,0.31,-0.2
23007,2018-03-13,0.15,0.29,-0.54
23017,2018-03-13,-0.0,0.34,0.83
23006,2018-03-13,0.03,0.36,0.96
23014,2018-03-13,-0.03,0.52,0.81
23016,2018-03-13,0.2,0.48,0.99
23057,2018-03-18,0.11,0.48,0.97
23058,2018-03-18,0.21,0.39,0.98
23010,2018-03-13,0.04,0.33,0.92
23011,2018-03-13,0.19,0.33,-0.8
23060,2018-03-18,0.17,0.48,1.0
23013,2018-03-13,0.07,0.38,0.93
23063,2018-03-18,0.16,0.44,0.99
23015,2018-03-13,0.07,0.38,0.96
23065,2018-03-18,-0.08,0.6,0.96
23055,2018-03-18,0.22,0.43,0.98
23068,2018-03-18,0.11,0.35,0.98
23056,2018-03-18,0.11,0.48,0.97
23061,2018-03-18,0.05,0.19,0.78
23070,2018-03-18,0.07,0.48,-0.49
23059,2018-03-18,0.15,0.37,0.96
23062,2018-03-18,0.04,0.33,0.99
23074,2018-03-18,0.2,0.51,1.0
23066,2018-03-18,0.05,0.43,0.98
23075,2018-03-18,-0.06,0.23,0.93
23076,2018-03-18,0.07,0.43,0.94
23067,2018-03-18,0.1,0.34,0.74
23078,2018-03-18,0.11,0.36,0.98
23064,2018-03-18,0.09,0.31,0.93
23081,2018-03-18,-0.04,0.39,-0.98
23069,2018-03-18,0.15,0.55,0.96
23079,2018-03-18,-0.12,0.22,-0.96
23073,2018-03-18,0.09,0.29,0.97
23071,2018-03-18,0.12,0.38,0.98
23085,2018-03-18,0.01,0.3,-0.44
23087,2018-03-18,0.09,0.3,0.99
23086,2018-03-18,0.1,0.4,0.99
23088,2018-03-18,0.08,0.43,0.94
23082,2018-03-18,0.0,0.36,0.96
23072,2018-03-18,0.08,0.33,0.98
23077,2018-03-18,0.11,0.43,0.97
23080,2018-03-18,0.1,0.35,0.99
23083,2018-03-18,-0.06,0.64,0.97
23094,2018-03-18,0.05,0.38,0.98
23089,2018-03-18,0.28,0.53,0.99
23084,2018-03-18,0.02,0.43,0.8
23090,2018-03-18,0.04,0.33,0.96
23099,2018-03-18,0.19,0.38,1.0
23092,2018-03-18,0.06,0.35,0.9
23100,2018-03-18,0.05,0.45,0.2
23093,2018-03-18,0.01,0.27,0.7
23103,2018-03-18,0.01,0.47,-0.83
23091,2018-03-18,-0.05,0.28,-0.42
23098,2018-03-18,0.16,0.45,0.73
23095,2018-03-18,0.02,0.13,-0.99
23107,2018-03-18,0.01,0.22,-0.74
23108,2018-03-18,0.05,0.39,-0.62
23109,2018-03-18,0.07,0.38,-0.95
23110,2018-03-18,0.05,0.18,0.08
23096,2018-03-18,-0.12,0.45,-0.76
23101,2018-03-18,0.22,0.46,0.99
23097,2018-03-18,0.09,0.43,0.99
23104,2018-03-18,0.26,0.31,0.97
23105,2018-03-18,0.05,0.31,0.99
23116,2018-03-18,0.07,0.32,0.96
23117,2018-03-18,0.18,0.43,0.96
23118,2018-03-18,0.02,0.43,0.93
23106,2018-03-18,0.06,0.34,-0.42
23120,2018-03-16,-0.01,0.35,0.96
23114,2018-03-18,-0.05,0.31,-0.32
23122,2018-03-16,-0.02,0.39,0.18
23102,2018-03-18,0.01,0.47,-0.83
23112,2018-03-18,0.19,0.46,0.92
23123,2018-03-16,0.12,0.36,1.0
23115,2018-03-18,0.0,0.2,-0.27
23127,2018-03-16,0.04,0.34,0.99
23111,2018-03-18,0.24,0.45,1.0
23119,2018-03-16,0.12,0.35,0.97
23130,2018-03-16,0.03,0.25,0.8
23131,2018-03-16,0.02,0.49,0.18
23132,2018-03-16,0.01,0.39,-0.9
23133,2018-03-16,0.08,0.36,0.99
23134,2018-03-16,0.12,0.43,-0.23
23113,2018-03-18,0.08,0.35,-0.99
23121,2018-03-16,-0.04,0.57,-0.82
23125,2018-03-16,0.12,0.46,0.99
23124,2018-03-16,0.07,0.37,0.87
23126,2018-03-16,0.44,0.74,0.92
23135,2018-03-16,0.15,0.46,0.68
23141,2018-03-16,0.11,0.3,0.92
23138,2018-03-16,0.11,0.4,-0.13
23143,2018-03-16,0.17,0.37,1.0
23129,2018-03-16,-0.02,0.44,0.88
23137,2018-03-16,0.11,0.35,0.99
23146,2018-03-16,0.12,0.38,1.0
23128,2018-03-16,0.07,0.39,0.98
23140,2018-03-16,0.24,0.32,0.98
23139,2018-03-16,0.11,0.4,-0.13
23150,2018-03-16,0.09,0.22,-0.88
23142,2018-03-16,0.11,0.46,0.25
23152,2018-03-16,0.04,0.31,-0.8
23148,2018-03-16,0.7,0.6,0.69
23151,2018-03-16,-0.01,0.36,0.53
23149,2018-03-16,0.02,0.27,-0.97
23145,2018-03-16,0.02,0.3,-0.37
23157,2018-03-16,0.17,0.45,0.9
23147,2018-03-16,0.11,0.39,0.99
23153,2018-03-16,0.02,0.28,-0.05
23160,2018-03-16,-0.03,0.41,-0.89
23161,2018-03-16,0.08,0.31,-0.88
23154,2018-03-16,0.12,0.33,-0.9
23163,2018-03-16,0.18,0.39,0.97
23155,2018-03-16,-0.02,0.26,-0.72
23164,2018-03-16,0.0,0.21,0.94
23136,2018-03-16,0.03,0.31,0.3
23165,2018-03-16,0.09,0.31,-0.48
23168,2018-03-16,0.11,0.54,0.98
23158,2018-03-16,0.06,0.53,0.94
23156,2018-03-16,0.06,0.38,0.98
23167,2018-03-16,0.05,0.5,-0.92
23170,2018-03-16,0.09,0.38,0.88
23171,2018-03-16,0.0,0.35,-0.31
23174,2018-03-16,0.08,0.37,-0.89
23175,2018-03-16,-0.05,0.2,-0.85
23159,2018-03-16,0.1,0.46,0.98
23177,2018-03-16,0.04,0.39,1.0
23178,2018-03-16,0.04,0.3,0.64
23144,2018-03-16,0.1,0.45,0.97
23162,2018-03-16,-0.01,0.34,-0.65
23169,2018-03-16,0.11,0.51,-0.82
23172,2018-03-16,0.09,0.32,0.18
23166,2018-03-16,0.12,0.4,-0.98
23183,2018-03-12,-0.02,0.42,-0.87
23184,2018-03-12,0.0,0.28,0.95
23185,2018-03-12,0.07,0.43,0.93
23226,2018-03-17,0.15,0.34,0.83
23186,2018-03-12,0.08,0.34,1.0
23176,2018-03-16,0.12,0.47,0.94
23228,2018-03-17,0.08,0.22,-0.49
23230,2018-03-17,0.09,0.32,1.0
23181,2018-03-16,0.03,0.21,0.95
23232,2018-03-17,0.13,0.41,0.99
23180,2018-03-16,0.11,0.38,0.99
23233,2018-03-17,0.15,0.63,0.97
23234,2018-03-17,0.05,0.42,0.93
23179,2018-03-16,-0.0,0.32,0.91
23182,2018-03-16,0.03,0.21,0.95
23231,2018-03-17,0.01,0.3,-0.49
23229,2018-03-17,-0.06,0.27,0.95
23239,2018-03-17,0.07,0.38,0.97
23236,2018-03-17,0.13,0.48,0.97
23235,2018-03-17,0.09,0.29,0.87
23237,2018-03-17,0.1,0.38,-0.94
23227,2018-03-17,0.01,0.36,-0.84
23244,2018-03-17,-0.0,0.23,0.8
23243,2018-03-17,0.11,0.28,0.83
23173,2018-03-16,0.07,0.38,-0.36
23246,2018-03-17,0.11,0.46,0.99
23247,2018-03-17,0.07,0.33,0.98
23248,2018-03-17,0.11,0.42,1.0
23238,2018-03-17,0.3,0.47,0.99
23252,2018-03-17,0.16,0.5,0.97
23253,2018-03-17,0.17,0.47,0.98
23241,2018-03-17,0.04,0.24,0.46
23240,2018-03-17,0.05,0.37,-0.91
23242,2018-03-17,0.1,0.3,0.95
23245,2018-03-17,0.17,0.4,1.0
23251,2018-03-17,0.1,0.45,1.0
23249,2018-03-17,-0.8,0.9,-0.18
23259,2018-03-17,0.05,0.4,0.91
23260,2018-03-17,0.11,0.6,0.98
23262,2018-03-17,0.17,0.54,0.98
23254,2018-03-17,0.09,0.5,1.0
23250,2018-03-17,0.07,0.36,0.75
23255,2018-03-17,0.1,0.43,0.99
23256,2018-03-17,0.07,0.36,0.75
23261,2018-03-17,0.27,0.57,0.95
23289,2018-03-14,0.11,0.35,0.96
23258,2018-03-17,0.38,0.57,0.84
23290,2018-03-14,0.17,0.47,1.0
23287,2018-03-14,0.08,0.37,0.95
23292,2018-03-14,0.08,0.3,0.96
23257,2018-03-17,0.22,0.48,0.99
23286,2018-03-14,-0.02,0.39,0.8
23285,2018-03-14,-0.0,0.21,-0.99
23297,2018-03-14,0.11,0.44,0.82
23288,2018-03-14,0.07,0.35,0.98
23295,2018-03-14,-0.0,0.19,0.54
23291,2018-03-14,-0.08,0.22,-0.98
23301,2018-03-14,-0.07,0.46,0.9
