id,date,polarity,subjectivity,compound
147,2021-01-08,0.11,0.34,-0.98
155,2021-01-08,0.03,0.39,-0.77
145,2021-01-08,0.18,0.5,0.99
149,2021-01-08,0.07,0.33,0.99
151,2021-01-08,0.09,0.3,0.89
153,2021-01-08,0.14,0.52,0.99
154,2021-01-08,0.32,0.56,0.94
157,2021-01-08,0.03,0.34,0.91
152,2021-01-08,0.03,0.42,-0.99
156,2021-01-08,-0.06,0.38,-1.0
160,2021-01-08,0.1,0.36,0.99
158,2021-01-08,0.13,0.36,0.99
162,2021-01-02,-0.03,0.38,0.91
161,2021-01-02,0.11,0.34,1.0
167,2021-01-02,0.01,0.42,0.97
159,2021-01-08,0.1,0.36,0.99
168,2021-01-02,-0.02,0.27,0.96
165,2021-01-02,-0.27,0.42,-0.34
163,2021-01-02,0.13,0.47,0.81
169,2021-01-02,-0.02,0.28,0.92
166,2021-01-02,0.08,0.37,-0.86
164,2021-01-02,0.05,0.25,-0.83
172,2021-01-02,0.03,0.39,0.48
170,2021-01-02,0.13,0.34,0.51
171,2021-01-02,-0.01,0.39,-0.98
174,2021-01-02,0.13,0.39,0.96
173,2021-01-02,0.0,0.54,0.98
180,2021-01-02,-0.0,0.5,-0.88
175,2021-01-02,0.05,0.33,1.0
177,2021-01-02,0.01,0.23,0.15
179,2021-01-02,0.09,0.44,0.98
176,2021-01-02,0.01,0.23,0.15
181,2021-01-02,0.07,0.42,-0.81
183,2021-01-02,0.0,0.43,-0.91
188,2021-01-02,0.14,0.39,0.98
189,2021-01-02,0.14,0.39,0.98
182,2021-01-02,0.19,0.47,0.84
184,2021-01-02,0.03,0.28,0.61
186,2021-01-02,0.06,0.29,-0.81
185,2021-01-02,0.07,0.37,-0.97
187,2021-01-02,0.14,0.46,0.98
178,2021-01-02,-0.11,0.46,-0.53
194,2021-01-02,0.21,0.41,1.0
195,2021-01-02,-0.09,0.33,0.87
191,2021-01-02,0.04,0.51,0.29
190,2021-01-02,0.14,0.39,0.98
193,2021-01-02,0.12,0.42,0.99
201,2021-01-02,0.06,0.47,0.97
192,2021-01-02,0.15,0.34,-0.68
204,2021-01-02,0.16,0.42,0.98
200,2021-01-02,0.15,0.41,1.0
196,2021-01-02,0.01,0.34,-0.93
197,2021-01-02,0.13,0.37,0.89
206,2021-01-02,0.12,0.46,0.97
199,2021-01-02,0.14,0.36,0.96
203,2021-01-02,0.01,0.34,0.74
198,2021-01-02,0.04,0.31,0.88
202,2021-01-02,0.03,0.42,0.96
205,2021-01-02,-0.3,0.4,-0.86
212,2021-01-02,-0.07,0.36,-0.36
215,2021-01-02,0.15,0.35,1.0
207,2021-01-02,0.02,0.38,0.83
208,2021-01-02,0.03,0.32,-0.57
209,2021-01-02,0.07,0.43,0.57
210,2021-01-02,0.07,0.43,0.57
219,2021-01-05,0.12,0.44,0.81
220,2021-01-05,0.1,0.55,0.91
211,2021-01-02,0.18,0.36,1.0
213,2021-01-02,-0.11,0.33,-0.61
216,2021-01-02,0.09,0.32,-0.66
214,2021-01-02,0.05,0.44,0.98
217,2021-01-05,0.07,0.29,0.96
218,2021-01-05,0.0,0.37,0.88
225,2021-01-05,0.11,0.48,0.97
223,2021-01-05,-0.06,0.33,-0.2
222,2021-01-05,0.12,0.41,0.99
224,2021-01-05,0.07,0.49,0.96
227,2021-01-05,0.12,0.4,1.0
233,2021-01-05,-0.02,0.47,0.97
234,2021-01-05,-0.03,0.24,0.91
226,2021-01-05,0.11,0.48,0.97
221,2021-01-05,0.09,0.36,-0.42
230,2021-01-05,0.11,0.41,0.98
231,2021-01-05,0.03,0.28,0.98
229,2021-01-05,0.11,0.41,0.98
232,2021-01-05,0.13,0.44,0.99
228,2021-01-05,0.08,0.42,0.98
242,2021-01-05,0.22,0.46,0.99
235,2021-01-05,0.05,0.15,0.87
236,2021-01-05,0.03,0.45,0.97
239,2021-01-05,0.1,0.33,0.59
241,2021-01-05,0.2,0.54,0.95
238,2021-01-05,0.06,0.33,0.99
246,2021-01-05,0.06,0.31,-0.87
248,2021-01-05,0.12,0.44,0.75
240,2021-01-05,0.12,0.44,-0.84
244,2021-01-05,0.05,0.36,0.6
243,2021-01-05,0.12,0.32,0.95
237,2021-01-05,0.23,0.55,0.87
247,2021-01-05,0.06,0.32,0.95
245,2021-01-05,0.02,0.42,-0.36
256,2021-01-05,0.1,0.31,0.99
257,2021-01-05,0.09,0.37,0.97
250,2021-01-05,0.04,0.44,0.32
258,2021-01-05,0.16,0.32,1.0
251,2021-01-05,-0.02,0.55,-0.92
254,2021-01-05,-0.12,0.35,-0.44
249,2021-01-05,0.13,0.28,0.66
253,2021-01-05,0.04,0.36,0.16
255,2021-01-05,-0.03,0.36,0.78
259,2021-01-05,0.07,0.21,0.8
260,2021-01-05,0.07,0.39,0.83
261,2021-01-05,0.1,0.28,0.65
266,2021-01-05,0.04,0.31,0.91
262,2021-01-05,0.07,0.21,0.79
252,2021-01-05,0.11,0.66,-0.0
269,2021-01-05,0.07,0.21,0.65
263,2021-01-05,0.07,0.29,0.65
264,2021-01-05,0.07,0.21,0.8
274,2021-01-05,0.07,0.31,0.02
275,2021-01-05,0.01,0.45,0.99
265,2021-01-05,0.1,0.29,0.44
267,2021-01-05,0.04,0.14,0.57
278,2021-01-05,0.16,0.43,0.98
268,2021-01-05,0.19,0.37,0.91
270,2021-01-05,0.11,0.31,0.75
276,2021-01-05,-0.0,0.37,0.94
271,2021-01-05,0.08,0.53,0.96
273,2021-01-05,0.02,0.21,0.92
277,2021-01-05,0.01,0.27,-0.95
272,2021-01-05,0.11,0.4,0.91
279,2021-01-06,0.1,0.42,0.88
281,2021-01-06,0.14,0.41,0.91
282,2021-01-06,0.13,0.46,0.11
283,2021-01-06,0.09,0.4,0.99
286,2021-01-06,-0.0,0.37,0.81
284,2021-01-06,0.07,0.46,0.98
280,2021-01-06,0.14,0.41,0.91
292,2021-01-06,0.15,0.4,-0.95
285,2021-01-06,-0.0,0.37,0.81
287,2021-01-06,0.09,0.33,0.99
295,2021-01-06,-0.02,0.38,0.98
291,2021-01-06,0.07,0.29,0.93
289,2021-01-06,0.18,0.61,0.87
294,2021-01-06,0.04,0.24,0.95
293,2021-01-06,0.1,0.46,0.97
299,2021-01-06,0.09,0.43,0.97
297,2021-01-06,0.08,0.26,0.87
296,2021-01-06,0.14,0.37,0.98
303,2021-01-06,0.06,0.39,0.99
304,2021-01-06,0.04,0.31,-0.84
298,2021-01-06,0.17,0.49,0.13
290,2021-01-06,0.18,0.61,0.87
301,2021-01-06,-0.03,0.42,0.98
302,2021-01-06,-0.03,0.42,0.98
310,2021-01-06,-0.04,0.24,0.99
288,2021-01-06,0.15,0.43,0.88
306,2021-01-06,0.04,0.42,1.0
311,2021-01-06,0.08,0.49,0.89
313,2021-01-06,0.02,0.29,-0.81
305,2021-01-06,0.12,0.41,0.99
300,2021-01-06,-0.04,0.42,0.98
307,2021-01-06,0.12,0.35,-0.95
317,2021-01-06,-0.03,0.09,0.32
308,2021-01-06,0.1,0.31,0.95
309,2021-01-06,0.05,0.53,0.99
312,2021-01-06,0.05,0.32,0.0
321,2021-01-06,-0.04,0.27,0.87
322,2021-01-06,0.18,0.44,1.0
315,2021-01-06,0.1,0.39,0.97
316,2021-01-06,-0.01,0.54,-0.18
314,2021-01-06,0.03,0.27,0.93
318,2021-01-06,0.07,0.55,0.64
319,2021-01-06,0.14,0.4,1.0
320,2021-01-06,0.18,0.43,0.98
323,2021-01-06,0.11,0.42,0.2
324,2021-01-06,0.09,0.42,1.0
325,2021-01-06,-0.04,0.27,0.73
326,2021-01-06,0.05,0.3,0.66
328,2021-01-06,0.04,0.29,0.48
327,2021-01-06,0.1,0.28,0.44
333,2021-01-06,0.08,0.26,0.86
329,2021-01-06,0.1,0.28,0.44
331,2021-01-06,0.09,0.24,0.44
336,2021-01-06,0.09,0.24,0.44
332,2021-01-06,0.19,0.31,0.94
330,2021-01-06,0.09,0.24,0.44
334,2021-01-06,0.07,0.21,0.44
335,2021-01-06,0.09,0.24,0.44
343,2021-01-04,0.23,0.44,0.89
337,2021-01-06,0.08,0.31,0.65
339,2021-01-06,0.11,0.48,0.98
338,2021-01-06,0.1,0.28,0.44
340,2021-01-06,0.1,0.28,0.44
341,2021-01-04,0.27,0.51,0.65
342,2021-01-04,-0.06,0.43,0.97
347,2021-01-04,0.07,0.13,-0.25
349,2021-01-04,0.01,0.38,0.23
346,2021-01-04,-0.02,0.16,0.4
345,2021-01-04,0.23,0.44,0.89
344,2021-01-04,0.23,0.44,0.89
350,2021-01-04,0.41,0.77,0.45
348,2021-01-04,0.07,0.13,-0.25
355,2021-01-04,0.06,0.39,0.98
357,2021-01-04,0.1,0.3,0.96
356,2021-01-04,0.07,0.29,0.64
351,2021-01-04,0.41,0.77,0.45
353,2021-01-04,0.42,0.53,0.56
358,2021-01-04,0.0,0.2,0.98
352,2021-01-04,0.41,0.77,0.45
365,2021-01-04,0.02,0.26,0.99
354,2021-01-04,0.42,0.53,0.56
359,2021-01-04,0.19,0.42,0.98
368,2021-01-04,0.33,0.53,0.84
360,2021-01-04,0.1,0.36,0.84
361,2021-01-04,0.09,0.32,0.8
362,2021-01-04,-0.01,0.29,-0.96
366,2021-01-04,0.11,0.37,0.74
364,2021-01-04,0.12,0.36,1.0
367,2021-01-04,0.2,0.47,0.82
371,2021-01-04,0.19,0.4,0.9
372,2021-01-04,0.04,0.28,1.0
373,2021-01-04,0.18,0.67,0.84
363,2021-01-04,0.12,0.36,1.0
369,2021-01-04,0.08,0.29,0.62
374,2021-01-04,0.2,0.45,0.95
380,2021-01-04,0.1,0.45,1.0
376,2021-01-04,0.11,0.24,0.83
375,2021-01-04,0.18,0.46,0.98
377,2021-01-04,0.06,0.4,1.0
378,2021-01-04,-0.06,0.49,0.48
379,2021-01-04,0.13,0.36,0.99
370,2021-01-04,0.2,0.3,0.49
382,2021-01-04,0.03,0.28,1.0
381,2021-01-04,0.1,0.45,1.0
384,2021-01-04,0.2,0.45,0.95
383,2021-01-04,0.18,0.67,0.84
389,2021-01-04,0.09,0.43,1.0
385,2021-01-04,0.2,0.47,0.82
388,2021-01-04,0.2,0.47,0.82
391,2021-01-04,0.14,0.36,0.98
392,2021-01-04,0.07,0.49,1.0
387,2021-01-04,0.08,0.29,0.62
386,2021-01-04,0.08,0.29,0.62
398,2021-01-04,0.04,0.55,0.98
399,2021-01-04,0.13,0.48,0.96
401,2021-01-04,0.1,0.42,1.0
393,2021-01-04,0.05,0.28,0.9
390,2021-01-04,0.18,0.42,0.2
394,2021-01-04,0.05,0.28,0.9
402,2021-01-04,-0.02,0.37,0.91
395,2021-01-04,0.03,0.34,0.03
397,2021-01-04,0.02,0.35,0.99
406,2021-01-07,0.09,0.21,0.75
405,2021-01-07,-0.02,0.26,-0.99
403,2021-01-07,-0.05,0.34,0.69
404,2021-01-07,0.04,0.35,-1.0
400,2021-01-04,0.2,0.34,0.96
413,2021-01-07,0.02,0.38,-0.9
396,2021-01-04,0.03,0.34,0.03
408,2021-01-07,-0.01,0.56,0.92
411,2021-01-07,-0.02,0.29,0.98
407,2021-01-07,0.13,0.35,0.98
410,2021-01-07,-0.03,0.44,-0.45
417,2021-01-07,0.06,0.36,1.0
412,2021-01-07,0.06,0.3,0.98
416,2021-01-07,0.01,0.39,1.0
415,2021-01-07,0.1,0.42,0.94
418,2021-01-07,-0.05,0.26,-0.67
409,2021-01-07,0.18,0.47,0.57
419,2021-01-07,0.18,0.37,0.99
420,2021-01-07,-0.01,0.24,0.49
422,2021-01-07,-0.14,0.45,-0.78
423,2021-01-07,-0.14,0.45,-0.78
429,2021-01-07,0.14,0.44,1.0
425,2021-01-07,0.1,0.32,0.97
424,2021-01-07,0.15,0.37,0.98
421,2021-01-07,-0.05,0.07,0.0
426,2021-01-07,0.04,0.32,0.96
428,2021-01-07,0.02,0.48,-0.34
431,2021-01-07,0.16,0.51,0.97
430,2021-01-07,0.03,0.46,0.66
432,2021-01-07,0.05,0.44,-0.96
414,2021-01-07,-0.07,0.32,-0.38
433,2021-01-07,0.06,0.31,1.0
434,2021-01-07,-0.14,0.63,-0.93
436,2021-01-07,0.03,0.4,0.99
427,2021-01-07,0.02,0.48,-0.34
435,2021-01-07,-0.14,0.63,-0.93
444,2021-01-07,0.01,0.22,0.94
439,2021-01-07,0.04,0.39,0.83
446,2021-01-07,0.15,0.32,0.99
447,2021-01-07,0.13,0.41,0.98
438,2021-01-07,0.09,0.31,0.99
440,2021-01-07,0.02,0.33,0.48
441,2021-01-07,0.02,0.33,0.48
442,2021-01-07,0.06,0.4,1.0
452,2021-01-07,0.02,0.39,0.85
445,2021-01-07,0.37,0.58,1.0
443,2021-01-07,0.25,0.52,1.0
449,2021-01-07,0.14,0.41,0.99
448,2021-01-07,0.14,0.41,0.99
457,2021-01-07,0.15,0.4,1.0
453,2021-01-07,0.03,0.3,0.96
454,2021-01-07,0.18,0.42,1.0
455,2021-01-07,0.12,0.41,0.99
451,2021-01-07,0.13,0.38,1.0
450,2021-01-07,0.3,0.46,0.13
456,2021-01-07,-0.14,0.69,-0.97
464,2021-01-07,0.0,0.2,0.95
465,2021-01-07,0.02,0.41,0.8
458,2021-01-07,0.07,0.37,0.34
459,2021-01-07,0.04,0.45,-0.08
460,2021-01-07,0.08,0.41,0.98
462,2021-01-07,0.07,0.3,0.54
461,2021-01-07,0.26,0.49,1.0
463,2021-01-07,-0.01,0.43,-0.93
466,2021-01-01,0.12,0.47,0.65
468,2021-01-01,0.08,0.36,0.98
470,2021-01-01,0.16,0.46,0.99
467,2021-01-01,0.04,0.23,0.98
471,2021-01-01,0.13,0.45,0.98
477,2021-01-01,0.08,0.42,0.99
469,2021-01-01,0.16,0.44,-0.13
437,2021-01-07,0.0,0.19,0.83
472,2021-01-01,0.06,0.37,0.98
473,2021-01-01,0.06,0.37,0.98
479,2021-01-01,0.09,0.39,0.85
476,2021-01-01,0.26,0.51,0.46
475,2021-01-01,0.26,0.51,0.46
480,2021-01-01,0.09,0.39,0.85
478,2021-01-01,0.12,0.22,0.0
481,2021-01-01,0.12,0.35,-0.23
486,2021-01-01,-0.02,0.23,0.67
487,2021-01-01,0.08,0.35,0.99
474,2021-01-01,0.07,0.17,0.77
491,2021-01-01,-0.21,0.25,0.08
482,2021-01-01,-0.0,0.2,-0.88
493,2021-01-01,0.03,0.49,0.99
490,2021-01-01,0.03,0.32,0.98
483,2021-01-01,0.04,0.23,0.85
495,2021-01-01,0.05,0.35,1.0
485,2021-01-01,-0.02,0.23,0.67
488,2021-01-01,0.14,0.39,1.0
498,2021-01-01,0.13,0.39,0.97
492,2021-01-01,0.08,0.37,0.98
489,2021-01-01,0.0,0.0,0.34
484,2021-01-01,0.02,0.36,0.6
494,2021-01-01,0.11,0.32,0.98
499,2021-01-01,0.05,0.3,0.51
504,2021-01-01,0.05,0.25,0.88
496,2021-01-01,-0.05,0.25,1.0
497,2021-01-01,0.01,0.44,0.99
507,2021-01-01,0.05,0.34,0.73
509,2021-01-01,0.1,0.33,0.7
510,2021-01-01,-0.01,0.59,0.1
500,2021-01-01,0.08,0.38,-0.96
512,2021-01-01,0.02,0.35,-0.85
501,2021-01-01,0.08,0.38,-0.96
503,2021-01-01,0.11,0.36,0.84
514,2021-01-01,0.11,0.5,0.99
